"""#"""	DateTime	Temp
1	1/6/17 12:00	10.553
2	1/6/17 12:15	10.553
3	1/6/17 12:30	10.553
4	1/6/17 12:45	10.553
5	1/6/17 13:00	10.553
6	1/6/17 13:15	10.553
7	1/6/17 13:30	10.553
8	1/6/17 13:45	10.553
9	1/6/17 14:00	10.553
10	1/6/17 14:15	10.553
11	1/6/17 14:30	10.553
12	1/6/17 14:45	10.553
13	1/6/17 15:00	10.553
14	1/6/17 15:15	10.553
15	1/6/17 15:30	10.553
16	1/6/17 15:45	10.553
17	1/6/17 16:00	10.553
18	1/6/17 16:15	10.553
19	1/6/17 16:30	10.553
20	1/6/17 16:45	10.553
21	1/6/17 17:00	10.553
22	1/6/17 17:15	10.553
23	1/6/17 17:30	10.455
24	1/6/17 17:45	10.455
25	1/6/17 18:00	10.455
26	1/6/17 18:15	10.455
27	1/6/17 18:30	10.357
28	1/6/17 18:45	10.357
29	1/6/17 19:00	10.259
30	1/6/17 19:15	10.357
31	1/6/17 19:30	10.357
32	1/6/17 19:45	10.259
33	1/6/17 20:00	10.161
34	1/6/17 20:15	10.063
35	1/6/17 20:30	10.063
36	1/6/17 20:45	10.161
37	1/6/17 21:00	10.063
38	1/6/17 21:15	10.063
39	1/6/17 21:30	10.063
40	1/6/17 21:45	10.063
41	1/6/17 22:00	10.063
42	1/6/17 22:15	10.063
43	1/6/17 22:30	9.965
44	1/6/17 22:45	9.965
45	1/6/17 23:00	9.965
46	1/6/17 23:15	9.866
47	1/6/17 23:30	9.866
48	1/6/17 23:45	9.866
49	1/7/17 0:00	9.866
50	1/7/17 0:15	9.866
51	1/7/17 0:30	9.866
52	1/7/17 0:45	9.866
53	1/7/17 1:00	9.768
54	1/7/17 1:15	9.768
55	1/7/17 1:30	9.866
56	1/7/17 1:45	9.866
57	1/7/17 2:00	9.866
58	1/7/17 2:15	9.866
59	1/7/17 2:30	9.866
60	1/7/17 2:45	9.965
61	1/7/17 3:00	9.866
62	1/7/17 3:15	9.768
63	1/7/17 3:30	9.768
64	1/7/17 3:45	9.768
65	1/7/17 4:00	9.768
66	1/7/17 4:15	9.768
67	1/7/17 4:30	9.768
68	1/7/17 4:45	9.768
69	1/7/17 5:00	9.768
70	1/7/17 5:15	9.866
71	1/7/17 5:30	9.866
72	1/7/17 5:45	9.866
73	1/7/17 6:00	9.866
74	1/7/17 6:15	9.866
75	1/7/17 6:30	9.866
76	1/7/17 6:45	9.866
77	1/7/17 7:00	9.866
78	1/7/17 7:15	9.866
79	1/7/17 7:30	9.866
80	1/7/17 7:45	9.768
81	1/7/17 8:00	9.768
82	1/7/17 8:15	9.768
83	1/7/17 8:30	9.669
84	1/7/17 8:45	9.669
85	1/7/17 9:00	9.669
86	1/7/17 9:15	9.571
87	1/7/17 9:30	9.571
88	1/7/17 9:45	9.571
89	1/7/17 10:00	9.472
90	1/7/17 10:15	9.373
91	1/7/17 10:30	9.373
92	1/7/17 10:45	9.373
93	1/7/17 11:00	9.373
94	1/7/17 11:15	9.275
95	1/7/17 11:30	9.275
96	1/7/17 11:45	9.275
97	1/7/17 12:00	9.275
98	1/7/17 12:15	9.176
99	1/7/17 12:30	9.176
100	1/7/17 12:45	9.176
101	1/7/17 13:00	9.077
102	1/7/17 13:15	9.077
103	1/7/17 13:30	9.077
104	1/7/17 13:45	9.077
105	1/7/17 14:00	9.077
106	1/7/17 14:15	9.077
107	1/7/17 14:30	8.978
108	1/7/17 14:45	8.978
109	1/7/17 15:00	8.978
110	1/7/17 15:15	8.978
111	1/7/17 15:30	8.978
112	1/7/17 15:45	8.978
113	1/7/17 16:00	8.978
114	1/7/17 16:15	8.978
115	1/7/17 16:30	8.978
116	1/7/17 16:45	8.978
117	1/7/17 17:00	8.978
118	1/7/17 17:15	8.978
119	1/7/17 17:30	8.978
120	1/7/17 17:45	8.978
121	1/7/17 18:00	8.978
122	1/7/17 18:15	8.978
123	1/7/17 18:30	8.978
124	1/7/17 18:45	8.978
125	1/7/17 19:00	8.879
126	1/7/17 19:15	8.879
127	1/7/17 19:30	8.779
128	1/7/17 19:45	8.779
129	1/7/17 20:00	8.68
130	1/7/17 20:15	8.68
131	1/7/17 20:30	8.68
132	1/7/17 20:45	8.68
133	1/7/17 21:00	8.68
134	1/7/17 21:15	8.581
135	1/7/17 21:30	8.581
136	1/7/17 21:45	8.581
137	1/7/17 22:00	8.481
138	1/7/17 22:15	8.481
139	1/7/17 22:30	8.481
140	1/7/17 22:45	8.481
141	1/7/17 23:00	8.382
142	1/7/17 23:15	8.382
143	1/7/17 23:30	8.382
144	1/7/17 23:45	8.382
145	1/8/17 0:00	8.382
146	1/8/17 0:15	8.382
147	1/8/17 0:30	8.382
148	1/8/17 0:45	8.382
149	1/8/17 1:00	8.382
150	1/8/17 1:15	8.382
151	1/8/17 1:30	8.382
152	1/8/17 1:45	8.382
153	1/8/17 2:00	8.382
154	1/8/17 2:15	8.382
155	1/8/17 2:30	8.481
156	1/8/17 2:45	8.481
157	1/8/17 3:00	8.481
158	1/8/17 3:15	8.481
159	1/8/17 3:30	8.581
