"","ID","temp","Date","color","origin","ramptype","genotype","colorstate","FvFm"
"2","TBE3",18,20170712,"brown","va","cold_holo","TBE","va_brown",0.603
"3","TBO7",18,20170707,"brown","va","heat_holo","TBO","va_brown",0.523666666666667
"5","TWA5",18,20170707,"white","va","heat_holo","TWA","va_white",0.216333333333333
"7","TWD1",18,20170707,"white","va","heat_holo","TWD","va_white",0.222333333333333
"10","WBF5",18,20170712,"brown","ri","cold_holo","WBF","ri_brown",0.525
"12","WBG4",18,20170712,"brown","ri","cold_holo","WBG","ri_brown",0.532
"14","WWC1",18,20170712,"white","ri","cold_holo","WWC","ri_white",0.293333333333333
"15","WWI2",18,20170707,"white","ri","heat_holo","WWI","ri_white",0.273666666666667
"18","TBI4",18,20170713,"brown","va","cold_holo","TBI","va_brown",0.591666666666667
"19","TBN2",18,20170708,"brown","va","heat_holo","TBN","va_brown",0.471666666666667
"22","TWJ3",18,20170713,"white","va","cold_holo","TWJ","va_white",0.551
"24","TWK4",18,20170713,"white","va","cold_holo","TWK","va_white",0.307666666666667
"26","WBI2",18,20170713,"brown","ri","cold_holo","WBI","ri_brown",0.607666666666667
"27","WBK4",18,20170708,"brown","ri","heat_holo","WBK","ri_brown",0.497
"30","WWD3",18,20170713,"white","ri","cold_holo","WWD","ri_white",0.492666666666667
"32","WWJ2",18,20170713,"white","ri","cold_holo","WWJ","ri_white",0.434333333333333
"33","TBF2",18,20170710,"brown","va","heat_holo","TBF","va_brown",0.634
"36","TBL2",18,20170714,"brown","va","cold_holo","TBL","va_brown",0.613333333333333
"38","TWI2",18,20170714,"white","va","cold_holo","TWI","va_white",0.565666666666667
"39","TWM1",18,20170710,"white","va","heat_holo","TWM","va_white",0.468
"42","WBC3",18,20170714,"brown","ri","cold_holo","WBC","ri_brown",0.602333333333333
"43","WBO1",18,20170710,"brown","ri","heat_holo","WBO","ri_brown",0.489
"46","WWE4",18,20170714,"white","ri","cold_holo","WWE","ri_white",0.455
"47","WWK4",18,20170710,"white","ri","heat_holo","WWK","ri_white",0.318333333333333
"49","TBG2",18,20170711,"brown","va","heat_holo","TBG","va_brown",0.593666666666667
"51","TBM1",18,20170711,"brown","va","heat_holo","TBM","va_brown",0.435
"54","TWH1",18,20170716,"white","va","cold_holo","TWH","va_white",0.273333333333333
"56","TWL4",18,20170716,"white","va","cold_holo","TWL","va_white",0.713
"58","WBN2",18,20170716,"brown","ri","cold_holo","WBN","ri_brown",0.591666666666667
"59","WBP2",18,20170711,"brown","ri","heat_holo","WBP","ri_brown",0.509666666666667
"61","WWB1",18,20170711,"white","ri","heat_holo","WWB","ri_white",0.554666666666667
"63","WWF3",18,20170711,"white","ri","heat_holo","WWF","ri_white",0.468333333333333
"1","TBE1",22,20170707,"brown","va","heat_holo","TBE","va_brown",0.443
"257","TBE1",26,20170707,"brown","va","heat_holo","TBE","va_brown",0.402666666666667
"310","TBE1",29,20170707,"brown","va","heat_holo","TBE","va_brown",0.422333333333333
"4","TBE1",32,20170707,"brown","va","heat_holo","TBE","va_brown",0.424333333333333
"510","TBE3",6,20170712,"brown","va","cold_holo","TBE","va_brown",0.338666666666667
"6","TBE3",9,20170712,"brown","va","cold_holo","TBE","va_brown",0.433
"710","TBE3",12,20170712,"brown","va","cold_holo","TBE","va_brown",0.471333333333333
"8","TBE3",15,20170712,"brown","va","cold_holo","TBE","va_brown",0.533333333333333
"9","TBO7",22,20170707,"brown","va","heat_holo","TBO","va_brown",0.468666666666667
"1010","TBO7",26,20170707,"brown","va","heat_holo","TBO","va_brown",0.457666666666667
