Date,No.,1:F,1:Fm',1:PAR,FvFm,temp,ID,genotype,origin,color,ramptype
20170718,1,31,84,0,0.631,18,TBN6,TBN,va,brown,heat_skel
20170718,2,17,53,0,0.679,18,TWK3,TWK,va,white,heat_skel
20170718,3,37,84,0,0.56,18,WBI3,WBI,ri,brown,heat_skel
20170718,4,32,84,0,0.619,18,TBI1,TBI,va,brown,heat_skel
20170718,5,59,145,0,0.593,18,WBK1,WBK,ri,brown,heat_skel
20170718,6,24,53,0,0.547,18,TWJ1,TWJ,va,white,heat_skel
20170718,7,37,86,0,0.57,18,WWJ1,WWJ,ri,white,heat_skel
20170718,8,45,112,0,0.598,18,WWD1,WWD,ri,white,heat_skel
20170718,9,33,103,0,0.68,18,TBN6,TBN,va,brown,heat_skel
20170718,10,30,55,0,0.455,18,TWK3,TWK,va,white,heat_skel
20170718,11,30,70,0,0.571,18,WBI3,WBI,ri,brown,heat_skel
20170718,12,42,98,0,0.571,18,TBI1,TBI,va,brown,heat_skel
20170718,13,75,185,0,0.595,18,WBK1,WBK,ri,brown,heat_skel
20170718,14,17,57,0,0.702,18,TWJ1,TWJ,va,white,heat_skel
20170718,15,31,71,0,0.563,18,WWJ1,WWJ,ri,white,heat_skel
20170718,16,33,72,0,0.542,18,WWD1,WWD,ri,white,heat_skel
20170718,17,20,49,0,0,18,TBN6,TBN,va,brown,heat_skel
20170718,18,21,58,0,0.638,18,TWK3,TWK,va,white,heat_skel
20170718,19,30,96,0,0.688,18,WBI3,WBI,ri,brown,heat_skel
20170718,20,41,89,0,0.539,18,TBI1,TBI,va,brown,heat_skel
20170718,21,54,151,0,0.642,18,WBK1,WBK,ri,brown,heat_skel
20170718,22,15,57,0,0.737,18,TWJ1,TWJ,va,white,heat_skel
20170718,23,11,59,0,0.814,18,WWJ1,WWJ,ri,white,heat_skel
20170718,24,47,82,0,0.427,18,WWD1,WWD,ri,white,heat_skel
20170718,25,23,36,0,0,22,TBN6,TBN,va,brown,heat_skel
20170718,26,21,38,0,0,22,TWK3,TWK,va,white,heat_skel
20170718,27,40,61,0,0.344,22,WBI3,WBI,ri,brown,heat_skel
20170718,28,27,44,0,0,22,TBI1,TBI,va,brown,heat_skel
20170718,29,48,81,0,0.407,22,WBK1,WBK,ri,brown,heat_skel
20170718,30,27,36,0,0,22,TWJ1,TWJ,va,white,heat_skel
20170718,31,36,48,0,0,22,WWJ1,WWJ,ri,white,heat_skel
20170718,32,41,57,0,0.281,22,WWD1,WWD,ri,white,heat_skel
20170718,33,43,69,0,0.377,22,TBN6,TBN,va,brown,heat_skel
20170718,34,10,44,0,0,22,TWK3,TWK,va,white,heat_skel
20170718,35,34,56,0,0.393,22,WBI3,WBI,ri,brown,heat_skel
20170718,36,25,44,0,0,22,TBI1,TBI,va,brown,heat_skel
20170718,37,87,132,0,0.341,22,WBK1,WBK,ri,brown,heat_skel
20170718,38,16,33,0,0,22,TWJ1,TWJ,va,white,heat_skel
20170718,39,27,50,0,0.46,22,WWJ1,WWJ,ri,white,heat_skel
20170718,40,35,55,0,0.364,22,WWD1,WWD,ri,white,heat_skel
20170718,41,31,55,0,0.436,22,TBN6,TBN,va,brown,heat_skel
20170718,42,24,41,0,0,22,TWK3,TWK,va,white,heat_skel
20170718,43,57,70,0,0.186,22,WBI3,WBI,ri,brown,heat_skel
20170718,44,18,45,0,0,22,TBI1,TBI,va,brown,heat_skel
20170718,45,40,63,0,0.365,22,WBK1,WBK,ri,brown,heat_skel
20170718,46,7,38,0,0,22,TWJ1,TWJ,va,white,heat_skel
20170718,47,21,45,0,0,22,WWJ1,WWJ,ri,white,heat_skel
20170718,48,51,72,0,0.292,22,WWD1,WWD,ri,white,heat_skel
20170718,49,37,49,0,0,26,TBN6,TBN,va,brown,heat_skel
20170718,50,15,37,0,0,26,TWK3,TWK,va,white,heat_skel
20170718,51,40,53,0,0.245,26,WBI3,WBI,ri,brown,heat_skel
20170718,52,23,42,0,0,26,TBI1,TBI,va,brown,heat_skel
20170718,53,37,60,0,0.383,26,WBK1,WBK,ri,brown,heat_skel
20170718,54,26,37,0,0,26,TWJ1,TWJ,va,white,heat_skel
20170718,55,29,46,0,0,26,WWJ1,WWJ,ri,white,heat_skel
20170718,56,57,77,0,0.26,26,WWD1,WWD,ri,white,heat_skel
20170718,57,36,42,0,0,26,TBN6,TBN,va,brown,heat_skel
20170718,58,30,37,0,0,26,TWK3,TWK,va,white,heat_skel
20170718,59,45,52,0,0.135,26,WBI3,WBI,ri,brown,heat_skel
20170718,60,18,35,0,0,26,TBI1,TBI,va,brown,heat_skel
20170718,61,86,115,0,0.252,26,WBK1,WBK,ri,brown,heat_skel
20170718,62,19,38,0,0,26,TWJ1,TWJ,va,white,heat_skel
20170718,63,29,48,0,0,26,WWJ1,WWJ,ri,white,heat_skel
20170718,64,87,105,0,0.171,26,WWD1,WWD,ri,white,heat_skel
20170718,65,40,49,0,0,26,TBN6,TBN,va,brown,heat_skel
20170718,66,14,34,0,0,26,TWK3,TWK,va,white,heat_skel
