"","Date_skel","colorstate","Chamber.Channel_skel","Genotype_skel","Temp_skel","Origin_skel","colorstate.1","Color_skel","Pnet_umol.cm2.hr_skel","Pgross_skel"
"161",20170717,"VA_brown",5,"TBE",18,"VA","VA_brown","brown",-0.398317609,-0.185606525
"166",20170719,"VA_brown",10,"TBF",18,"VA","VA_brown","brown",-0.106824321,0.035429135
"171",20170721,"VA_brown",6,"TBG",18,"VA","VA_brown","brown",-0.131738545,-0.152557901
"18",20170724,"VA_brown",7,"TBI",18,"VA","VA_brown","brown",-0.298335558,-0.109204694
"181",20170719,"VA_brown",3,"TBL",18,"VA","VA_brown","brown",-0.113008148,0.071702337
"28",20170726,"VA_brown",3,"TBM",18,"VA","VA_brown","brown",0.160099413,0.070012915
"191",20170718,"VA_brown",3,"TBN",18,"VA","VA_brown","brown",-0.452922984,-0.344526257
"196",20170717,"VA_brown",10,"TBO",18,"VA","VA_brown","brown",-0.554387289,-0.360331059
"43",20170722,"VA_white",9,"TWA",18,"VA","VA_white","white",-0.037678099,0.046929361
"48",20170722,"VA_white",10,"TWD",18,"VA","VA_white","white",-0.095702989,-0.061506313
"53",20170726,"VA_white",4,"TWH",18,"VA","VA_white","white",-0.110879443,-0.026684981
"58",20170725,"VA_white",4,"TWI",18,"VA","VA_white","white",-0.31637174,-0.02342704
"63",20170724,"VA_white",9,"TWJ",18,"VA","VA_white","white",-0.369319489,-0.055400072
"226",20170718,"VA_white",4,"TWK",18,"VA","VA_white","white",-0.341690459,-0.231212826
"231",20170721,"VA_white",7,"TWL",18,"VA","VA_white","white",-0.152011254,0.010687311
"78",20170725,"VA_white",6,"TWM",18,"VA","VA_white","white",-0.252428659,0.169287703
"118",20170726,"RI_brown",5,"WBB",18,"RI","RI_brown","brown",0.020525578,0.066664211
"241",20170719,"RI_brown",9,"WBC",18,"RI","RI_brown","brown",-0.070525233,0.163037846
"88",20170722,"RI_brown",8,"WBF",18,"RI","RI_brown","brown",0.005322057,0.113498661
"93",20170722,"RI_brown",4,"WBG",18,"RI","RI_brown","brown",-0.432056222,-0.107480862
"256",20170718,"RI_brown",5,"WBI",18,"RI","RI_brown","brown",-0.23827646,-0.355120262
"108",20170726,"RI_brown",6,"WBJ",18,"RI","RI_brown","brown",0.105014523,0.108281637
"261",20170718,"RI_brown",7,"WBK",18,"RI","RI_brown","brown",-0.289421852,-0.11380224
"271",20170719,"RI_brown",5,"WBO",18,"RI","RI_brown","brown",-0.152572416,0.106646862
"281",20170721,"RI_white",5,"WWB",18,"RI","RI_white","white",0.075803318,0.115015195
