,GxTemp,Date_skel,Chamber.Channel_skel,Genotype_skel,Temp_skel,Origin_skel,colorstate.x,Color_skel,Pnet_umol.cm2.hr_skel,Rdark_umol.cm2.hr_skel,Pgross_umol.cm2.hr_skel,Date_holo,Chamber.Channel_holo,Genotype_holo,Temp_holo,Origin_holo,colorstate.y,Color_holo,Pnet_umol.cm2.hr_holo,Rdark_umol.cm2.hr_holo,Pgross_umol.cm2.hr_holo,Pnet_umol.cm2.hr_corr,Rdark_umol.cm2.hr_corr,Pgross_umol.cm2.hr_corr
1,TBE_18,20170717,5,TBE,18,VA,VA_brown,brown,-0.398317609,-0.212711084,-0.185606525,20170707,5,TBE,18,VA,VA_brown,brown,-0.417865844,-0.514639236,0.096773392,-0.019548235,-0.301928152,0.282379917
2,TBE_22,20170717,5,TBE,22,VA,VA_brown,brown,-0.207393515,-0.181767497,-0.025626018,20170707,5,TBE,22,VA,VA_brown,brown,-0.299582539,-1.114206525,0.814623986,-0.092189024,-0.932439028,0.840250004
3,TBE_26,20170717,5,TBE,26,VA,VA_brown,brown,-0.374804349,-0.318928288,-0.055876061,20170707,5,TBE,26,VA,VA_brown,brown,0.035221705,-1.231857593,1.267079298,0.410026054,-0.912929305,1.322955359
4,TBE_29,20170717,5,TBE,29,VA,VA_brown,brown,-0.500338547,-0.545230236,0.044891689,20170707,5,TBE,29,VA,VA_brown,brown,-0.111938215,-1.705567726,1.593629511,0.388400332,-1.16033749,1.548737822
5,TBE_32,20170717,5,TBE,32,VA,VA_brown,brown,0.081558361,-0.509025725,0.590584086,20170707,5,TBE,32,VA,VA_brown,brown,-0.390238415,-1.327873371,0.937634956,-0.471796776,-0.818847646,0.34705087
6,TBF_18,20170719,10,TBF,18,VA,VA_brown,brown,-0.106824321,-0.142253456,0.035429135,20170710,6,TBF,18,VA,VA_brown,brown,-0.464939112,-0.597641475,0.132702363,-0.358114791,-0.455388019,0.097273228
7,TBF_22,20170719,10,TBF,22,VA,VA_brown,brown,-0.291165486,-0.189819735,-0.101345751,20170710,6,TBF,22,VA,VA_brown,brown,-0.544940684,-0.960612318,0.415671634,-0.253775198,-0.770792583,0.517017385
8,TBF_26,20170719,10,TBF,26,VA,VA_brown,brown,-0.020464634,-0.310305938,0.289841304,20170710,6,TBF,26,VA,VA_brown,brown,-1.097606489,-1.160523217,0.062916728,-1.077141855,-0.850217279,-0.226924576
9,TBF_29,20170719,10,TBF,29,VA,VA_brown,brown,-0.339361438,-0.30796088,-0.031400558,20170710,6,TBF,29,VA,VA_brown,brown,-1.522989767,-1.445553306,-0.077436461,-1.183628329,-1.137592426,-0.046035903
10,TBF_32,20170719,10,TBF,32,VA,VA_brown,brown,-0.372166156,-0.468058911,0.095892755,20170710,6,TBF,32,VA,VA_brown,brown,-1.104479664,-1.283390717,0.178911053,-0.732313508,-0.815331806,0.083018298
11,TBG_18,20170721,6,TBG,18,VA,VA_brown,brown,-0.131738545,0.020819356,-0.152557901,20170711,10,TBG,18,VA,VA_brown,brown,-0.180339078,-0.234751358,0.05441228,-0.048600533,-0.255570714,0.206970181
12,TBG_22,20170721,6,TBG,22,VA,VA_brown,brown,-0.213419262,-0.334592319,0.121173057,20170711,10,TBG,22,VA,VA_brown,brown,-0.318508815,-0.568974908,0.250466093,-0.105089553,-0.234382589,0.129293036
13,TBG_26,20170721,6,TBG,26,VA,VA_brown,brown,-0.391835287,-0.351128143,-0.040707144,20170711,10,TBG,26,VA,VA_brown,brown,-0.26639267,-0.871771607,0.605378937,0.125442617,-0.520643464,0.646086081
14,TBG_29,20170721,6,TBG,29,VA,VA_brown,brown,-0.346863839,-0.439144947,0.092281108,20170711,10,TBG,29,VA,VA_brown,brown,-0.506904432,-1.173150769,0.666246337,-0.160040593,-0.734005822,0.573965229
15,TBG_32,20170721,6,TBG,32,VA,VA_brown,brown,-0.150558466,-0.381976657,0.231418191,20170711,10,TBG,32,VA,VA_brown,brown,-0.567186653,-0.59346425,0.026277597,-0.416628187,-0.211487593,-0.205140594
16,TBI_18,20170718,6,TBI,18,VA,VA_brown,brown,-0.40228128,-0.281051961,-0.121229319,20170708,9,TBI,18,VA,VA_brown,brown,-0.517729408,-0.501031888,-0.01669752,-0.115448128,-0.219979927,0.104531799
17,TBI_22,20170718,6,TBI,22,VA,VA_brown,brown,-0.16551324,-0.251132421,0.085619181,20170708,9,TBI,22,VA,VA_brown,brown,-0.29380617,-0.840278591,0.546472421,-0.12829293,-0.58914617,0.46085324
