07.07.17/8:50 AM SW ver:OXY10v3_33
Header Ch-9
Description: WBF1-18
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104173
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;8:50:11 AM;0.00;94.350;28.670;36289.000;18.000
07.07.17;8:50:13 AM;0.03;94.190;28.690;36286.000;18.000
07.07.17;8:50:21 AM;0.18;94.970;28.600;36298.000;18.000
07.07.17;8:50:36 AM;0.43;95.060;28.590;36285.000;18.000
07.07.17;8:50:51 AM;0.68;94.390;28.670;36256.000;18.000
07.07.17;8:51:06 AM;0.93;94.520;28.650;36264.000;18.000
07.07.17;8:51:21 AM;1.18;94.510;28.660;36309.000;18.000
07.07.17;8:51:36 AM;1.43;94.410;28.670;36317.000;18.000
07.07.17;8:51:51 AM;1.68;94.420;28.670;36308.000;18.000
07.07.17;8:52:06 AM;1.93;94.140;28.700;36284.000;18.000
07.07.17;8:52:21 AM;2.18;94.390;28.670;36319.000;18.000
07.07.17;8:52:36 AM;2.43;94.540;28.650;36274.000;18.000
07.07.17;8:52:51 AM;2.68;94.450;28.660;36302.000;18.000
07.07.17;8:53:06 AM;2.93;94.320;28.680;36312.000;18.000
07.07.17;8:53:21 AM;3.18;94.320;28.680;36293.000;18.000
07.07.17;8:53:36 AM;3.43;94.440;28.660;36298.000;18.000
07.07.17;8:53:51 AM;3.68;94.450;28.660;36291.000;18.000
07.07.17;8:54:06 AM;3.92;94.260;28.690;36274.000;18.000
07.07.17;8:54:21 AM;4.18;94.510;28.660;36293.000;18.000
07.07.17;8:54:36 AM;4.43;94.220;28.690;36288.000;18.000
07.07.17;8:54:51 AM;4.68;94.730;28.630;36308.000;18.000
07.07.17;8:55:06 AM;4.93;94.890;28.610;36329.000;18.000
07.07.17;8:55:21 AM;5.18;93.890;28.730;36282.000;18.000
07.07.17;8:55:36 AM;5.43;94.160;28.700;36293.000;18.000
07.07.17;8:55:51 AM;5.68;95.150;28.580;36298.000;18.000
07.07.17;8:56:06 AM;5.93;94.680;28.640;36310.000;18.000
07.07.17;8:56:21 AM;6.18;94.180;28.690;36311.000;18.000
07.07.17;8:56:36 AM;6.43;94.130;28.700;36297.000;18.000
07.07.17;8:56:51 AM;6.68;94.480;28.660;36297.000;18.000
07.07.17;8:57:06 AM;6.93;94.280;28.680;36299.000;18.000
07.07.17;8:57:21 AM;7.18;94.440;28.660;36287.000;18.000
07.07.17;8:57:36 AM;7.43;94.380;28.670;36290.000;18.000
07.07.17;8:57:51 AM;7.68;94.530;28.650;36291.000;18.000
07.07.17;8:58:06 AM;7.93;93.490;28.770;36278.000;18.000
07.07.17;8:58:21 AM;8.18;94.460;28.660;36288.000;18.000
07.07.17;8:58:36 AM;8.43;94.450;28.660;36320.000;18.000
07.07.17;8:58:51 AM;8.68;94.290;28.680;36261.000;18.000
