07.07.17/10:27 AM SW ver:OXY10v3_33
Header Ch-10
Description: WWC3-22
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101745
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;10:27:51 AM;0.00;94.870;27.880;36296.000;22.000
07.07.17;10:28:02 AM;0.19;94.450;27.930;36309.000;22.000
07.07.17;10:28:17 AM;0.44;94.840;27.880;36282.000;22.000
07.07.17;10:28:32 AM;0.69;93.990;27.980;36271.000;22.000
07.07.17;10:28:47 AM;0.94;94.290;27.940;36255.000;22.000
07.07.17;10:29:02 AM;1.19;94.400;27.930;36296.000;22.000
07.07.17;10:29:17 AM;1.44;94.040;27.970;36285.000;22.000
07.07.17;10:29:32 AM;1.69;94.520;27.920;36285.000;22.000
07.07.17;10:29:47 AM;1.94;93.960;27.980;36322.000;22.000
07.07.17;10:30:02 AM;2.19;94.240;27.950;36296.000;22.000
07.07.17;10:30:17 AM;2.44;94.190;27.950;36283.000;22.000
07.07.17;10:30:32 AM;2.69;93.730;28.010;36261.000;22.000
07.07.17;10:30:47 AM;2.94;93.280;28.060;36338.000;22.000
07.07.17;10:31:02 AM;3.19;94.560;27.910;36329.000;22.000
07.07.17;10:31:17 AM;3.44;94.310;27.940;36330.000;22.000
07.07.17;10:31:32 AM;3.69;94.570;27.910;36376.000;22.000
07.07.17;10:31:47 AM;3.94;93.990;27.980;36399.000;22.000
07.07.17;10:32:02 AM;4.19;93.330;28.050;36355.000;22.000
07.07.17;10:32:17 AM;4.44;93.320;28.050;36396.000;22.000
07.07.17;10:32:32 AM;4.69;93.580;28.020;36435.000;22.000
07.07.17;10:32:47 AM;4.94;93.520;28.030;36431.000;22.000
07.07.17;10:33:02 AM;5.19;93.640;28.020;36446.000;22.000
07.07.17;10:33:17 AM;5.44;92.860;28.110;36485.000;22.000
07.07.17;10:33:32 AM;5.69;92.700;28.130;36480.000;22.000
07.07.17;10:33:47 AM;5.94;93.640;28.020;36524.000;22.000
07.07.17;10:34:02 AM;6.19;93.340;28.050;36481.000;22.000
07.07.17;10:34:17 AM;6.44;92.860;28.110;36548.000;22.000
07.07.17;10:34:32 AM;6.69;92.470;28.150;36541.000;22.000
07.07.17;10:34:47 AM;6.94;92.750;28.120;36529.000;22.000
07.07.17;10:35:02 AM;7.19;92.650;28.130;36554.000;22.000
07.07.17;10:35:17 AM;7.44;93.100;28.080;36580.000;22.000
07.07.17;10:35:32 AM;7.69;92.950;28.100;36608.000;22.000
07.07.17;10:35:47 AM;7.94;92.520;28.150;36641.000;22.000
07.07.17;10:36:02 AM;8.19;93.010;28.090;36686.000;22.000
07.07.17;10:36:17 AM;8.44;92.490;28.150;36641.000;22.000
07.07.17;10:36:32 AM;8.70;92.230;28.180;36693.000;22.000
07.07.17;10:36:47 AM;8.94;91.920;28.220;36732.000;22.000
07.07.17;10:37:02 AM;9.19;92.400;28.160;36728.000;22.000
07.07.17;10:37:17 AM;9.44;91.700;28.240;36763.000;22.000
07.07.17;10:37:32 AM;9.69;91.590;28.260;36813.000;22.000
07.07.17;10:37:47 AM;9.94;91.670;28.250;36805.000;22.000
07.07.17;10:38:02 AM;10.19;91.540;28.260;36781.000;22.000
07.07.17;10:38:17 AM;10.44;91.340;28.290;36841.000;22.000
07.07.17;10:38:32 AM;10.70;91.130;28.310;36884.000;22.000
07.07.17;10:38:47 AM;10.94;91.020;28.330;36868.000;22.000
07.07.17;10:39:02 AM;11.19;90.660;28.370;36881.000;22.000
07.07.17;10:39:17 AM;11.45;90.540;28.380;36906.000;22.000
07.07.17;10:39:32 AM;11.70;90.340;28.410;36965.000;22.000
07.07.17;10:39:47 AM;11.95;90.560;28.380;36971.000;22.000
07.07.17;10:40:02 AM;12.20;90.350;28.410;36985.000;22.000
07.07.17;10:40:17 AM;12.44;89.980;28.450;37023.000;22.000
07.07.17;10:40:32 AM;12.69;90.480;28.390;37035.000;22.000
07.07.17;10:40:47 AM;12.94;90.170;28.430;37082.000;22.000
07.07.17;10:41:02 AM;13.20;90.190;28.420;37076.000;22.000
07.07.17;10:41:17 AM;13.44;89.870;28.460;37130.000;22.000
07.07.17;10:41:32 AM;13.69;89.410;28.520;37148.000;22.000
07.07.17;10:41:47 AM;13.95;89.620;28.490;37184.000;22.000
07.07.17;10:42:02 AM;14.20;89.370;28.520;37187.000;22.000
07.07.17;10:42:17 AM;14.44;89.750;28.480;37200.000;22.000
07.07.17;10:42:32 AM;14.69;89.190;28.550;37235.000;22.000
07.07.17;10:42:47 AM;14.94;89.240;28.540;37268.000;22.000
07.07.17;10:43:02 AM;15.20;88.570;28.620;37306.000;22.000
07.07.17;10:43:17 AM;15.44;88.170;28.670;37320.000;22.000
07.07.17;10:43:32 AM;15.69;88.650;28.610;37354.000;22.000
07.07.17;10:43:47 AM;15.94;88.720;28.600;37414.000;22.000
07.07.17;10:44:02 AM;16.19;88.380;28.650;37366.000;22.000
07.07.17;10:44:17 AM;16.44;88.660;28.610;37439.000;22.000
07.07.17;10:44:32 AM;16.69;88.450;28.640;37451.000;22.000
07.07.17;10:44:47 AM;16.94;88.460;28.640;37479.000;22.000
07.07.17;10:45:02 AM;17.20;88.070;28.680;37519.000;22.000
07.07.17;10:45:17 AM;17.44;88.170;28.670;37544.000;22.000
07.07.17;10:45:32 AM;17.70;87.260;28.780;37546.000;22.000
07.07.17;10:45:47 AM;17.94;87.420;28.760;37566.000;22.000
07.07.17;10:46:02 AM;18.19;87.620;28.740;37612.000;22.000
07.07.17;10:46:17 AM;18.44;87.690;28.730;37610.000;22.000
07.07.17;10:46:32 AM;18.69;86.920;28.830;37654.000;22.000
07.07.17;10:46:47 AM;18.94;87.170;28.800;37728.000;22.000
07.07.17;10:47:02 AM;19.19;87.020;28.820;37721.000;22.000
07.07.17;10:47:17 AM;19.44;86.450;28.890;37766.000;22.000
07.07.17;10:47:32 AM;19.69;86.310;28.910;37745.000;22.000
