07.07.17/9:53 AM SW ver:OXY10v3_33
Header Ch-9
Description: WBF1-22
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104173
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;9:53:12 AM;0.00;95.530;27.800;34852.000;22.000
07.07.17;9:53:15 AM;0.05;95.450;27.810;34807.000;22.000
07.07.17;9:53:30 AM;0.30;95.080;27.850;34855.000;22.000
07.07.17;9:53:45 AM;0.55;95.280;27.830;34850.000;22.000
07.07.17;9:54:00 AM;0.80;95.100;27.850;34849.000;22.000
07.07.17;9:54:15 AM;1.05;95.300;27.830;34877.000;22.000
07.07.17;9:54:30 AM;1.30;94.960;27.870;34853.000;22.000
07.07.17;9:54:45 AM;1.55;95.300;27.830;34869.000;22.000
07.07.17;9:55:00 AM;1.80;95.200;27.840;34875.000;22.000
07.07.17;9:55:15 AM;2.05;94.780;27.890;34896.000;22.000
07.07.17;9:55:30 AM;2.30;94.950;27.870;34885.000;22.000
07.07.17;9:55:45 AM;2.55;95.020;27.860;34948.000;22.000
07.07.17;9:56:00 AM;2.80;94.990;27.860;34931.000;22.000
07.07.17;9:56:15 AM;3.05;94.840;27.880;34942.000;22.000
07.07.17;9:56:30 AM;3.30;94.650;27.900;34943.000;22.000
07.07.17;9:56:45 AM;3.55;94.580;27.910;34935.000;22.000
07.07.17;9:57:00 AM;3.80;94.770;27.890;34991.000;22.000
07.07.17;9:57:15 AM;4.05;94.620;27.910;34972.000;22.000
07.07.17;9:57:30 AM;4.30;94.140;27.960;34973.000;22.000
07.07.17;9:57:45 AM;4.55;94.380;27.930;35000.000;22.000
07.07.17;9:58:00 AM;4.80;94.370;27.930;34978.000;22.000
07.07.17;9:58:15 AM;5.05;94.520;27.920;35015.000;22.000
07.07.17;9:58:30 AM;5.30;94.100;27.970;35020.000;22.000
07.07.17;9:58:45 AM;5.55;94.260;27.950;35043.000;22.000
07.07.17;9:59:00 AM;5.80;94.110;27.960;35033.000;22.000
07.07.17;9:59:15 AM;6.05;93.930;27.980;35057.000;22.000
07.07.17;9:59:30 AM;6.30;93.930;27.980;35042.000;22.000
07.07.17;9:59:45 AM;6.55;93.990;27.980;35072.000;22.000
07.07.17;10:00:00 AM;6.80;93.930;27.980;35065.000;22.000
07.07.17;10:00:15 AM;7.05;93.990;27.980;35083.000;22.000
07.07.17;10:00:30 AM;7.30;93.600;28.020;35110.000;22.000
07.07.17;10:00:45 AM;7.55;93.680;28.010;35123.000;22.000
07.07.17;10:01:00 AM;7.80;93.600;28.020;35100.000;22.000
07.07.17;10:01:15 AM;8.05;93.740;28.010;35112.000;22.000
07.07.17;10:01:30 AM;8.30;93.710;28.010;35117.000;22.000
07.07.17;10:01:45 AM;8.55;94.000;27.980;35150.000;22.000
07.07.17;10:02:00 AM;8.80;93.390;28.050;35149.000;22.000
07.07.17;10:02:15 AM;9.05;93.520;28.030;35156.000;22.000
07.07.17;10:02:30 AM;9.30;93.690;28.010;35204.000;22.000
07.07.17;10:02:45 AM;9.55;93.560;28.030;35192.000;22.000
07.07.17;10:03:00 AM;9.80;93.250;28.060;35193.000;22.000
07.07.17;10:03:15 AM;10.05;93.630;28.020;35185.000;22.000
07.07.17;10:03:30 AM;10.30;93.060;28.090;35230.000;22.000
07.07.17;10:03:45 AM;10.55;93.580;28.030;35227.000;22.000
07.07.17;10:04:00 AM;10.80;93.570;28.030;35265.000;22.000
07.07.17;10:04:15 AM;11.05;93.260;28.060;35262.000;22.000
07.07.17;10:04:30 AM;11.30;93.100;28.080;35276.000;22.000
07.07.17;10:04:45 AM;11.55;93.140;28.080;35287.000;22.000
07.07.17;10:05:00 AM;11.80;92.640;28.130;35263.000;22.000
07.07.17;10:05:15 AM;12.05;92.730;28.120;35322.000;22.000
07.07.17;10:05:30 AM;12.30;92.910;28.100;35285.000;22.000
07.07.17;10:05:45 AM;12.55;92.780;28.120;35336.000;22.000
07.07.17;10:06:00 AM;12.80;92.600;28.140;35332.000;22.000
07.07.17;10:06:15 AM;13.05;92.170;28.190;35378.000;22.000
07.07.17;10:06:30 AM;13.30;92.170;28.190;35352.000;22.000
07.07.17;10:06:45 AM;13.55;92.220;28.180;35360.000;22.000
07.07.17;10:07:00 AM;13.80;92.330;28.170;35390.000;22.000
07.07.17;10:07:15 AM;14.05;92.540;28.150;35407.000;22.000
07.07.17;10:07:30 AM;14.30;92.000;28.210;35402.000;22.000
07.07.17;10:07:45 AM;14.55;92.270;28.180;35402.000;22.000
07.07.17;10:08:00 AM;14.80;92.580;28.140;35440.000;22.000
07.07.17;10:08:15 AM;15.05;92.040;28.200;35420.000;22.000
07.07.17;10:08:30 AM;15.30;91.870;28.220;35426.000;22.000
07.07.17;10:08:45 AM;15.55;92.180;28.190;35454.000;22.000
07.07.17;10:09:00 AM;15.80;91.620;28.250;35460.000;22.000
07.07.17;10:09:15 AM;16.05;91.750;28.240;35453.000;22.000
07.07.17;10:09:30 AM;16.30;91.810;28.230;35484.000;22.000
07.07.17;10:09:45 AM;16.55;91.710;28.240;35495.000;22.000
07.07.17;10:10:00 AM;16.80;92.010;28.210;35529.000;22.000
07.07.17;10:10:15 AM;17.05;91.850;28.230;35521.000;22.000
