07.07.17/12:08 PM SW ver:OXY10v3_33
Header Ch-4
Description: WWI2-26
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99779
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;12:08:19 PM;0.00;91.830;27.520;36498.000;26.000
07.07.17;12:08:33 PM;0.24;92.840;27.400;36554.000;26.000
07.07.17;12:08:48 PM;0.49;92.200;27.470;36537.000;26.000
07.07.17;12:09:03 PM;0.74;92.670;27.420;36617.000;26.000
07.07.17;12:09:18 PM;0.99;91.500;27.550;36602.000;26.000
07.07.17;12:09:33 PM;1.24;92.340;27.460;36670.000;26.000
07.07.17;12:09:48 PM;1.49;91.770;27.520;36647.000;26.000
07.07.17;12:10:03 PM;1.74;91.600;27.540;36710.000;26.000
07.07.17;12:10:18 PM;1.99;91.940;27.500;36668.000;26.000
07.07.17;12:10:33 PM;2.24;91.480;27.560;36759.000;26.000
07.07.17;12:10:48 PM;2.49;91.300;27.580;36728.000;26.000
07.07.17;12:11:03 PM;2.74;91.960;27.500;36754.000;26.000
07.07.17;12:11:18 PM;2.99;91.610;27.540;36742.000;26.000
07.07.17;12:11:33 PM;3.24;91.460;27.560;36775.000;26.000
07.07.17;12:11:48 PM;3.49;90.980;27.620;36834.000;26.000
07.07.17;12:12:03 PM;3.74;90.540;27.670;36815.000;26.000
07.07.17;12:12:18 PM;3.99;91.260;27.580;36834.000;26.000
07.07.17;12:12:33 PM;4.24;90.400;27.680;36850.000;26.000
07.07.17;12:12:48 PM;4.49;90.610;27.660;36894.000;26.000
07.07.17;12:13:03 PM;4.74;90.660;27.650;36962.000;26.000
07.07.17;12:13:18 PM;4.99;90.050;27.720;36961.000;26.000
07.07.17;12:13:33 PM;5.24;90.380;27.690;36967.000;26.000
07.07.17;12:13:48 PM;5.49;90.900;27.620;36994.000;26.000
07.07.17;12:14:03 PM;5.74;90.260;27.700;37045.000;26.000
07.07.17;12:14:18 PM;5.99;89.960;27.740;37056.000;26.000
07.07.17;12:14:33 PM;6.24;89.840;27.750;37019.000;26.000
07.07.17;12:14:48 PM;6.49;90.110;27.720;37092.000;26.000
07.07.17;12:15:03 PM;6.74;89.840;27.750;37081.000;26.000
07.07.17;12:15:18 PM;6.99;89.590;27.780;37118.000;26.000
07.07.17;12:15:33 PM;7.24;90.000;27.730;37165.000;26.000
07.07.17;12:15:48 PM;7.49;89.540;27.790;37175.000;26.000
07.07.17;12:16:03 PM;7.74;88.780;27.880;37222.000;26.000
07.07.17;12:16:18 PM;7.99;89.290;27.820;37153.000;26.000
07.07.17;12:16:33 PM;8.24;89.140;27.830;37207.000;26.000
07.07.17;12:16:48 PM;8.49;89.400;27.800;37246.000;26.000
07.07.17;12:17:03 PM;8.74;89.120;27.840;37278.000;26.000
07.07.17;12:17:18 PM;8.99;89.200;27.830;37326.000;26.000
07.07.17;12:17:33 PM;9.24;89.130;27.840;37344.000;26.000
07.07.17;12:17:48 PM;9.49;88.890;27.860;37395.000;26.000
07.07.17;12:18:03 PM;9.74;88.310;27.930;37383.000;26.000
07.07.17;12:18:18 PM;9.99;88.980;27.850;37431.000;26.000
07.07.17;12:18:33 PM;10.24;87.670;28.010;37449.000;26.000
07.07.17;12:18:48 PM;10.49;88.570;27.900;37439.000;26.000
07.07.17;12:19:03 PM;10.74;88.320;27.930;37479.000;26.000
07.07.17;12:19:18 PM;10.99;88.120;27.960;37498.000;26.000
07.07.17;12:19:33 PM;11.24;88.010;27.970;37511.000;26.000
07.07.17;12:19:48 PM;11.49;87.730;28.010;37526.000;26.000
07.07.17;12:20:03 PM;11.74;87.740;28.000;37587.000;26.000
07.07.17;12:20:18 PM;11.99;87.540;28.030;37594.000;26.000
07.07.17;12:20:33 PM;12.24;87.840;27.990;37648.000;26.000
07.07.17;12:20:48 PM;12.49;87.700;28.010;37651.000;26.000
07.07.17;12:21:03 PM;12.74;86.740;28.130;37678.000;26.000
07.07.17;12:21:18 PM;12.99;87.280;28.060;37682.000;26.000
07.07.17;12:21:33 PM;13.24;86.290;28.180;37729.000;26.000
07.07.17;12:21:48 PM;13.49;86.430;28.170;37744.000;26.000
07.07.17;12:22:03 PM;13.74;86.930;28.100;37755.000;26.000
07.07.17;12:22:18 PM;13.99;86.890;28.110;37809.000;26.000
07.07.17;12:22:33 PM;14.24;86.630;28.140;37822.000;26.000
07.07.17;12:22:48 PM;14.49;86.680;28.140;37831.000;26.000
07.07.17;12:23:03 PM;14.74;86.160;28.200;37874.000;26.000
07.07.17;12:23:18 PM;14.99;86.130;28.200;37892.000;26.000
07.07.17;12:23:33 PM;15.24;86.130;28.200;37906.000;26.000
07.07.17;12:23:48 PM;15.49;86.070;28.210;37929.000;26.000
07.07.17;12:24:03 PM;15.74;86.160;28.200;37945.000;26.000
07.07.17;12:24:18 PM;15.99;86.210;28.190;38016.000;26.000
07.07.17;12:24:33 PM;16.24;85.320;28.310;38046.000;26.000
07.07.17;12:24:48 PM;16.49;85.410;28.290;38076.000;26.000
07.07.17;12:25:03 PM;16.74;85.790;28.250;38082.000;26.000
07.07.17;12:25:18 PM;16.99;85.590;28.270;38085.000;26.000
07.07.17;12:25:33 PM;17.24;85.580;28.270;38121.000;26.000
07.07.17;12:25:48 PM;17.49;85.440;28.290;38125.000;26.000
07.07.17;12:26:03 PM;17.74;84.930;28.360;38193.000;26.000
07.07.17;12:26:18 PM;17.99;84.790;28.370;38184.000;26.000
07.07.17;12:26:33 PM;18.24;84.950;28.350;38268.000;26.000
07.07.17;12:26:48 PM;18.49;84.600;28.400;38219.000;26.000
07.07.17;12:27:03 PM;18.74;84.370;28.430;38240.000;26.000
07.07.17;12:27:18 PM;18.99;84.960;28.350;38304.000;26.000
07.07.17;12:27:33 PM;19.24;85.010;28.350;38320.000;26.000
