07.07.17/11:34 AM SW ver:OXY10v3_33
Header Ch-10
Description: WWC3-26
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101745
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;11:34:16 AM;0.00;94.510;27.210;34847.000;26.000
07.07.17;11:34:30 AM;0.23;94.500;27.210;34846.000;26.000
07.07.17;11:34:45 AM;0.48;94.270;27.240;34858.000;26.000
07.07.17;11:35:00 AM;0.73;94.160;27.250;34874.000;26.000
07.07.17;11:35:15 AM;0.98;94.150;27.250;34875.000;26.000
07.07.17;11:35:30 AM;1.23;93.860;27.280;34888.000;26.000
07.07.17;11:35:45 AM;1.49;93.900;27.280;34898.000;26.000
07.07.17;11:36:00 AM;1.74;93.940;27.270;34892.000;26.000
07.07.17;11:36:15 AM;1.99;93.790;27.290;34941.000;26.000
07.07.17;11:36:30 AM;2.23;93.400;27.340;34950.000;26.000
07.07.17;11:36:45 AM;2.48;93.430;27.330;34968.000;26.000
07.07.17;11:37:00 AM;2.74;93.600;27.310;35012.000;26.000
07.07.17;11:37:15 AM;2.99;93.110;27.370;35021.000;26.000
07.07.17;11:37:30 AM;3.23;93.200;27.360;35072.000;26.000
07.07.17;11:37:45 AM;3.48;93.710;27.300;35073.000;26.000
07.07.17;11:38:00 AM;3.73;93.500;27.320;35094.000;26.000
07.07.17;11:38:15 AM;3.98;93.080;27.370;35135.000;26.000
07.07.17;11:38:30 AM;4.24;92.610;27.430;35130.000;26.000
07.07.17;11:38:45 AM;4.49;92.670;27.420;35162.000;26.000
07.07.17;11:39:00 AM;4.74;92.540;27.430;35205.000;26.000
07.07.17;11:39:15 AM;4.99;92.310;27.460;35259.000;26.000
07.07.17;11:39:30 AM;5.23;91.840;27.510;35252.000;26.000
07.07.17;11:39:45 AM;5.49;91.820;27.520;35301.000;26.000
07.07.17;11:40:00 AM;5.73;91.550;27.550;35307.000;26.000
07.07.17;11:40:15 AM;5.99;91.650;27.540;35360.000;26.000
07.07.17;11:40:30 AM;6.23;91.900;27.510;35371.000;26.000
07.07.17;11:40:45 AM;6.49;91.830;27.520;35413.000;26.000
07.07.17;11:41:00 AM;6.74;91.500;27.550;35418.000;26.000
07.07.17;11:41:15 AM;6.98;91.080;27.600;35445.000;26.000
07.07.17;11:41:30 AM;7.23;90.660;27.650;35502.000;26.000
07.07.17;11:41:45 AM;7.49;90.880;27.630;35547.000;26.000
07.07.17;11:42:00 AM;7.74;90.260;27.700;35582.000;26.000
07.07.17;11:42:15 AM;7.98;90.270;27.700;35584.000;26.000
07.07.17;11:42:30 AM;8.23;90.160;27.710;35606.000;26.000
07.07.17;11:42:45 AM;8.49;89.760;27.760;35670.000;26.000
07.07.17;11:43:00 AM;8.74;89.670;27.770;35699.000;26.000
07.07.17;11:43:15 AM;8.98;89.440;27.800;35762.000;26.000
07.07.17;11:43:30 AM;9.23;89.140;27.830;35758.000;26.000
07.07.17;11:43:45 AM;9.48;89.460;27.800;35818.000;26.000
07.07.17;11:44:00 AM;9.74;89.040;27.850;35867.000;26.000
07.07.17;11:44:15 AM;9.99;88.680;27.890;35875.000;26.000
07.07.17;11:44:30 AM;10.23;89.040;27.850;35909.000;26.000
07.07.17;11:44:45 AM;10.48;88.720;27.880;35951.000;26.000
07.07.17;11:45:00 AM;10.73;87.940;27.980;36007.000;26.000
07.07.17;11:45:15 AM;10.99;87.920;27.980;36043.000;26.000
07.07.17;11:45:30 AM;11.23;87.970;27.980;36087.000;26.000
07.07.17;11:45:45 AM;11.49;87.980;27.970;36085.000;26.000
07.07.17;11:46:00 AM;11.73;87.460;28.040;36132.000;26.000
07.07.17;11:46:15 AM;11.99;87.630;28.020;36178.000;26.000
07.07.17;11:46:30 AM;12.23;87.480;28.040;36176.000;26.000
07.07.17;11:46:45 AM;12.48;86.810;28.120;36239.000;26.000
07.07.17;11:47:00 AM;12.73;87.100;28.080;36264.000;26.000
07.07.17;11:47:15 AM;12.98;86.750;28.130;36308.000;26.000
07.07.17;11:47:30 AM;13.24;86.490;28.160;36361.000;26.000
07.07.17;11:47:45 AM;13.49;86.510;28.160;36407.000;26.000
07.07.17;11:48:00 AM;13.74;86.600;28.150;36440.000;26.000
07.07.17;11:48:15 AM;13.98;86.210;28.190;36441.000;26.000
07.07.17;11:48:30 AM;14.23;86.410;28.170;36499.000;26.000
07.07.17;11:48:45 AM;14.48;86.050;28.210;36535.000;26.000
07.07.17;11:49:00 AM;14.73;85.940;28.230;36582.000;26.000
07.07.17;11:49:15 AM;14.98;85.570;28.270;36609.000;26.000
07.07.17;11:49:30 AM;15.24;85.510;28.280;36648.000;26.000
07.07.17;11:49:45 AM;15.49;84.820;28.370;36669.000;26.000
07.07.17;11:50:00 AM;15.73;85.240;28.320;36715.000;26.000
07.07.17;11:50:15 AM;15.99;85.060;28.340;36776.000;26.000
07.07.17;11:50:30 AM;16.23;84.430;28.420;36781.000;26.000
07.07.17;11:50:45 AM;16.49;84.240;28.440;36864.000;26.000
07.07.17;11:51:00 AM;16.73;84.210;28.450;36882.000;26.000
07.07.17;11:51:15 AM;16.99;83.990;28.480;36919.000;26.000
07.07.17;11:51:30 AM;17.24;84.220;28.450;36954.000;26.000
07.07.17;11:51:45 AM;17.48;83.780;28.500;36994.000;26.000
07.07.17;11:52:00 AM;17.73;83.890;28.490;37025.000;26.000
07.07.17;11:52:15 AM;17.98;83.430;28.550;37113.000;26.000
07.07.17;11:52:30 AM;18.23;83.070;28.600;37126.000;26.000
07.07.17;11:52:45 AM;18.49;82.940;28.610;37190.000;26.000
07.07.17;11:53:00 AM;18.73;82.850;28.630;37216.000;26.000
07.07.17;11:53:15 AM;18.99;82.630;28.650;37269.000;26.000
07.07.17;11:53:30 AM;19.23;82.480;28.670;37314.000;26.000
07.07.17;11:53:45 AM;19.48;81.930;28.750;37345.000;26.000
07.07.17;11:54:00 AM;19.73;81.640;28.790;37384.000;26.000
07.07.17;11:54:15 AM;19.99;81.780;28.770;37407.000;26.000
07.07.17;11:54:30 AM;20.23;81.940;28.750;37466.000;26.000
07.07.17;11:54:45 AM;20.49;81.220;28.840;37525.000;26.000
07.07.17;11:55:00 AM;20.73;81.410;28.820;37545.000;26.000
07.07.17;11:55:15 AM;20.98;81.080;28.860;37562.000;26.000
