07.07.17/11:34 AM SW ver:OXY10v3_33
Header Ch-3
Description: TWD1-26
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106195
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;11:34:11 AM;0.00;93.600;27.310;29739.000;26.000
07.07.17;11:34:16 AM;0.08;93.140;27.370;29753.000;26.000
07.07.17;11:34:31 AM;0.33;93.090;27.370;29754.000;26.000
07.07.17;11:34:46 AM;0.58;93.100;27.370;29738.000;26.000
07.07.17;11:35:01 AM;0.83;93.450;27.330;29770.000;26.000
07.07.17;11:35:16 AM;1.08;93.760;27.290;29784.000;26.000
07.07.17;11:35:31 AM;1.33;93.760;27.290;29809.000;26.000
07.07.17;11:35:46 AM;1.58;93.370;27.340;29763.000;26.000
07.07.17;11:36:01 AM;1.83;93.600;27.310;29795.000;26.000
07.07.17;11:36:16 AM;2.08;93.350;27.340;29806.000;26.000
07.07.17;11:36:31 AM;2.33;92.810;27.400;29794.000;26.000
07.07.17;11:36:46 AM;2.58;93.170;27.360;29788.000;26.000
07.07.17;11:37:01 AM;2.83;93.110;27.370;29807.000;26.000
07.07.17;11:37:16 AM;3.08;93.020;27.380;29848.000;26.000
07.07.17;11:37:31 AM;3.33;92.830;27.400;29838.000;26.000
07.07.17;11:37:46 AM;3.58;92.510;27.440;29855.000;26.000
07.07.17;11:38:01 AM;3.83;92.350;27.460;29879.000;26.000
07.07.17;11:38:16 AM;4.08;92.090;27.490;29890.000;26.000
07.07.17;11:38:31 AM;4.33;92.390;27.450;29882.000;26.000
07.07.17;11:38:46 AM;4.58;92.340;27.460;29940.000;26.000
07.07.17;11:39:01 AM;4.83;92.340;27.460;29923.000;26.000
07.07.17;11:39:16 AM;5.08;91.870;27.510;29949.000;26.000
07.07.17;11:39:31 AM;5.33;92.150;27.480;29998.000;26.000
07.07.17;11:39:46 AM;5.58;91.770;27.520;29975.000;26.000
07.07.17;11:40:01 AM;5.83;91.660;27.540;30029.000;26.000
07.07.17;11:40:16 AM;6.08;91.460;27.560;30027.000;26.000
07.07.17;11:40:31 AM;6.33;91.770;27.520;30069.000;26.000
07.07.17;11:40:46 AM;6.58;91.080;27.600;30075.000;26.000
07.07.17;11:41:01 AM;6.83;91.520;27.550;30098.000;26.000
07.07.17;11:41:16 AM;7.08;90.840;27.630;30111.000;26.000
07.07.17;11:41:31 AM;7.33;91.020;27.610;30151.000;26.000
07.07.17;11:41:46 AM;7.58;90.750;27.640;30162.000;26.000
07.07.17;11:42:01 AM;7.83;90.480;27.670;30166.000;26.000
07.07.17;11:42:16 AM;8.08;90.870;27.630;30196.000;26.000
07.07.17;11:42:31 AM;8.33;90.320;27.690;30236.000;26.000
07.07.17;11:42:46 AM;8.58;90.040;27.730;30252.000;26.000
07.07.17;11:43:01 AM;8.83;90.340;27.690;30261.000;26.000
07.07.17;11:43:16 AM;9.08;89.800;27.750;30284.000;26.000
07.07.17;11:43:31 AM;9.33;89.980;27.730;30298.000;26.000
07.07.17;11:43:46 AM;9.58;89.950;27.740;30328.000;26.000
07.07.17;11:44:01 AM;9.83;89.740;27.760;30349.000;26.000
07.07.17;11:44:16 AM;10.08;89.660;27.770;30377.000;26.000
07.07.17;11:44:31 AM;10.33;89.420;27.800;30379.000;26.000
07.07.17;11:44:46 AM;10.58;89.430;27.800;30420.000;26.000
07.07.17;11:45:01 AM;10.83;89.040;27.850;30436.000;26.000
07.07.17;11:45:16 AM;11.08;89.140;27.830;30458.000;26.000
07.07.17;11:45:31 AM;11.33;88.700;27.890;30497.000;26.000
07.07.17;11:45:46 AM;11.58;88.670;27.890;30510.000;26.000
07.07.17;11:46:01 AM;11.83;88.660;27.890;30542.000;26.000
07.07.17;11:46:16 AM;12.08;88.150;27.950;30571.000;26.000
07.07.17;11:46:31 AM;12.33;87.840;27.990;30581.000;26.000
07.07.17;11:46:46 AM;12.58;88.190;27.950;30629.000;26.000
07.07.17;11:47:01 AM;12.83;88.010;27.970;30658.000;26.000
07.07.17;11:47:16 AM;13.08;87.700;28.010;30689.000;26.000
07.07.17;11:47:31 AM;13.33;87.490;28.030;30707.000;26.000
07.07.17;11:47:46 AM;13.58;87.660;28.010;30753.000;26.000
07.07.17;11:48:01 AM;13.83;87.190;28.070;30756.000;26.000
07.07.17;11:48:16 AM;14.08;87.070;28.090;30799.000;26.000
07.07.17;11:48:31 AM;14.33;86.850;28.110;30811.000;26.000
07.07.17;11:48:46 AM;14.58;86.840;28.120;30879.000;26.000
07.07.17;11:49:01 AM;14.83;86.680;28.140;30854.000;26.000
07.07.17;11:49:16 AM;15.08;86.930;28.100;30903.000;26.000
07.07.17;11:49:31 AM;15.33;86.610;28.140;30939.000;26.000
07.07.17;11:49:46 AM;15.58;86.280;28.190;30932.000;26.000
07.07.17;11:50:01 AM;15.83;86.250;28.190;30959.000;26.000
07.07.17;11:50:16 AM;16.08;85.800;28.250;31000.000;26.000
07.07.17;11:50:31 AM;16.33;86.250;28.190;31022.000;26.000
07.07.17;11:50:46 AM;16.58;86.040;28.220;31007.000;26.000
07.07.17;11:51:01 AM;16.83;85.470;28.290;31065.000;26.000
07.07.17;11:51:16 AM;17.08;85.670;28.260;31072.000;26.000
07.07.17;11:51:31 AM;17.33;85.540;28.280;31090.000;26.000
07.07.17;11:51:46 AM;17.58;85.370;28.300;31154.000;26.000
07.07.17;11:52:01 AM;17.83;85.080;28.340;31174.000;26.000
07.07.17;11:52:16 AM;18.08;85.180;28.320;31205.000;26.000
07.07.17;11:52:31 AM;18.33;85.150;28.330;31204.000;26.000
07.07.17;11:52:46 AM;18.58;84.840;28.370;31232.000;26.000
07.07.17;11:53:01 AM;18.83;84.580;28.400;31265.000;26.000
07.07.17;11:53:16 AM;19.08;84.350;28.430;31296.000;26.000
07.07.17;11:53:31 AM;19.33;84.430;28.420;31315.000;26.000
07.07.17;11:53:46 AM;19.58;84.190;28.450;31345.000;26.000
07.07.17;11:54:01 AM;19.83;84.470;28.420;31361.000;26.000
07.07.17;11:54:16 AM;20.08;83.950;28.480;31365.000;26.000
