07.07.17/11:34 AM SW ver:OXY10v3_33
Header Ch-4
Description: WWI2-26
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99779
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;11:34:12 AM;0.00;92.610;27.430;35919.000;26.000
07.07.17;11:34:18 AM;0.11;92.790;27.410;35929.000;26.000
07.07.17;11:34:33 AM;0.36;92.730;27.410;35942.000;26.000
07.07.17;11:34:48 AM;0.61;93.720;27.300;35961.000;26.000
07.07.17;11:35:03 AM;0.86;91.990;27.500;36037.000;26.000
07.07.17;11:35:18 AM;1.11;92.680;27.420;36037.000;26.000
07.07.17;11:35:33 AM;1.36;92.370;27.450;36035.000;26.000
07.07.17;11:35:48 AM;1.60;92.180;27.480;36072.000;26.000
07.07.17;11:36:03 AM;1.86;92.220;27.470;36202.000;26.000
07.07.17;11:36:18 AM;2.11;91.950;27.500;36229.000;26.000
07.07.17;11:36:33 AM;2.36;92.110;27.480;36283.000;26.000
07.07.17;11:36:48 AM;2.60;91.700;27.530;36310.000;26.000
07.07.17;11:37:03 AM;2.86;91.860;27.510;36410.000;26.000
07.07.17;11:37:18 AM;3.11;91.590;27.540;36421.000;26.000
07.07.17;11:37:33 AM;3.36;91.450;27.560;36445.000;26.000
07.07.17;11:37:48 AM;3.61;91.580;27.550;36519.000;26.000
07.07.17;11:38:03 AM;3.86;91.140;27.600;36598.000;26.000
07.07.17;11:38:18 AM;4.11;91.070;27.600;36612.000;26.000
07.07.17;11:38:33 AM;4.36;91.360;27.570;36654.000;26.000
07.07.17;11:38:48 AM;4.61;91.160;27.590;36706.000;26.000
07.07.17;11:39:03 AM;4.86;90.650;27.650;36751.000;26.000
07.07.17;11:39:18 AM;5.11;90.690;27.650;36794.000;26.000
07.07.17;11:39:33 AM;5.36;90.490;27.670;36858.000;26.000
07.07.17;11:39:48 AM;5.61;90.380;27.690;36931.000;26.000
07.07.17;11:40:03 AM;5.86;90.390;27.680;36946.000;26.000
07.07.17;11:40:18 AM;6.11;90.010;27.730;36992.000;26.000
07.07.17;11:40:33 AM;6.36;90.180;27.710;37035.000;26.000
07.07.17;11:40:48 AM;6.61;89.980;27.730;37071.000;26.000
07.07.17;11:41:03 AM;6.86;89.840;27.750;37082.000;26.000
07.07.17;11:41:18 AM;7.11;89.500;27.790;37083.000;26.000
07.07.17;11:41:33 AM;7.36;90.840;27.630;37126.000;26.000
07.07.17;11:41:48 AM;7.61;88.270;27.940;37104.000;26.000
