07.07.17/11:34 AM SW ver:OXY10v3_33
Header Ch-5
Description: TBE1-26
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105085
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;11:34:12 AM;0.00;92.270;27.460;43290.000;26.000
07.07.17;11:34:20 AM;0.13;92.600;27.430;43316.000;26.000
07.07.17;11:34:35 AM;0.38;92.560;27.430;43287.000;26.000
07.07.17;11:34:50 AM;0.63;92.370;27.450;43329.000;26.000
07.07.17;11:35:05 AM;0.88;92.350;27.460;43332.000;26.000
07.07.17;11:35:20 AM;1.13;92.290;27.460;43360.000;26.000
07.07.17;11:35:35 AM;1.38;92.120;27.480;43337.000;26.000
07.07.17;11:35:50 AM;1.63;92.110;27.480;43377.000;26.000
07.07.17;11:36:05 AM;1.88;92.040;27.490;43386.000;26.000
07.07.17;11:36:20 AM;2.13;91.840;27.510;43412.000;26.000
07.07.17;11:36:35 AM;2.38;91.890;27.510;43427.000;26.000
07.07.17;11:36:50 AM;2.63;91.570;27.550;43432.000;26.000
07.07.17;11:37:05 AM;2.88;91.550;27.550;43424.000;26.000
07.07.17;11:37:20 AM;3.13;91.480;27.560;43423.000;26.000
07.07.17;11:37:35 AM;3.38;91.920;27.510;43441.000;26.000
07.07.17;11:37:50 AM;3.63;91.660;27.540;43489.000;26.000
07.07.17;11:38:05 AM;3.88;91.400;27.570;43490.000;26.000
07.07.17;11:38:20 AM;4.13;91.440;27.560;43501.000;26.000
07.07.17;11:38:35 AM;4.38;91.360;27.570;43510.000;26.000
07.07.17;11:38:50 AM;4.63;91.220;27.590;43502.000;26.000
07.07.17;11:39:05 AM;4.88;91.130;27.600;43558.000;26.000
07.07.17;11:39:20 AM;5.13;91.110;27.600;43572.000;26.000
07.07.17;11:39:35 AM;5.38;90.960;27.620;43605.000;26.000
07.07.17;11:39:50 AM;5.63;90.790;27.640;43593.000;26.000
07.07.17;11:40:05 AM;5.88;90.970;27.620;43656.000;26.000
07.07.17;11:40:20 AM;6.13;90.430;27.680;43679.000;26.000
07.07.17;11:40:35 AM;6.38;90.960;27.620;43687.000;26.000
07.07.17;11:40:50 AM;6.63;90.610;27.660;43723.000;26.000
07.07.17;11:41:05 AM;6.88;90.430;27.680;43764.000;26.000
07.07.17;11:41:20 AM;7.13;90.210;27.710;43795.000;26.000
07.07.17;11:41:35 AM;7.38;90.080;27.720;43822.000;26.000
07.07.17;11:41:50 AM;7.63;90.000;27.730;43838.000;26.000
07.07.17;11:42:05 AM;7.88;89.980;27.730;43843.000;26.000
07.07.17;11:42:20 AM;8.13;89.590;27.780;43871.000;26.000
07.07.17;11:42:35 AM;8.38;89.660;27.770;43893.000;26.000
07.07.17;11:42:50 AM;8.63;89.580;27.780;43904.000;26.000
07.07.17;11:43:05 AM;8.88;89.660;27.770;43903.000;26.000
07.07.17;11:43:20 AM;9.13;89.440;27.800;43961.000;26.000
07.07.17;11:43:35 AM;9.38;89.440;27.800;44002.000;26.000
07.07.17;11:43:50 AM;9.63;89.270;27.820;44040.000;26.000
07.07.17;11:44:05 AM;9.88;89.030;27.850;44029.000;26.000
07.07.17;11:44:20 AM;10.13;89.180;27.830;44048.000;26.000
07.07.17;11:44:35 AM;10.38;88.660;27.890;44086.000;26.000
07.07.17;11:44:50 AM;10.63;88.810;27.870;44117.000;26.000
07.07.17;11:45:05 AM;10.88;88.930;27.860;44134.000;26.000
07.07.17;11:45:20 AM;11.13;88.710;27.890;44200.000;26.000
07.07.17;11:45:35 AM;11.38;88.320;27.930;44216.000;26.000
07.07.17;11:45:50 AM;11.63;88.520;27.910;44242.000;26.000
07.07.17;11:46:05 AM;11.88;88.280;27.940;44271.000;26.000
07.07.17;11:46:20 AM;12.13;88.040;27.970;44305.000;26.000
07.07.17;11:46:35 AM;12.38;87.890;27.990;44321.000;26.000
07.07.17;11:46:50 AM;12.63;88.280;27.940;44349.000;26.000
07.07.17;11:47:05 AM;12.88;88.000;27.970;44407.000;26.000
07.07.17;11:47:20 AM;13.13;87.800;28.000;44423.000;26.000
07.07.17;11:47:35 AM;13.38;87.620;28.020;44454.000;26.000
07.07.17;11:47:50 AM;13.63;87.610;28.020;44491.000;26.000
07.07.17;11:48:05 AM;13.88;87.550;28.030;44546.000;26.000
07.07.17;11:48:20 AM;14.13;87.290;28.060;44562.000;26.000
07.07.17;11:48:35 AM;14.38;87.510;28.030;44589.000;26.000
07.07.17;11:48:50 AM;14.63;87.150;28.080;44650.000;26.000
07.07.17;11:49:05 AM;14.88;86.930;28.100;44686.000;26.000
07.07.17;11:49:20 AM;15.13;86.730;28.130;44704.000;26.000
07.07.17;11:49:35 AM;15.38;86.740;28.130;44753.000;26.000
07.07.17;11:49:50 AM;15.63;86.690;28.130;44817.000;26.000
07.07.17;11:50:05 AM;15.88;86.690;28.130;44852.000;26.000
07.07.17;11:50:20 AM;16.13;86.250;28.190;44880.000;26.000
07.07.17;11:50:35 AM;16.38;86.080;28.210;44919.000;26.000
07.07.17;11:50:50 AM;16.63;86.170;28.200;44945.000;26.000
07.07.17;11:51:05 AM;16.88;86.070;28.210;44993.000;26.000
07.07.17;11:51:20 AM;17.13;85.600;28.270;45027.000;26.000
07.07.17;11:51:35 AM;17.38;85.570;28.270;45065.000;26.000
07.07.17;11:51:50 AM;17.63;85.220;28.320;45107.000;26.000
07.07.17;11:52:05 AM;17.88;85.360;28.300;45149.000;26.000
07.07.17;11:52:20 AM;18.13;85.410;28.300;45152.000;26.000
07.07.17;11:52:35 AM;18.38;85.350;28.300;45177.000;26.000
07.07.17;11:52:50 AM;18.63;85.080;28.340;45224.000;26.000
07.07.17;11:53:05 AM;18.88;85.260;28.310;45259.000;26.000
07.07.17;11:53:20 AM;19.13;85.060;28.340;45299.000;26.000
