07.07.17/1:49 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-29
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 102479
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;1:49:40 PM;0.00;95.120;26.630;13668.000;29.000
07.07.17;1:49:55 PM;0.25;95.090;26.630;13617.000;29.000
07.07.17;1:50:10 PM;0.50;94.770;26.670;13611.000;29.000
07.07.17;1:50:25 PM;0.74;94.940;26.650;13610.000;29.000
07.07.17;1:50:40 PM;1.00;94.790;26.670;13559.000;29.000
07.07.17;1:50:55 PM;1.25;95.410;26.600;13602.000;29.000
07.07.17;1:51:10 PM;1.50;94.320;26.720;13549.000;29.000
07.07.17;1:51:25 PM;1.74;93.590;26.800;13579.000;29.000
07.07.17;1:51:40 PM;1.99;94.280;26.720;13567.000;29.000
07.07.17;1:51:55 PM;2.24;94.290;26.720;13544.000;29.000
07.07.17;1:52:10 PM;2.49;95.050;26.640;13529.000;29.000
07.07.17;1:52:25 PM;2.74;94.420;26.710;13529.000;29.000
07.07.17;1:52:40 PM;3.00;94.140;26.740;13528.000;29.000
07.07.17;1:52:55 PM;3.25;94.760;26.670;13534.000;29.000
07.07.17;1:53:10 PM;3.50;94.490;26.700;13538.000;29.000
