07.07.17/1:49 PM SW ver:OXY10v3_33
Header Ch-5
Description: TBE1-29
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105085
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;1:49:38 PM;0.00;91.590;27.030;42592.000;29.000
07.07.17;1:49:46 PM;0.12;91.470;27.040;42645.000;29.000
07.07.17;1:50:00 PM;0.37;90.220;27.190;42705.000;29.000
07.07.17;1:50:15 PM;0.62;90.730;27.130;42683.000;29.000
07.07.17;1:50:30 PM;0.87;90.640;27.140;42752.000;29.000
07.07.17;1:50:46 PM;1.12;90.630;27.140;42738.000;29.000
07.07.17;1:51:00 PM;1.37;90.760;27.120;42746.000;29.000
07.07.17;1:51:15 PM;1.62;90.230;27.180;42799.000;29.000
07.07.17;1:51:31 PM;1.87;90.620;27.140;42806.000;29.000
07.07.17;1:51:45 PM;2.12;90.760;27.120;42798.000;29.000
07.07.17;1:52:00 PM;2.37;90.160;27.190;42849.000;29.000
07.07.17;1:52:16 PM;2.62;90.110;27.200;42919.000;29.000
07.07.17;1:52:30 PM;2.87;90.140;27.200;42949.000;29.000
07.07.17;1:52:45 PM;3.12;90.290;27.180;42987.000;29.000
07.07.17;1:53:01 PM;3.37;89.770;27.240;42950.000;29.000
07.07.17;1:53:15 PM;3.62;90.120;27.200;42980.000;29.000
07.07.17;1:53:31 PM;3.87;89.760;27.240;42975.000;29.000
07.07.17;1:53:45 PM;4.12;89.850;27.230;43025.000;29.000
07.07.17;1:54:00 PM;4.37;89.420;27.280;43041.000;29.000
07.07.17;1:54:15 PM;4.62;89.970;27.220;43037.000;29.000
07.07.17;1:54:30 PM;4.87;89.460;27.280;43048.000;29.000
07.07.17;1:54:45 PM;5.12;89.170;27.310;43069.000;29.000
07.07.17;1:55:00 PM;5.37;89.230;27.300;43059.000;29.000
07.07.17;1:55:15 PM;5.62;89.190;27.310;43078.000;29.000
07.07.17;1:55:30 PM;5.87;89.490;27.270;43055.000;29.000
07.07.17;1:55:46 PM;6.12;89.670;27.250;43077.000;29.000
07.07.17;1:56:00 PM;6.37;88.590;27.380;43105.000;29.000
07.07.17;1:56:16 PM;6.62;89.220;27.300;43132.000;29.000
07.07.17;1:56:31 PM;6.87;89.470;27.270;43128.000;29.000
07.07.17;1:56:46 PM;7.12;88.700;27.370;43124.000;29.000
07.07.17;1:57:00 PM;7.37;89.030;27.330;43141.000;29.000
07.07.17;1:57:15 PM;7.62;89.090;27.320;43114.000;29.000
07.07.17;1:57:30 PM;7.87;88.910;27.340;43166.000;29.000
07.07.17;1:57:45 PM;8.12;89.570;27.260;43163.000;29.000
07.07.17;1:58:01 PM;8.37;88.660;27.370;43132.000;29.000
07.07.17;1:58:15 PM;8.62;89.150;27.310;43139.000;29.000
07.07.17;1:58:30 PM;8.87;89.210;27.310;43190.000;29.000
07.07.17;1:58:45 PM;9.12;88.620;27.380;43192.000;29.000
07.07.17;1:59:00 PM;9.37;89.060;27.320;43215.000;29.000
07.07.17;1:59:16 PM;9.62;89.530;27.270;43222.000;29.000
07.07.17;1:59:31 PM;9.87;88.650;27.370;43216.000;29.000
07.07.17;1:59:45 PM;10.12;89.100;27.320;43258.000;29.000
07.07.17;2:00:00 PM;10.37;88.910;27.340;43226.000;29.000
07.07.17;2:00:15 PM;10.62;89.060;27.320;43277.000;29.000
07.07.17;2:00:31 PM;10.87;89.060;27.320;43266.000;29.000
07.07.17;2:00:46 PM;11.12;88.210;27.420;43247.000;29.000
07.07.17;2:01:01 PM;11.37;88.860;27.350;43238.000;29.000
07.07.17;2:01:16 PM;11.62;88.690;27.370;43226.000;29.000
07.07.17;2:01:30 PM;11.87;88.670;27.370;43216.000;29.000
07.07.17;2:01:46 PM;12.12;89.090;27.320;43229.000;29.000
07.07.17;2:02:01 PM;12.37;89.110;27.320;43239.000;29.000
07.07.17;2:02:16 PM;12.62;89.090;27.320;43259.000;29.000
07.07.17;2:02:30 PM;12.87;88.520;27.390;43244.000;29.000
07.07.17;2:02:45 PM;13.12;88.870;27.350;43237.000;29.000
07.07.17;2:03:00 PM;13.37;88.090;27.440;43229.000;29.000
07.07.17;2:03:15 PM;13.62;89.010;27.330;43254.000;29.000
07.07.17;2:03:31 PM;13.87;88.920;27.340;43250.000;29.000
07.07.17;2:03:46 PM;14.12;88.730;27.360;43237.000;29.000
07.07.17;2:04:00 PM;14.37;88.300;27.410;43274.000;29.000
07.07.17;2:04:15 PM;14.62;88.670;27.370;43240.000;29.000
07.07.17;2:04:30 PM;14.87;88.480;27.390;43241.000;29.000
07.07.17;2:04:45 PM;15.12;88.650;27.370;43281.000;29.000
07.07.17;2:05:01 PM;15.37;88.340;27.410;43275.000;29.000
07.07.17;2:05:16 PM;15.62;88.670;27.370;43279.000;29.000
07.07.17;2:05:31 PM;15.87;88.730;27.360;43244.000;29.000
07.07.17;2:05:46 PM;16.12;88.940;27.340;43265.000;29.000
07.07.17;2:06:01 PM;16.37;88.750;27.360;43267.000;29.000
07.07.17;2:06:16 PM;16.62;88.310;27.410;43249.000;29.000
07.07.17;2:06:31 PM;16.87;88.290;27.420;43251.000;29.000
07.07.17;2:06:45 PM;17.12;88.610;27.380;43303.000;29.000
07.07.17;2:07:00 PM;17.37;89.010;27.330;43258.000;29.000
07.07.17;2:07:15 PM;17.62;88.080;27.440;43261.000;29.000
07.07.17;2:07:31 PM;17.87;88.350;27.410;43324.000;29.000
07.07.17;2:07:45 PM;18.12;88.760;27.360;43246.000;29.000
07.07.17;2:08:01 PM;18.37;88.520;27.390;43293.000;29.000
07.07.17;2:08:16 PM;18.62;88.330;27.410;43247.000;29.000
07.07.17;2:08:30 PM;18.87;88.680;27.370;43273.000;29.000
07.07.17;2:08:45 PM;19.12;88.690;27.370;43238.000;29.000
07.07.17;2:09:01 PM;19.37;88.390;27.400;43232.000;29.000
07.07.17;2:09:15 PM;19.62;88.530;27.390;43252.000;29.000
07.07.17;2:09:30 PM;19.87;88.430;27.400;43237.000;29.000
07.07.17;2:09:46 PM;20.12;88.800;27.350;43239.000;29.000
07.07.17;2:10:01 PM;20.37;88.460;27.390;43206.000;29.000
