07.07.17/3:30 PM SW ver:OXY10v3_33
Header Ch-10
Description: WWC3-32
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101745
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;3:30:56 PM;0.00;93.230;26.340;33662.000;32.000
07.07.17;3:31:08 PM;0.20;94.160;26.240;33665.000;32.000
07.07.17;3:31:23 PM;0.45;93.540;26.310;33668.000;32.000
07.07.17;3:31:38 PM;0.70;93.070;26.360;33640.000;32.000
07.07.17;3:31:53 PM;0.95;92.600;26.410;33652.000;32.000
07.07.17;3:32:08 PM;1.20;93.480;26.310;33625.000;32.000
07.07.17;3:32:23 PM;1.45;93.410;26.320;33643.000;32.000
07.07.17;3:32:38 PM;1.70;93.090;26.360;33667.000;32.000
07.07.17;3:32:53 PM;1.95;92.760;26.390;33677.000;32.000
07.07.17;3:33:08 PM;2.20;93.310;26.330;33698.000;32.000
07.07.17;3:33:23 PM;2.45;92.920;26.380;33724.000;32.000
07.07.17;3:33:38 PM;2.70;92.550;26.420;33704.000;32.000
07.07.17;3:33:53 PM;2.95;92.520;26.420;33697.000;32.000
07.07.17;3:34:08 PM;3.20;91.690;26.510;33688.000;32.000
07.07.17;3:34:23 PM;3.45;92.730;26.400;33714.000;32.000
07.07.17;3:34:38 PM;3.70;92.790;26.390;33778.000;32.000
07.07.17;3:34:53 PM;3.95;92.280;26.450;33732.000;32.000
07.07.17;3:35:08 PM;4.20;92.380;26.440;33807.000;32.000
07.07.17;3:35:23 PM;4.45;91.400;26.550;33772.000;32.000
07.07.17;3:35:38 PM;4.70;91.610;26.520;33823.000;32.000
07.07.17;3:35:53 PM;4.95;92.120;26.460;33829.000;32.000
07.07.17;3:36:08 PM;5.20;91.840;26.500;33811.000;32.000
07.07.17;3:36:23 PM;5.45;91.760;26.510;33879.000;32.000
07.07.17;3:36:38 PM;5.70;91.960;26.480;33832.000;32.000
07.07.17;3:36:53 PM;5.95;91.910;26.490;33865.000;32.000
07.07.17;3:37:08 PM;6.20;91.960;26.480;33851.000;32.000
07.07.17;3:37:23 PM;6.45;92.680;26.400;33871.000;32.000
07.07.17;3:37:38 PM;6.70;90.850;26.610;33918.000;32.000
07.07.17;3:37:53 PM;6.95;91.730;26.510;33911.000;32.000
07.07.17;3:38:08 PM;7.20;91.620;26.520;33922.000;32.000
07.07.17;3:38:23 PM;7.45;91.210;26.570;33971.000;32.000
07.07.17;3:38:38 PM;7.70;91.050;26.590;33974.000;32.000
07.07.17;3:38:53 PM;7.95;90.960;26.600;33983.000;32.000
07.07.17;3:39:08 PM;8.20;90.730;26.620;34027.000;32.000
07.07.17;3:39:23 PM;8.45;90.730;26.620;34028.000;32.000
07.07.17;3:39:38 PM;8.70;89.990;26.710;34086.000;32.000
07.07.17;3:39:53 PM;8.95;90.450;26.660;34070.000;32.000
07.07.17;3:40:08 PM;9.20;90.280;26.680;34062.000;32.000
07.07.17;3:40:23 PM;9.45;90.940;26.600;34029.000;32.000
07.07.17;3:40:38 PM;9.70;90.510;26.650;34072.000;32.000
07.07.17;3:40:53 PM;9.95;90.000;26.710;34091.000;32.000
07.07.17;3:41:08 PM;10.20;90.020;26.710;34138.000;32.000
07.07.17;3:41:23 PM;10.45;90.540;26.640;34112.000;32.000
07.07.17;3:41:38 PM;10.70;89.600;26.750;34142.000;32.000
07.07.17;3:41:53 PM;10.95;90.210;26.680;34183.000;32.000
07.07.17;3:42:08 PM;11.20;89.530;26.760;34185.000;32.000
07.07.17;3:42:23 PM;11.45;89.300;26.790;34216.000;32.000
07.07.17;3:42:38 PM;11.70;89.640;26.750;34273.000;32.000
07.07.17;3:42:53 PM;11.95;89.340;26.780;34235.000;32.000
07.07.17;3:43:08 PM;12.20;89.030;26.820;34265.000;32.000
07.07.17;3:43:23 PM;12.45;89.030;26.820;34296.000;32.000
07.07.17;3:43:38 PM;12.70;89.140;26.810;34355.000;32.000
07.07.17;3:43:53 PM;12.95;88.890;26.840;34319.000;32.000
07.07.17;3:44:08 PM;13.20;89.030;26.820;34424.000;32.000
07.07.17;3:44:23 PM;13.45;88.430;26.890;34452.000;32.000
07.07.17;3:44:38 PM;13.70;88.600;26.870;34462.000;32.000
07.07.17;3:44:53 PM;13.95;88.390;26.900;34460.000;32.000
07.07.17;3:45:08 PM;14.20;88.130;26.930;34514.000;32.000
07.07.17;3:45:23 PM;14.45;87.360;27.020;34534.000;32.000
07.07.17;3:45:38 PM;14.70;87.540;27.000;34562.000;32.000
07.07.17;3:45:53 PM;14.95;86.900;27.080;34620.000;32.000
07.07.17;3:46:08 PM;15.20;87.950;26.950;34656.000;32.000
07.07.17;3:46:23 PM;15.45;87.450;27.010;34665.000;32.000
07.07.17;3:46:38 PM;15.70;87.060;27.060;34695.000;32.000
07.07.17;3:46:53 PM;15.95;86.640;27.110;34707.000;32.000
07.07.17;3:47:08 PM;16.20;87.340;27.020;34729.000;32.000
07.07.17;3:47:23 PM;16.45;87.060;27.060;34785.000;32.000
07.07.17;3:47:38 PM;16.70;86.890;27.080;34788.000;32.000
07.07.17;3:47:53 PM;16.95;86.690;27.100;34794.000;32.000
07.07.17;3:48:08 PM;17.20;86.690;27.100;34785.000;32.000
07.07.17;3:48:23 PM;17.45;86.490;27.130;34866.000;32.000
07.07.17;3:48:38 PM;17.70;86.590;27.110;34862.000;32.000
07.07.17;3:48:53 PM;17.95;86.250;27.150;34876.000;32.000
07.07.17;3:49:08 PM;18.20;86.190;27.160;34911.000;32.000
07.07.17;3:49:23 PM;18.45;85.420;27.260;34926.000;32.000
07.07.17;3:49:38 PM;18.70;85.330;27.270;34988.000;32.000
07.07.17;3:49:53 PM;18.95;85.800;27.210;35032.000;32.000
07.07.17;3:50:08 PM;19.20;85.460;27.250;35034.000;32.000
07.07.17;3:50:23 PM;19.45;85.550;27.240;35078.000;32.000
