07.07.17/3:30 PM SW ver:OXY10v3_33
Header Ch-3
Description: TWD1-32
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106195
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;3:30:54 PM;0.00;92.920;26.370;27943.000;32.000
07.07.17;3:31:09 PM;0.25;92.480;26.420;27963.000;32.000
07.07.17;3:31:24 PM;0.49;92.500;26.420;27933.000;32.000
07.07.17;3:31:39 PM;0.74;92.080;26.470;27943.000;32.000
07.07.17;3:31:54 PM;0.99;92.160;26.460;28007.000;32.000
07.07.17;3:32:09 PM;1.24;91.730;26.510;27960.000;32.000
07.07.17;3:32:24 PM;1.49;90.980;26.590;27983.000;32.000
07.07.17;3:32:39 PM;1.74;91.610;26.520;27978.000;32.000
07.07.17;3:32:54 PM;1.99;91.440;26.540;28036.000;32.000
07.07.17;3:33:09 PM;2.25;91.360;26.550;28037.000;32.000
07.07.17;3:33:24 PM;2.49;91.890;26.490;28047.000;32.000
07.07.17;3:33:39 PM;2.74;91.510;26.530;28051.000;32.000
07.07.17;3:33:54 PM;2.99;91.430;26.540;28088.000;32.000
07.07.17;3:34:09 PM;3.24;91.430;26.540;28092.000;32.000
07.07.17;3:34:24 PM;3.49;90.330;26.670;28130.000;32.000
07.07.17;3:34:39 PM;3.75;91.210;26.570;28146.000;32.000
07.07.17;3:34:54 PM;3.99;90.940;26.600;28177.000;32.000
07.07.17;3:35:09 PM;4.24;90.450;26.660;28192.000;32.000
07.07.17;3:35:24 PM;4.49;90.180;26.690;28238.000;32.000
07.07.17;3:35:39 PM;4.74;89.930;26.720;28201.000;32.000
07.07.17;3:35:54 PM;4.99;90.000;26.710;28236.000;32.000
07.07.17;3:36:09 PM;5.24;90.110;26.690;28295.000;32.000
07.07.17;3:36:24 PM;5.49;89.640;26.750;28286.000;32.000
07.07.17;3:36:39 PM;5.74;90.670;26.630;28284.000;32.000
07.07.17;3:36:54 PM;5.99;89.580;26.760;28332.000;32.000
07.07.17;3:37:09 PM;6.25;89.580;26.760;28357.000;32.000
07.07.17;3:37:24 PM;6.50;89.030;26.820;28373.000;32.000
07.07.17;3:37:39 PM;6.75;89.260;26.790;28421.000;32.000
07.07.17;3:37:54 PM;6.99;89.480;26.770;28413.000;32.000
07.07.17;3:38:09 PM;7.24;88.750;26.850;28442.000;32.000
07.07.17;3:38:24 PM;7.49;89.420;26.780;28462.000;32.000
07.07.17;3:38:39 PM;7.74;89.200;26.800;28494.000;32.000
07.07.17;3:38:54 PM;7.99;88.890;26.840;28499.000;32.000
07.07.17;3:39:09 PM;8.24;88.960;26.830;28536.000;32.000
07.07.17;3:39:24 PM;8.50;88.080;26.930;28585.000;32.000
07.07.17;3:39:39 PM;8.74;88.730;26.860;28606.000;32.000
07.07.17;3:39:54 PM;8.99;87.750;26.970;28601.000;32.000
07.07.17;3:40:09 PM;9.25;87.850;26.960;28656.000;32.000
07.07.17;3:40:24 PM;9.49;87.820;26.960;28654.000;32.000
07.07.17;3:40:39 PM;9.75;87.780;26.970;28697.000;32.000
07.07.17;3:40:54 PM;9.99;87.700;26.980;28705.000;32.000
07.07.17;3:41:09 PM;10.24;87.750;26.970;28752.000;32.000
07.07.17;3:41:24 PM;10.50;87.560;27.000;28686.000;32.000
07.07.17;3:41:39 PM;10.74;86.850;27.080;28750.000;32.000
07.07.17;3:41:54 PM;11.00;86.440;27.130;28743.000;32.000
07.07.17;3:42:09 PM;11.24;87.340;27.020;28822.000;32.000
07.07.17;3:42:24 PM;11.49;87.210;27.040;28827.000;32.000
07.07.17;3:42:39 PM;11.74;86.410;27.130;28883.000;32.000
07.07.17;3:42:54 PM;11.99;86.010;27.180;28894.000;32.000
07.07.17;3:43:09 PM;12.25;86.670;27.100;28852.000;32.000
07.07.17;3:43:24 PM;12.49;86.450;27.130;28892.000;32.000
07.07.17;3:43:39 PM;12.74;86.870;27.080;28933.000;32.000
07.07.17;3:43:54 PM;12.99;86.280;27.150;28948.000;32.000
07.07.17;3:44:09 PM;13.25;85.270;27.280;28990.000;32.000
07.07.17;3:44:24 PM;13.50;85.800;27.210;28983.000;32.000
07.07.17;3:44:39 PM;13.74;85.710;27.220;28998.000;32.000
07.07.17;3:44:54 PM;14.00;86.210;27.160;29064.000;32.000
07.07.17;3:45:09 PM;14.25;85.260;27.280;29070.000;32.000
07.07.17;3:45:24 PM;14.49;85.710;27.220;29068.000;32.000
07.07.17;3:45:39 PM;14.74;85.550;27.240;29084.000;32.000
07.07.17;3:45:54 PM;14.99;85.020;27.310;29088.000;32.000
07.07.17;3:46:09 PM;15.25;85.090;27.300;29107.000;32.000
07.07.17;3:46:24 PM;15.49;84.920;27.320;29153.000;32.000
07.07.17;3:46:39 PM;15.74;85.440;27.250;29193.000;32.000
07.07.17;3:46:54 PM;15.99;85.200;27.280;29229.000;32.000
07.07.17;3:47:09 PM;16.24;84.720;27.340;29220.000;32.000
07.07.17;3:47:24 PM;16.50;85.010;27.310;29283.000;32.000
07.07.17;3:47:39 PM;16.75;84.510;27.370;29263.000;32.000
07.07.17;3:47:54 PM;16.99;84.750;27.340;29249.000;32.000
07.07.17;3:48:09 PM;17.24;84.480;27.370;29313.000;32.000
07.07.17;3:48:24 PM;17.50;83.960;27.440;29323.000;32.000
07.07.17;3:48:39 PM;17.75;83.930;27.440;29333.000;32.000
07.07.17;3:48:54 PM;17.99;84.100;27.420;29373.000;32.000
07.07.17;3:49:09 PM;18.24;83.430;27.510;29345.000;32.000
07.07.17;3:49:24 PM;18.49;83.320;27.520;29373.000;32.000
07.07.17;3:49:39 PM;18.75;83.290;27.520;29490.000;32.000
07.07.17;3:49:54 PM;19.00;83.890;27.450;29444.000;32.000
07.07.17;3:50:09 PM;19.24;83.340;27.520;29458.000;32.000
