07.07.17/3:30 PM SW ver:OXY10v3_33
Header Ch-6
Description: WBG1-32
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102261
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;3:30:53 PM;0.00;93.430;26.320;33542.000;32.000
07.07.17;3:31:00 PM;0.12;92.940;26.370;33542.000;32.000
07.07.17;3:31:15 PM;0.37;93.680;26.290;33548.000;32.000
07.07.17;3:31:30 PM;0.62;93.930;26.260;33545.000;32.000
07.07.17;3:31:45 PM;0.87;92.950;26.370;33668.000;32.000
07.07.17;3:32:00 PM;1.12;92.970;26.370;33619.000;32.000
07.07.17;3:32:15 PM;1.37;94.080;26.250;33624.000;32.000
07.07.17;3:32:30 PM;1.62;93.670;26.290;33658.000;32.000
07.07.17;3:32:45 PM;1.87;93.890;26.270;33658.000;32.000
07.07.17;3:33:00 PM;2.12;92.680;26.400;33659.000;32.000
07.07.17;3:33:15 PM;2.37;92.360;26.440;33738.000;32.000
07.07.17;3:33:30 PM;2.62;93.790;26.280;33778.000;32.000
07.07.17;3:33:45 PM;2.87;93.100;26.360;33734.000;32.000
07.07.17;3:34:00 PM;3.12;93.270;26.340;33756.000;32.000
07.07.17;3:34:15 PM;3.37;92.740;26.400;33805.000;32.000
07.07.17;3:34:30 PM;3.62;92.180;26.460;33832.000;32.000
07.07.17;3:34:45 PM;3.87;92.190;26.460;33847.000;32.000
07.07.17;3:35:00 PM;4.12;92.050;26.470;33892.000;32.000
07.07.17;3:35:15 PM;4.37;92.000;26.480;33913.000;32.000
07.07.17;3:35:30 PM;4.62;92.250;26.450;33870.000;32.000
07.07.17;3:35:45 PM;4.87;91.980;26.480;33919.000;32.000
07.07.17;3:36:00 PM;5.12;91.880;26.490;33902.000;32.000
07.07.17;3:36:15 PM;5.37;92.320;26.440;33953.000;32.000
07.07.17;3:36:30 PM;5.62;91.800;26.500;33943.000;32.000
07.07.17;3:36:45 PM;5.87;91.760;26.510;33961.000;32.000
07.07.17;3:37:00 PM;6.12;90.910;26.600;34038.000;32.000
