07.07.17/2:58 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-32
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 102479
Frequency         : 006
Sending interval  : 0001
Averaging         : 9
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;2:58:28 PM;0.00;94.370;26.210;10118.000;32.000
07.07.17;2:58:37 PM;0.14;94.780;26.170;10140.000;32.000
07.07.17;2:58:52 PM;0.40;94.540;26.200;10106.000;32.000
07.07.17;2:59:07 PM;0.65;94.040;26.250;10075.000;32.000
07.07.17;2:59:22 PM;0.89;95.400;26.100;10066.000;32.000
07.07.17;2:59:37 PM;1.14;94.530;26.200;10085.000;32.000
07.07.17;2:59:52 PM;1.40;94.570;26.190;10055.000;32.000
07.07.17;3:00:07 PM;1.65;95.480;26.090;10045.000;32.000
07.07.17;3:00:22 PM;1.89;94.290;26.220;10042.000;32.000
07.07.17;3:00:37 PM;2.15;95.300;26.110;10036.000;32.000
07.07.17;3:00:52 PM;2.40;93.900;26.270;10021.000;32.000
07.07.17;3:01:07 PM;2.65;95.290;26.110;10042.000;32.000
07.07.17;3:01:22 PM;2.90;94.820;26.170;10013.000;32.000
07.07.17;3:01:37 PM;3.15;94.980;26.150;10007.000;32.000
07.07.17;3:01:52 PM;3.39;94.370;26.210;10014.000;32.000
07.07.17;3:02:07 PM;3.65;95.310;26.110;10005.000;32.000
07.07.17;3:02:22 PM;3.90;95.010;26.150;10012.000;32.000
07.07.17;3:02:37 PM;4.15;92.970;26.370;10009.000;32.000
07.07.17;3:02:52 PM;4.39;94.570;26.190;9989.000;32.000
07.07.17;3:03:07 PM;4.65;94.070;26.250;10001.000;32.000
07.07.17;3:03:22 PM;4.90;94.220;26.230;9993.000;32.000
07.07.17;3:03:37 PM;5.15;93.650;26.290;9996.000;32.000
07.07.17;3:03:52 PM;5.40;94.780;26.170;10006.000;32.000
07.07.17;3:04:07 PM;5.64;94.740;26.170;10007.000;32.000
07.07.17;3:04:22 PM;5.90;94.370;26.210;9980.000;32.000
07.07.17;3:04:37 PM;6.15;94.000;26.260;9991.000;32.000
07.07.17;3:04:52 PM;6.40;94.960;26.150;9988.000;32.000
07.07.17;3:05:07 PM;6.65;94.540;26.200;9978.000;32.000
07.07.17;3:05:22 PM;6.90;94.810;26.170;9994.000;32.000
07.07.17;3:05:37 PM;7.15;94.210;26.230;9979.000;32.000
07.07.17;3:05:52 PM;7.40;94.590;26.190;9971.000;32.000
07.07.17;3:06:07 PM;7.65;94.280;26.220;9978.000;32.000
07.07.17;3:06:22 PM;7.90;95.020;26.140;9978.000;32.000
07.07.17;3:06:37 PM;8.15;94.360;26.220;9977.000;32.000
07.07.17;3:06:52 PM;8.40;94.310;26.220;9992.000;32.000
07.07.17;3:07:07 PM;8.65;94.300;26.220;9966.000;32.000
07.07.17;3:07:22 PM;8.90;94.280;26.220;9985.000;32.000
07.07.17;3:07:37 PM;9.15;94.550;26.200;9987.000;32.000
07.07.17;3:07:52 PM;9.40;94.750;26.170;9984.000;32.000
07.07.17;3:08:07 PM;9.65;94.740;26.170;9977.000;32.000
07.07.17;3:08:22 PM;9.90;93.290;26.330;9975.000;32.000
07.07.17;3:08:37 PM;10.15;93.860;26.270;9975.000;32.000
07.07.17;3:08:52 PM;10.40;94.890;26.160;9965.000;32.000
07.07.17;3:09:07 PM;10.65;94.490;26.200;9974.000;32.000
07.07.17;3:09:22 PM;10.90;94.250;26.230;9973.000;32.000
07.07.17;3:09:37 PM;11.15;94.250;26.230;9980.000;32.000
07.07.17;3:09:52 PM;11.40;94.020;26.250;9993.000;32.000
07.07.17;3:10:07 PM;11.65;94.740;26.170;9979.000;32.000
07.07.17;3:10:22 PM;11.90;93.670;26.290;9977.000;32.000
07.07.17;3:10:37 PM;12.15;94.270;26.230;9975.000;32.000
07.07.17;3:10:52 PM;12.40;95.200;26.120;9988.000;32.000
07.07.17;3:11:07 PM;12.65;94.340;26.220;9977.000;32.000
07.07.17;3:11:22 PM;12.90;93.940;26.260;9972.000;32.000
07.07.17;3:11:37 PM;13.15;93.770;26.280;9980.000;32.000
07.07.17;3:11:52 PM;13.40;94.440;26.210;9974.000;32.000
07.07.17;3:12:07 PM;13.65;94.670;26.180;9981.000;32.000
07.07.17;3:12:22 PM;13.90;94.590;26.190;9970.000;32.000
07.07.17;3:12:37 PM;14.15;93.460;26.310;9981.000;32.000
07.07.17;3:12:52 PM;14.40;94.150;26.240;9992.000;32.000
07.07.17;3:13:07 PM;14.65;94.590;26.190;9988.000;32.000
07.07.17;3:13:22 PM;14.90;94.000;26.260;9977.000;32.000
07.07.17;3:13:37 PM;15.15;93.020;26.360;9997.000;32.000
07.07.17;3:13:52 PM;15.40;93.800;26.280;9963.000;32.000
07.07.17;3:14:07 PM;15.65;94.210;26.230;9973.000;32.000
07.07.17;3:14:22 PM;15.90;93.580;26.300;9978.000;32.000
07.07.17;3:14:37 PM;16.15;94.040;26.250;9966.000;32.000
07.07.17;3:14:52 PM;16.40;95.060;26.140;9963.000;32.000
07.07.17;3:15:07 PM;16.65;93.860;26.270;9979.000;32.000
07.07.17;3:15:22 PM;16.90;94.100;26.240;9976.000;32.000
07.07.17;3:15:37 PM;17.15;94.920;26.150;9972.000;32.000
07.07.17;3:15:52 PM;17.40;93.780;26.280;9967.000;32.000
07.07.17;3:16:07 PM;17.65;94.290;26.220;9981.000;32.000
07.07.17;3:16:22 PM;17.90;94.330;26.220;9946.000;32.000
07.07.17;3:16:37 PM;18.15;93.940;26.260;9948.000;32.000
07.07.17;3:16:52 PM;18.40;94.260;26.230;9968.000;32.000
07.07.17;3:17:07 PM;18.65;94.720;26.180;9990.000;32.000
07.07.17;3:17:22 PM;18.90;94.110;26.240;9931.000;32.000
07.07.17;3:17:37 PM;19.15;94.040;26.250;9935.000;32.000
07.07.17;3:17:52 PM;19.40;95.070;26.140;9955.000;32.000
07.07.17;3:18:07 PM;19.65;93.730;26.290;9948.000;32.000
07.07.17;3:18:22 PM;19.90;94.710;26.180;9928.000;32.000
07.07.17;3:18:37 PM;20.15;93.630;26.300;9934.000;32.000
