07.07.17/2:58 PM SW ver:OXY10v3_33
Header Ch-3
Description: TWD1-32
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106195
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;2:58:29 PM;0.00;92.340;26.440;27947.000;32.000
07.07.17;2:58:39 PM;0.17;92.050;26.470;27965.000;32.000
07.07.17;2:58:54 PM;0.42;92.170;26.460;27950.000;32.000
07.07.17;2:59:09 PM;0.67;92.240;26.450;27963.000;32.000
07.07.17;2:59:24 PM;0.92;92.420;26.430;27975.000;32.000
07.07.17;2:59:39 PM;1.17;92.150;26.460;28000.000;32.000
07.07.17;2:59:54 PM;1.42;91.870;26.490;27984.000;32.000
07.07.17;3:00:09 PM;1.67;91.980;26.480;28011.000;32.000
07.07.17;3:00:24 PM;1.92;91.760;26.510;27994.000;32.000
07.07.17;3:00:39 PM;2.17;92.420;26.430;28024.000;32.000
07.07.17;3:00:54 PM;2.42;91.910;26.490;28023.000;32.000
07.07.17;3:01:09 PM;2.67;91.520;26.530;28030.000;32.000
07.07.17;3:01:24 PM;2.92;91.280;26.560;28066.000;32.000
07.07.17;3:01:39 PM;3.17;91.350;26.550;28084.000;32.000
07.07.17;3:01:54 PM;3.42;91.140;26.580;28086.000;32.000
07.07.17;3:02:09 PM;3.67;91.330;26.550;28074.000;32.000
07.07.17;3:02:24 PM;3.92;90.900;26.600;28116.000;32.000
07.07.17;3:02:39 PM;4.17;90.900;26.600;28121.000;32.000
07.07.17;3:02:54 PM;4.42;90.550;26.640;28132.000;32.000
07.07.17;3:03:09 PM;4.67;91.210;26.570;28172.000;32.000
07.07.17;3:03:24 PM;4.92;91.090;26.580;28169.000;32.000
07.07.17;3:03:39 PM;5.17;90.450;26.660;28223.000;32.000
07.07.17;3:03:54 PM;5.42;90.410;26.660;28225.000;32.000
07.07.17;3:04:09 PM;5.67;90.250;26.680;28246.000;32.000
07.07.17;3:04:24 PM;5.92;89.590;26.760;28254.000;32.000
07.07.17;3:04:39 PM;6.17;90.100;26.700;28268.000;32.000
07.07.17;3:04:54 PM;6.42;90.210;26.680;28321.000;32.000
07.07.17;3:05:09 PM;6.67;89.830;26.730;28317.000;32.000
07.07.17;3:05:24 PM;6.92;89.840;26.730;28360.000;32.000
07.07.17;3:05:39 PM;7.17;89.360;26.780;28356.000;32.000
07.07.17;3:05:54 PM;7.42;89.250;26.790;28355.000;32.000
07.07.17;3:06:09 PM;7.67;89.260;26.790;28386.000;32.000
07.07.17;3:06:24 PM;7.92;89.650;26.750;28415.000;32.000
07.07.17;3:06:39 PM;8.17;89.010;26.820;28443.000;32.000
