07.07.17/2:58 PM SW ver:OXY10v3_33
Header Ch-4
Description: WWI2-32
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99779
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;2:58:29 PM;0.00;92.650;26.410;32332.000;32.000
07.07.17;2:58:41 PM;0.20;92.180;26.460;32351.000;32.000
07.07.17;2:58:56 PM;0.45;91.900;26.490;32381.000;32.000
07.07.17;2:59:11 PM;0.70;93.990;26.260;32365.000;32.000
07.07.17;2:59:26 PM;0.95;91.610;26.520;32385.000;32.000
07.07.17;2:59:41 PM;1.20;91.990;26.480;32399.000;32.000
07.07.17;2:59:56 PM;1.45;91.660;26.520;32418.000;32.000
07.07.17;3:00:11 PM;1.70;91.440;26.540;32420.000;32.000
07.07.17;3:00:26 PM;1.95;91.590;26.520;32435.000;32.000
07.07.17;3:00:41 PM;2.20;91.300;26.560;32448.000;32.000
07.07.17;3:00:56 PM;2.45;91.430;26.540;32463.000;32.000
07.07.17;3:01:11 PM;2.70;91.400;26.550;32487.000;32.000
07.07.17;3:01:26 PM;2.95;91.630;26.520;32512.000;32.000
07.07.17;3:01:41 PM;3.20;91.010;26.590;32536.000;32.000
07.07.17;3:01:56 PM;3.45;90.950;26.600;32523.000;32.000
07.07.17;3:02:11 PM;3.70;90.610;26.640;32546.000;32.000
07.07.17;3:02:26 PM;3.95;91.070;26.580;32567.000;32.000
07.07.17;3:02:41 PM;4.20;90.630;26.630;32597.000;32.000
