07.07.17/2:58 PM SW ver:OXY10v3_33
Header Ch-5
Description: TBE1-32
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105085
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;2:58:30 PM;0.00;91.060;26.590;41351.000;32.000
07.07.17;2:58:43 PM;0.22;91.010;26.590;41417.000;32.000
07.07.17;2:58:58 PM;0.47;91.080;26.580;41404.000;32.000
07.07.17;2:59:13 PM;0.72;91.210;26.570;41432.000;32.000
07.07.17;2:59:28 PM;0.97;90.940;26.600;41464.000;32.000
07.07.17;2:59:43 PM;1.22;90.310;26.670;41517.000;32.000
07.07.17;2:59:58 PM;1.47;90.490;26.650;41570.000;32.000
07.07.17;3:00:13 PM;1.72;90.470;26.650;41558.000;32.000
07.07.17;3:00:28 PM;1.97;90.370;26.660;41617.000;32.000
07.07.17;3:00:43 PM;2.22;89.920;26.720;41649.000;32.000
07.07.17;3:00:58 PM;2.47;89.850;26.720;41693.000;32.000
07.07.17;3:01:13 PM;2.72;90.080;26.700;41709.000;32.000
07.07.17;3:01:28 PM;2.97;89.850;26.730;41734.000;32.000
07.07.17;3:01:43 PM;3.22;89.600;26.750;41783.000;32.000
