07.07.17/2:58 PM SW ver:OXY10v3_33
Header Ch-6
Description: WBG1-32
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102261
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;2:58:30 PM;0.00;94.370;26.210;33490.000;32.000
07.07.17;2:58:45 PM;0.25;93.690;26.290;33590.000;32.000
07.07.17;2:59:00 PM;0.50;94.670;26.180;33585.000;32.000
07.07.17;2:59:15 PM;0.75;93.920;26.260;33627.000;32.000
07.07.17;2:59:30 PM;1.00;94.520;26.200;33625.000;32.000
07.07.17;2:59:45 PM;1.25;93.610;26.300;33643.000;32.000
07.07.17;3:00:00 PM;1.50;93.560;26.300;33616.000;32.000
07.07.17;3:00:15 PM;1.75;93.620;26.300;33718.000;32.000
07.07.17;3:00:30 PM;2.00;93.310;26.330;33715.000;32.000
07.07.17;3:00:45 PM;2.25;93.700;26.290;33730.000;32.000
07.07.17;3:01:00 PM;2.50;93.270;26.340;33707.000;32.000
07.07.17;3:01:15 PM;2.75;93.080;26.360;33798.000;32.000
07.07.17;3:01:30 PM;3.00;92.770;26.390;33772.000;32.000
07.07.17;3:01:45 PM;3.25;93.700;26.290;33793.000;32.000
07.07.17;3:02:00 PM;3.50;92.720;26.400;33849.000;32.000
07.07.17;3:02:15 PM;3.75;92.780;26.390;33844.000;32.000
07.07.17;3:02:30 PM;4.00;92.690;26.400;33880.000;32.000
07.07.17;3:02:45 PM;4.25;92.240;26.450;33900.000;32.000
07.07.17;3:03:00 PM;4.50;92.070;26.470;33956.000;32.000
07.07.17;3:03:15 PM;4.75;92.360;26.440;33975.000;32.000
07.07.17;3:03:30 PM;5.00;91.770;26.500;33993.000;32.000
07.07.17;3:03:45 PM;5.25;91.500;26.530;34057.000;32.000
07.07.17;3:04:00 PM;5.50;91.410;26.550;34029.000;32.000
