07.07.17/2:58 PM SW ver:OXY10v3_33
Header Ch-7
Description: TWA5-32
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 98034
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
07.07.17;2:58:27 PM;0.00;92.280;26.450;28579.000;32.000
07.07.17;2:58:33 PM;0.09;91.860;26.490;28615.000;32.000
07.07.17;2:58:47 PM;0.33;91.730;26.510;28611.000;32.000
07.07.17;2:59:02 PM;0.58;91.570;26.530;28611.000;32.000
07.07.17;2:59:17 PM;0.83;91.570;26.530;28617.000;32.000
07.07.17;2:59:32 PM;1.08;91.710;26.510;28620.000;32.000
07.07.17;2:59:47 PM;1.33;91.420;26.540;28662.000;32.000
07.07.17;3:00:02 PM;1.58;91.210;26.570;28683.000;32.000
07.07.17;3:00:17 PM;1.83;91.240;26.560;28740.000;32.000
07.07.17;3:00:32 PM;2.08;90.980;26.590;28766.000;32.000
07.07.17;3:00:47 PM;2.33;90.550;26.640;28759.000;32.000
07.07.17;3:01:02 PM;2.58;90.440;26.660;28770.000;32.000
07.07.17;3:01:17 PM;2.83;90.540;26.640;28810.000;32.000
07.07.17;3:01:32 PM;3.08;90.420;26.660;28842.000;32.000
07.07.17;3:01:47 PM;3.33;90.040;26.700;28849.000;32.000
07.07.17;3:02:02 PM;3.58;89.530;26.760;28904.000;32.000
07.07.17;3:02:17 PM;3.83;90.030;26.700;28928.000;32.000
07.07.17;3:02:32 PM;4.08;89.930;26.720;28964.000;32.000
07.07.17;3:02:47 PM;4.33;89.300;26.790;28985.000;32.000
07.07.17;3:03:02 PM;4.58;89.300;26.790;29008.000;32.000
07.07.17;3:03:17 PM;4.83;89.160;26.810;29034.000;32.000
07.07.17;3:03:32 PM;5.08;89.160;26.810;29054.000;32.000
07.07.17;3:03:47 PM;5.33;88.510;26.880;29105.000;32.000
07.07.17;3:04:02 PM;5.58;88.490;26.880;29107.000;32.000
07.07.17;3:04:17 PM;5.83;88.240;26.910;29158.000;32.000
07.07.17;3:04:32 PM;6.08;88.190;26.920;29194.000;32.000
07.07.17;3:04:47 PM;6.33;88.230;26.920;29212.000;32.000
07.07.17;3:05:02 PM;6.58;87.970;26.950;29239.000;32.000
07.07.17;3:05:17 PM;6.83;87.750;26.970;29267.000;32.000
07.07.17;3:05:32 PM;7.08;87.440;27.010;29273.000;32.000
07.07.17;3:05:47 PM;7.33;87.310;27.030;29346.000;32.000
07.07.17;3:06:02 PM;7.58;87.110;27.050;29361.000;32.000
07.07.17;3:06:17 PM;7.83;87.520;27.000;29429.000;32.000
07.07.17;3:06:32 PM;8.08;87.050;27.060;29421.000;32.000
07.07.17;3:06:47 PM;8.33;86.940;27.070;29441.000;32.000
07.07.17;3:07:02 PM;8.58;86.460;27.130;29483.000;32.000
07.07.17;3:07:17 PM;8.83;86.460;27.130;29532.000;32.000
07.07.17;3:07:32 PM;9.08;86.180;27.160;29540.000;32.000
07.07.17;3:07:47 PM;9.33;86.190;27.160;29571.000;32.000
07.07.17;3:08:02 PM;9.58;85.660;27.230;29590.000;32.000
07.07.17;3:08:17 PM;9.83;85.700;27.220;29604.000;32.000
07.07.17;3:08:32 PM;10.08;85.210;27.280;29662.000;32.000
07.07.17;3:08:47 PM;10.33;85.350;27.270;29696.000;32.000
07.07.17;3:09:02 PM;10.58;85.100;27.300;29751.000;32.000
07.07.17;3:09:17 PM;10.83;85.170;27.290;29777.000;32.000
07.07.17;3:09:32 PM;11.08;84.990;27.310;29776.000;32.000
07.07.17;3:09:47 PM;11.33;84.580;27.360;29814.000;32.000
07.07.17;3:10:02 PM;11.58;84.400;27.380;29841.000;32.000
07.07.17;3:10:17 PM;11.83;84.250;27.400;29883.000;32.000
07.07.17;3:10:32 PM;12.08;84.440;27.380;29893.000;32.000
07.07.17;3:10:47 PM;12.33;83.950;27.440;29936.000;32.000
07.07.17;3:11:02 PM;12.58;84.110;27.420;29975.000;32.000
07.07.17;3:11:17 PM;12.83;83.470;27.500;30006.000;32.000
07.07.17;3:11:32 PM;13.08;83.500;27.500;30050.000;32.000
