08.07.17/8:19 AM SW ver:OXY10v3_33
Header Ch-10
Description: TWK5-18
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 102093
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;8:19:53 AM;0.00;95.270;28.570;37456.000;18.000
08.07.17;8:19:54 AM;0.03;95.020;28.600;37474.000;18.000
08.07.17;8:19:56 AM;0.06;95.130;28.580;37453.000;18.000
08.07.17;8:20:02 AM;0.16;95.030;28.600;37491.000;18.000
08.07.17;8:20:17 AM;0.41;95.370;28.560;37479.000;18.000
08.07.17;8:20:32 AM;0.66;95.180;28.580;37430.000;18.000
08.07.17;8:20:47 AM;0.91;95.510;28.540;37432.000;18.000
08.07.17;8:21:02 AM;1.16;95.310;28.560;37438.000;18.000
08.07.17;8:21:17 AM;1.41;95.260;28.570;37432.000;18.000
08.07.17;8:21:32 AM;1.66;94.920;28.610;37429.000;18.000
08.07.17;8:21:47 AM;1.91;95.310;28.560;37413.000;18.000
08.07.17;8:22:02 AM;2.16;95.230;28.570;37440.000;18.000
08.07.17;8:22:17 AM;2.41;95.370;28.560;37449.000;18.000
08.07.17;8:22:32 AM;2.66;94.970;28.600;37429.000;18.000
08.07.17;8:22:47 AM;2.91;94.860;28.620;37449.000;18.000
08.07.17;8:23:02 AM;3.16;95.170;28.580;37446.000;18.000
08.07.17;8:23:17 AM;3.41;94.820;28.620;37436.000;18.000
08.07.17;8:23:32 AM;3.66;94.880;28.610;37458.000;18.000
08.07.17;8:23:47 AM;3.91;94.620;28.640;37489.000;18.000
08.07.17;8:24:02 AM;4.16;95.240;28.570;37491.000;18.000
08.07.17;8:24:17 AM;4.41;94.450;28.660;37499.000;18.000
08.07.17;8:24:32 AM;4.66;94.680;28.640;37486.000;18.000
08.07.17;8:24:47 AM;4.91;94.760;28.630;37510.000;18.000
08.07.17;8:25:02 AM;5.16;94.830;28.620;37513.000;18.000
08.07.17;8:25:17 AM;5.41;94.670;28.640;37517.000;18.000
08.07.17;8:25:32 AM;5.66;94.900;28.610;37525.000;18.000
08.07.17;8:25:47 AM;5.91;94.910;28.610;37545.000;18.000
08.07.17;8:26:02 AM;6.16;94.610;28.640;37572.000;18.000
08.07.17;8:26:17 AM;6.41;94.650;28.640;37553.000;18.000
08.07.17;8:26:32 AM;6.66;94.840;28.620;37555.000;18.000
08.07.17;8:26:47 AM;6.91;94.600;28.650;37567.000;18.000
08.07.17;8:27:02 AM;7.16;94.550;28.650;37612.000;18.000
08.07.17;8:27:17 AM;7.42;94.350;28.670;37581.000;18.000
08.07.17;8:27:32 AM;7.66;94.670;28.640;37636.000;18.000
08.07.17;8:27:47 AM;7.91;94.360;28.670;37637.000;18.000
08.07.17;8:28:02 AM;8.16;94.420;28.670;37650.000;18.000
08.07.17;8:28:17 AM;8.41;94.700;28.630;37669.000;18.000
08.07.17;8:28:32 AM;8.66;94.340;28.680;37682.000;18.000
08.07.17;8:28:47 AM;8.91;94.100;28.700;37703.000;18.000
08.07.17;8:29:02 AM;9.16;94.240;28.690;37694.000;18.000
08.07.17;8:29:17 AM;9.41;94.230;28.690;37700.000;18.000
08.07.17;8:29:32 AM;9.67;94.260;28.680;37727.000;18.000
08.07.17;8:29:47 AM;9.91;94.160;28.700;37732.000;18.000
08.07.17;8:30:02 AM;10.16;93.950;28.720;37747.000;18.000
08.07.17;8:30:17 AM;10.41;94.120;28.700;37763.000;18.000
08.07.17;8:30:32 AM;10.66;94.320;28.680;37767.000;18.000
08.07.17;8:30:47 AM;10.91;94.200;28.690;37784.000;18.000
08.07.17;8:31:02 AM;11.16;93.930;28.720;37760.000;18.000
08.07.17;8:31:17 AM;11.41;94.150;28.700;37775.000;18.000
08.07.17;8:31:32 AM;11.66;94.140;28.700;37809.000;18.000
08.07.17;8:31:47 AM;11.91;93.550;28.770;37793.000;18.000
08.07.17;8:32:02 AM;12.16;93.720;28.750;37817.000;18.000
08.07.17;8:32:17 AM;12.41;93.910;28.730;37819.000;18.000
08.07.17;8:32:32 AM;12.66;93.370;28.790;37828.000;18.000
08.07.17;8:32:47 AM;12.91;93.770;28.740;37838.000;18.000
08.07.17;8:33:02 AM;13.16;93.830;28.730;37815.000;18.000
08.07.17;8:33:17 AM;13.41;93.660;28.750;37867.000;18.000
08.07.17;8:33:32 AM;13.66;93.630;28.760;37850.000;18.000
08.07.17;8:33:47 AM;13.91;93.420;28.780;37839.000;18.000
08.07.17;8:34:02 AM;14.16;93.540;28.770;37845.000;18.000
08.07.17;8:34:17 AM;14.41;93.600;28.760;37845.000;18.000
08.07.17;8:34:32 AM;14.66;93.600;28.760;37855.000;18.000
08.07.17;8:34:47 AM;14.91;93.410;28.780;37851.000;18.000
08.07.17;8:35:02 AM;15.16;93.380;28.790;37870.000;18.000
08.07.17;8:35:17 AM;15.41;93.280;28.800;37850.000;18.000
08.07.17;8:35:32 AM;15.66;93.580;28.760;37854.000;18.000
08.07.17;8:35:47 AM;15.91;93.370;28.790;37859.000;18.000
08.07.17;8:36:02 AM;16.16;93.060;28.830;37887.000;18.000
08.07.17;8:36:17 AM;16.41;93.310;28.800;37897.000;18.000
08.07.17;8:36:32 AM;16.66;92.920;28.840;37879.000;18.000
08.07.17;8:36:47 AM;16.92;93.030;28.830;37893.000;18.000
08.07.17;8:37:02 AM;17.16;93.220;28.810;37879.000;18.000
08.07.17;8:37:17 AM;17.41;93.280;28.800;37882.000;18.000
08.07.17;8:37:32 AM;17.66;93.420;28.780;37895.000;18.000
08.07.17;8:37:47 AM;17.91;92.700;28.870;37909.000;18.000
08.07.17;8:38:02 AM;18.16;93.030;28.830;37862.000;18.000
08.07.17;8:38:17 AM;18.41;93.120;28.820;37867.000;18.000
08.07.17;8:38:33 AM;18.67;92.700;28.870;37898.000;18.000
