08.07.17/8:19 AM SW ver:OXY10v3_33
Header Ch-5
Description: WWJ5-18
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105518
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;8:19:44 AM;0.00;92.530;28.890;49275.000;18.000
08.07.17;8:19:45 AM;0.02;92.260;28.920;49268.000;18.000
08.07.17;8:19:53 AM;0.16;92.430;28.900;49284.000;18.000
08.07.17;8:20:08 AM;0.40;92.370;28.910;49301.000;18.000
08.07.17;8:20:23 AM;0.65;92.160;28.930;49323.000;18.000
08.07.17;8:20:38 AM;0.90;92.080;28.940;49342.000;18.000
08.07.17;8:20:53 AM;1.15;91.990;28.950;49364.000;18.000
08.07.17;8:21:08 AM;1.40;92.320;28.910;49338.000;18.000
08.07.17;8:21:23 AM;1.65;92.190;28.930;49397.000;18.000
08.07.17;8:21:38 AM;1.90;92.270;28.920;49361.000;18.000
08.07.17;8:21:53 AM;2.15;92.080;28.940;49403.000;18.000
08.07.17;8:22:08 AM;2.40;92.010;28.950;49397.000;18.000
08.07.17;8:22:23 AM;2.65;92.020;28.950;49433.000;18.000
08.07.17;8:22:38 AM;2.90;91.930;28.960;49445.000;18.000
08.07.17;8:22:53 AM;3.15;91.750;28.980;49445.000;18.000
08.07.17;8:23:08 AM;3.40;91.950;28.960;49452.000;18.000
08.07.17;8:23:23 AM;3.65;92.010;28.950;49440.000;18.000
08.07.17;8:23:38 AM;3.90;91.800;28.980;49469.000;18.000
08.07.17;8:23:53 AM;4.15;91.710;28.990;49467.000;18.000
08.07.17;8:24:08 AM;4.40;91.620;29.000;49487.000;18.000
08.07.17;8:24:23 AM;4.65;91.820;28.970;49465.000;18.000
08.07.17;8:24:38 AM;4.90;91.500;29.010;49467.000;18.000
08.07.17;8:24:53 AM;5.15;91.360;29.030;49503.000;18.000
08.07.17;8:25:08 AM;5.40;91.280;29.040;49484.000;18.000
08.07.17;8:25:23 AM;5.65;91.300;29.040;49500.000;18.000
08.07.17;8:25:38 AM;5.90;91.440;29.020;49507.000;18.000
08.07.17;8:25:53 AM;6.15;91.130;29.060;49464.000;18.000
08.07.17;8:26:08 AM;6.40;91.340;29.030;49484.000;18.000
08.07.17;8:26:23 AM;6.65;91.340;29.030;49506.000;18.000
08.07.17;8:26:38 AM;6.90;91.060;29.060;49518.000;18.000
08.07.17;8:26:53 AM;7.15;90.940;29.080;49482.000;18.000
08.07.17;8:27:08 AM;7.40;90.970;29.080;49486.000;18.000
08.07.17;8:27:23 AM;7.65;90.870;29.090;49514.000;18.000
08.07.17;8:27:38 AM;7.90;90.890;29.080;49479.000;18.000
08.07.17;8:27:53 AM;8.15;90.990;29.070;49499.000;18.000
08.07.17;8:28:08 AM;8.40;90.550;29.130;49479.000;18.000
08.07.17;8:28:23 AM;8.65;90.940;29.080;49513.000;18.000
08.07.17;8:28:38 AM;8.90;90.510;29.130;49518.000;18.000
08.07.17;8:28:53 AM;9.15;90.720;29.110;49532.000;18.000
08.07.17;8:29:08 AM;9.40;90.600;29.120;49522.000;18.000
08.07.17;8:29:23 AM;9.65;90.190;29.170;49522.000;18.000
08.07.17;8:29:38 AM;9.90;90.310;29.160;49529.000;18.000
08.07.17;8:29:53 AM;10.15;90.260;29.160;49537.000;18.000
08.07.17;8:30:08 AM;10.40;90.210;29.170;49549.000;18.000
08.07.17;8:30:23 AM;10.65;90.090;29.180;49565.000;18.000
08.07.17;8:30:38 AM;10.90;89.990;29.190;49521.000;18.000
08.07.17;8:30:53 AM;11.15;89.950;29.200;49558.000;18.000
08.07.17;8:31:08 AM;11.40;89.960;29.200;49566.000;18.000
08.07.17;8:31:23 AM;11.65;89.380;29.270;49567.000;18.000
08.07.17;8:31:38 AM;11.90;89.800;29.220;49566.000;18.000
08.07.17;8:31:53 AM;12.15;89.710;29.230;49575.000;18.000
08.07.17;8:32:08 AM;12.40;89.700;29.230;49577.000;18.000
08.07.17;8:32:23 AM;12.65;89.710;29.230;49577.000;18.000
08.07.17;8:32:38 AM;12.90;89.310;29.280;49576.000;18.000
08.07.17;8:32:53 AM;13.15;89.570;29.250;49620.000;18.000
08.07.17;8:33:08 AM;13.40;89.290;29.280;49614.000;18.000
08.07.17;8:33:23 AM;13.65;89.160;29.300;49604.000;18.000
08.07.17;8:33:38 AM;13.90;89.220;29.290;49608.000;18.000
08.07.17;8:33:53 AM;14.15;89.000;29.320;49629.000;18.000
08.07.17;8:34:08 AM;14.40;88.930;29.330;49642.000;18.000
08.07.17;8:34:23 AM;14.65;88.890;29.330;49656.000;18.000
08.07.17;8:34:38 AM;14.90;88.860;29.330;49649.000;18.000
08.07.17;8:34:53 AM;15.15;88.460;29.380;49676.000;18.000
08.07.17;8:35:08 AM;15.40;88.760;29.350;49690.000;18.000
08.07.17;8:35:23 AM;15.65;88.380;29.390;49666.000;18.000
08.07.17;8:35:38 AM;15.90;88.230;29.410;49701.000;18.000
08.07.17;8:35:53 AM;16.15;88.310;29.400;49697.000;18.000
08.07.17;8:36:08 AM;16.40;88.060;29.430;49742.000;18.000
08.07.17;8:36:23 AM;16.65;88.000;29.440;49728.000;18.000
08.07.17;8:36:38 AM;16.90;88.140;29.420;49750.000;18.000
08.07.17;8:36:53 AM;17.15;88.050;29.440;49728.000;18.000
