Chamber	Time/hh:mm:ss	Logtime/min	Oxy/% air sat.	Phase/°	Amp	Temp/°C	% air-sat.	% oxygen	pO2 (hPa)	pO2 (Torr)	cO2 [mg/L]	cO2 [µmol/L]	Salinity	chlorinity	SalCorcO2 [mg/L]	SalCorcO2 [µmol/L]
5	8:19:44	0.00	92.530	28.890	49275.000	18.000	92.556325	19.3905502	192.413673	144.322522	8.72765875	272.739336	35	19.3739612	7.09029441	221.571700
5	8:19:45	0.02	92.260	28.920	49268.000	18.000	92.303925	19.3376723	191.888962	143.928956	8.70385850	271.995578	35	19.3739612	7.07095925	220.967476
5	8:19:53	0.16	92.430	28.900	49284.000	18.000	92.472099	19.3729047	192.238576	144.191188	8.71971656	272.491143	35	19.3739612	7.08384223	221.370070
5	8:20:08	0.40	92.370	28.910	49301.000	18.000	92.387965	19.3552788	192.063672	144.059999	8.71178315	272.243223	35	19.3739612	7.07739718	221.168662
5	8:20:23	0.65	92.160	28.930	49323.000	18.000	92.219977	19.3200853	191.714445	143.798057	8.69594261	271.748206	35	19.3739612	7.06452842	220.766513
5	8:20:38	0.90	92.080	28.940	49342.000	18.000	92.136122	19.3025177	191.540120	143.667302	8.68803545	271.501108	35	19.3739612	7.05810470	220.565772
5	8:20:53	1.15	91.990	28.950	49364.000	18.000	92.052360	19.2849694	191.365988	143.536692	8.68013702	271.254282	35	19.3739612	7.05168806	220.365252
5	8:21:08	1.40	92.320	28.910	49338.000	18.000	92.387965	19.3552788	192.063672	144.059999	8.71178315	272.243223	35	19.3739612	7.07739718	221.168662
5	8:21:23	1.65	92.190	28.930	49397.000	18.000	92.219977	19.3200853	191.714445	143.798057	8.69594261	271.748206	35	19.3739612	7.06452842	220.766513
5	8:21:38	1.90	92.270	28.920	49361.000	18.000	92.303925	19.3376723	191.888962	143.928956	8.70385850	271.995578	35	19.3739612	7.07095925	220.967476
5	8:21:53	2.15	92.080	28.940	49403.000	18.000	92.136122	19.3025177	191.540120	143.667302	8.68803545	271.501108	35	19.3739612	7.05810470	220.565772
5	8:22:08	2.40	92.010	28.950	49397.000	18.000	92.052360	19.2849694	191.365988	143.536692	8.68013702	271.254282	35	19.3739612	7.05168806	220.365252
5	8:22:23	2.65	92.020	28.950	49433.000	18.000	92.052360	19.2849694	191.365988	143.536692	8.68013702	271.254282	35	19.3739612	7.05168806	220.365252
5	8:22:38	2.90	91.930	28.960	49445.000	18.000	91.968690	19.2674406	191.192048	143.406226	8.67224730	271.007728	35	19.3739612	7.04527850	220.164953
