08.07.17/8:19 AM SW ver:OXY10v3_33
Header Ch-7
Description: TWJ4-18
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 98289
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;8:19:46 AM;0.00;93.070;28.820;33843.000;18.000
08.07.17;8:19:48 AM;0.04;93.540;28.770;33831.000;18.000
08.07.17;8:19:50 AM;0.06;93.240;28.800;33828.000;18.000
08.07.17;8:19:57 AM;0.18;93.550;28.770;33798.000;18.000
08.07.17;8:20:11 AM;0.42;93.140;28.820;33843.000;18.000
08.07.17;8:20:26 AM;0.67;93.420;28.780;33818.000;18.000
08.07.17;8:20:41 AM;0.92;93.600;28.760;33790.000;18.000
08.07.17;8:20:56 AM;1.17;93.500;28.770;33794.000;18.000
08.07.17;8:21:11 AM;1.42;93.350;28.790;33773.000;18.000
08.07.17;8:21:26 AM;1.67;93.580;28.760;33774.000;18.000
08.07.17;8:21:41 AM;1.92;93.290;28.800;33804.000;18.000
08.07.17;8:21:56 AM;2.17;93.250;28.800;33800.000;18.000
08.07.17;8:22:11 AM;2.42;93.290;28.800;33747.000;18.000
08.07.17;8:22:26 AM;2.67;92.980;28.830;33736.000;18.000
08.07.17;8:22:41 AM;2.92;93.340;28.790;33756.000;18.000
08.07.17;8:22:56 AM;3.17;92.870;28.850;33781.000;18.000
08.07.17;8:23:11 AM;3.42;93.280;28.800;33779.000;18.000
08.07.17;8:23:26 AM;3.67;93.070;28.820;33766.000;18.000
08.07.17;8:23:41 AM;3.92;93.010;28.830;33766.000;18.000
08.07.17;8:23:56 AM;4.17;92.850;28.850;33756.000;18.000
08.07.17;8:24:11 AM;4.42;92.640;28.880;33763.000;18.000
08.07.17;8:24:26 AM;4.67;92.620;28.880;33736.000;18.000
08.07.17;8:24:41 AM;4.92;92.860;28.850;33762.000;18.000
08.07.17;8:24:56 AM;5.17;93.250;28.800;33744.000;18.000
08.07.17;8:25:11 AM;5.42;92.730;28.860;33755.000;18.000
08.07.17;8:25:26 AM;5.67;92.540;28.890;33742.000;18.000
08.07.17;8:25:41 AM;5.92;92.860;28.850;33760.000;18.000
08.07.17;8:25:56 AM;6.17;92.810;28.850;33748.000;18.000
08.07.17;8:26:11 AM;6.42;92.700;28.870;33753.000;18.000
08.07.17;8:26:26 AM;6.67;92.270;28.920;33754.000;18.000
08.07.17;8:26:41 AM;6.92;92.750;28.860;33756.000;18.000
08.07.17;8:26:56 AM;7.17;92.860;28.850;33778.000;18.000
08.07.17;8:27:11 AM;7.42;92.590;28.880;33747.000;18.000
08.07.17;8:27:26 AM;7.67;92.360;28.910;33766.000;18.000
08.07.17;8:27:41 AM;7.92;92.380;28.910;33778.000;18.000
08.07.17;8:27:56 AM;8.17;92.480;28.890;33778.000;18.000
08.07.17;8:28:11 AM;8.42;92.600;28.880;33772.000;18.000
08.07.17;8:28:26 AM;8.67;92.430;28.900;33786.000;18.000
08.07.17;8:28:41 AM;8.92;92.540;28.890;33755.000;18.000
08.07.17;8:28:56 AM;9.17;92.400;28.900;33776.000;18.000
08.07.17;8:29:11 AM;9.42;92.280;28.920;33766.000;18.000
08.07.17;8:29:26 AM;9.67;92.500;28.890;33760.000;18.000
08.07.17;8:29:41 AM;9.92;92.140;28.930;33787.000;18.000
08.07.17;8:29:56 AM;10.17;92.120;28.940;33788.000;18.000
08.07.17;8:30:11 AM;10.42;92.060;28.940;33778.000;18.000
08.07.17;8:30:26 AM;10.67;91.660;28.990;33759.000;18.000
08.07.17;8:30:41 AM;10.92;91.870;28.970;33777.000;18.000
08.07.17;8:30:56 AM;11.17;92.220;28.930;33803.000;18.000
08.07.17;8:31:11 AM;11.42;92.050;28.950;33770.000;18.000
08.07.17;8:31:26 AM;11.67;92.040;28.950;33796.000;18.000
08.07.17;8:31:41 AM;11.92;91.780;28.980;33813.000;18.000
08.07.17;8:31:56 AM;12.17;91.950;28.960;33763.000;18.000
08.07.17;8:32:11 AM;12.42;91.790;28.980;33788.000;18.000
08.07.17;8:32:26 AM;12.67;91.860;28.970;33796.000;18.000
08.07.17;8:32:41 AM;12.92;92.030;28.950;33807.000;18.000
08.07.17;8:32:56 AM;13.17;91.920;28.960;33776.000;18.000
08.07.17;8:33:11 AM;13.42;91.470;29.010;33811.000;18.000
08.07.17;8:33:26 AM;13.67;91.510;29.010;33799.000;18.000
08.07.17;8:33:41 AM;13.92;91.780;28.980;33790.000;18.000
08.07.17;8:33:56 AM;14.18;91.460;29.020;33803.000;18.000
08.07.17;8:34:11 AM;14.42;91.560;29.000;33826.000;18.000
08.07.17;8:34:26 AM;14.67;91.610;29.000;33802.000;18.000
08.07.17;8:34:41 AM;14.92;91.550;29.010;33826.000;18.000
08.07.17;8:34:56 AM;15.17;91.560;29.000;33817.000;18.000
08.07.17;8:35:11 AM;15.42;91.460;29.020;33812.000;18.000
08.07.17;8:35:26 AM;15.67;91.160;29.050;33790.000;18.000
08.07.17;8:35:41 AM;15.92;91.700;28.990;33844.000;18.000
08.07.17;8:35:56 AM;16.17;91.140;29.050;33832.000;18.000
08.07.17;8:36:11 AM;16.42;91.370;29.030;33825.000;18.000
08.07.17;8:36:26 AM;16.67;91.650;28.990;33842.000;18.000
08.07.17;8:36:41 AM;16.92;91.550;29.010;33837.000;18.000
08.07.17;8:36:56 AM;17.17;91.170;29.050;33859.000;18.000
08.07.17;8:37:11 AM;17.42;90.880;29.090;33847.000;18.000
08.07.17;8:37:26 AM;17.67;91.040;29.070;33839.000;18.000
08.07.17;8:37:41 AM;17.92;91.170;29.050;33855.000;18.000
08.07.17;8:37:56 AM;18.17;90.730;29.100;33866.000;18.000
08.07.17;8:38:11 AM;18.42;90.870;29.090;33845.000;18.000
08.07.17;8:38:26 AM;18.67;90.960;29.080;33853.000;18.000
08.07.17;8:38:41 AM;18.92;90.820;29.090;33864.000;18.000
08.07.17;8:38:56 AM;19.17;91.070;29.060;33878.000;18.000
08.07.17;8:39:11 AM;19.42;91.010;29.070;33850.000;18.000
