08.07.17/10:37 AM SW ver:OXY10v3_33
Header Ch-10
Description: TWK5-22
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 102093
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;10:37:43 AM;0.00;95.270;27.830;36345.000;22.000
08.07.17;10:37:58 AM;0.25;94.730;27.890;36339.000;22.000
08.07.17;10:38:13 AM;0.50;94.600;27.910;36368.000;22.000
08.07.17;10:38:28 AM;0.75;95.330;27.830;36388.000;22.000
08.07.17;10:38:43 AM;1.00;95.220;27.840;36359.000;22.000
08.07.17;10:38:58 AM;1.25;95.290;27.830;36404.000;22.000
08.07.17;10:39:13 AM;1.50;95.330;27.830;36385.000;22.000
08.07.17;10:39:28 AM;1.75;95.340;27.820;36381.000;22.000
08.07.17;10:39:43 AM;2.00;95.250;27.830;36354.000;22.000
08.07.17;10:39:58 AM;2.25;95.000;27.860;36389.000;22.000
08.07.17;10:40:13 AM;2.50;94.960;27.870;36350.000;22.000
08.07.17;10:40:28 AM;2.75;95.410;27.820;36395.000;22.000
08.07.17;10:40:43 AM;3.00;95.090;27.850;36361.000;22.000
08.07.17;10:40:58 AM;3.25;95.020;27.860;36378.000;22.000
08.07.17;10:41:13 AM;3.50;94.600;27.910;36358.000;22.000
08.07.17;10:41:28 AM;3.75;94.770;27.890;36390.000;22.000
08.07.17;10:41:43 AM;4.00;94.840;27.880;36423.000;22.000
08.07.17;10:41:58 AM;4.25;94.800;27.890;36397.000;22.000
08.07.17;10:42:13 AM;4.50;94.620;27.910;36393.000;22.000
08.07.17;10:42:28 AM;4.75;94.790;27.890;36421.000;22.000
08.07.17;10:42:43 AM;5.00;94.110;27.960;36441.000;22.000
08.07.17;10:42:58 AM;5.25;94.480;27.920;36417.000;22.000
08.07.17;10:43:13 AM;5.50;94.110;27.960;36416.000;22.000
08.07.17;10:43:28 AM;5.75;94.840;27.880;36452.000;22.000
08.07.17;10:43:43 AM;6.00;94.600;27.910;36423.000;22.000
08.07.17;10:43:58 AM;6.25;94.290;27.940;36454.000;22.000
08.07.17;10:44:13 AM;6.50;94.380;27.930;36449.000;22.000
08.07.17;10:44:28 AM;6.75;93.850;27.990;36497.000;22.000
08.07.17;10:44:43 AM;7.00;94.040;27.970;36482.000;22.000
08.07.17;10:44:58 AM;7.25;94.410;27.930;36525.000;22.000
08.07.17;10:45:13 AM;7.50;94.450;27.930;36472.000;22.000
08.07.17;10:45:28 AM;7.75;94.020;27.970;36536.000;22.000
08.07.17;10:45:43 AM;8.00;94.550;27.910;36536.000;22.000
08.07.17;10:45:58 AM;8.25;94.330;27.940;36552.000;22.000
08.07.17;10:46:13 AM;8.50;94.620;27.910;36572.000;22.000
08.07.17;10:46:28 AM;8.75;93.800;28.000;36539.000;22.000
08.07.17;10:46:43 AM;9.00;93.250;28.060;36554.000;22.000
08.07.17;10:46:58 AM;9.25;93.330;28.050;36611.000;22.000
08.07.17;10:47:13 AM;9.50;93.930;27.980;36572.000;22.000
08.07.17;10:47:28 AM;9.75;93.580;28.020;36618.000;22.000
08.07.17;10:47:43 AM;10.00;93.610;28.020;36640.000;22.000
08.07.17;10:47:58 AM;10.25;93.430;28.040;36638.000;22.000
08.07.17;10:48:13 AM;10.50;92.900;28.100;36648.000;22.000
08.07.17;10:48:28 AM;10.75;93.200;28.070;36657.000;22.000
08.07.17;10:48:43 AM;11.00;93.720;28.010;36668.000;22.000
08.07.17;10:48:58 AM;11.25;92.860;28.110;36676.000;22.000
08.07.17;10:49:13 AM;11.50;93.180;28.070;36683.000;22.000
08.07.17;10:49:28 AM;11.75;92.980;28.090;36750.000;22.000
08.07.17;10:49:43 AM;12.00;93.310;28.060;36728.000;22.000
08.07.17;10:49:58 AM;12.25;93.240;28.060;36696.000;22.000
08.07.17;10:50:13 AM;12.50;92.870;28.110;36700.000;22.000
08.07.17;10:50:28 AM;12.75;93.000;28.090;36751.000;22.000
08.07.17;10:50:43 AM;13.00;93.450;28.040;36748.000;22.000
08.07.17;10:50:58 AM;13.25;93.260;28.060;36755.000;22.000
08.07.17;10:51:13 AM;13.50;92.940;28.100;36736.000;22.000
08.07.17;10:51:28 AM;13.75;92.950;28.100;36782.000;22.000
08.07.17;10:51:43 AM;14.00;92.290;28.180;36781.000;22.000
08.07.17;10:51:58 AM;14.25;92.800;28.120;36796.000;22.000
08.07.17;10:52:13 AM;14.50;93.240;28.060;36830.000;22.000
08.07.17;10:52:28 AM;14.75;92.830;28.110;36839.000;22.000
08.07.17;10:52:43 AM;15.00;92.850;28.110;36851.000;22.000
08.07.17;10:52:58 AM;15.25;92.670;28.130;36870.000;22.000
08.07.17;10:53:13 AM;15.50;92.270;28.180;36873.000;22.000
08.07.17;10:53:28 AM;15.75;92.390;28.160;36907.000;22.000
08.07.17;10:53:43 AM;16.00;92.500;28.150;36871.000;22.000
08.07.17;10:53:58 AM;16.25;92.830;28.110;36858.000;22.000
08.07.17;10:54:13 AM;16.50;92.420;28.160;36979.000;22.000
08.07.17;10:54:28 AM;16.75;91.520;28.270;36953.000;22.000
08.07.17;10:54:43 AM;17.00;92.010;28.210;36942.000;22.000
08.07.17;10:54:58 AM;17.25;91.810;28.230;36948.000;22.000
08.07.17;10:55:13 AM;17.50;92.430;28.160;36958.000;22.000
08.07.17;10:55:28 AM;17.75;91.850;28.230;37004.000;22.000
08.07.17;10:55:43 AM;18.00;92.060;28.200;36996.000;22.000
08.07.17;10:55:58 AM;18.25;92.270;28.180;37016.000;22.000
08.07.17;10:56:13 AM;18.50;91.450;28.270;37035.000;22.000
08.07.17;10:56:28 AM;18.75;91.730;28.240;36984.000;22.000
08.07.17;10:56:43 AM;19.00;91.450;28.270;37024.000;22.000
08.07.17;10:56:58 AM;19.25;92.020;28.210;37048.000;22.000
