08.07.17/10:37 AM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-22
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 102959
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;10:37:42 AM;0.00;95.610;27.790;12631.000;22.000
08.07.17;10:37:57 AM;0.25;95.520;27.800;12605.000;22.000
08.07.17;10:38:12 AM;0.50;94.760;27.890;12635.000;22.000
08.07.17;10:38:27 AM;0.75;95.920;27.760;12600.000;22.000
08.07.17;10:38:42 AM;1.00;95.630;27.790;12570.000;22.000
08.07.17;10:38:57 AM;1.25;95.280;27.830;12609.000;22.000
08.07.17;10:39:12 AM;1.50;95.430;27.810;12566.000;22.000
08.07.17;10:39:27 AM;1.75;95.880;27.760;12588.000;22.000
08.07.17;10:39:42 AM;2.00;96.090;27.740;12603.000;22.000
08.07.17;10:39:57 AM;2.25;95.590;27.800;12593.000;22.000
08.07.17;10:40:12 AM;2.50;95.430;27.810;12628.000;22.000
08.07.17;10:40:27 AM;2.75;95.820;27.770;12593.000;22.000
08.07.17;10:40:42 AM;3.00;94.910;27.870;12612.000;22.000
08.07.17;10:40:57 AM;3.25;95.000;27.860;12610.000;22.000
08.07.17;10:41:12 AM;3.50;96.190;27.730;12601.000;22.000
08.07.17;10:41:27 AM;3.75;95.620;27.790;12612.000;22.000
08.07.17;10:41:42 AM;4.00;97.030;27.640;12584.000;22.000
08.07.17;10:41:57 AM;4.25;95.630;27.790;12575.000;22.000
08.07.17;10:42:12 AM;4.50;95.840;27.770;12571.000;22.000
08.07.17;10:42:27 AM;4.75;94.980;27.870;12571.000;22.000
08.07.17;10:42:42 AM;5.00;95.780;27.780;12599.000;22.000
08.07.17;10:42:57 AM;5.25;95.180;27.840;12595.000;22.000
08.07.17;10:43:12 AM;5.50;95.980;27.750;12557.000;22.000
08.07.17;10:43:27 AM;5.75;95.420;27.820;12614.000;22.000
08.07.17;10:43:42 AM;6.00;95.990;27.750;12587.000;22.000
08.07.17;10:43:57 AM;6.25;95.910;27.760;12590.000;22.000
08.07.17;10:44:12 AM;6.50;95.880;27.760;12569.000;22.000
08.07.17;10:44:27 AM;6.75;95.990;27.750;12607.000;22.000
08.07.17;10:44:42 AM;7.00;95.270;27.830;12580.000;22.000
08.07.17;10:44:57 AM;7.25;94.920;27.870;12559.000;22.000
08.07.17;10:45:12 AM;7.50;95.090;27.850;12604.000;22.000
