08.07.17/10:04 AM SW ver:OXY10v3_33
Header Ch-3
Description: WBI4-22
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106663
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;10:04:30 AM;0.00;93.640;28.020;31557.000;22.000
08.07.17;10:04:44 AM;0.23;93.870;27.990;31590.000;22.000
08.07.17;10:04:59 AM;0.48;93.890;27.990;31561.000;22.000
08.07.17;10:05:14 AM;0.73;93.960;27.980;31617.000;22.000
08.07.17;10:05:29 AM;0.98;93.920;27.990;31620.000;22.000
08.07.17;10:05:44 AM;1.23;93.890;27.990;31613.000;22.000
08.07.17;10:05:59 AM;1.48;94.070;27.970;31613.000;22.000
08.07.17;10:06:14 AM;1.73;93.760;28.000;31599.000;22.000
08.07.17;10:06:29 AM;1.98;93.320;28.060;31626.000;22.000
08.07.17;10:06:44 AM;2.23;93.640;28.020;31629.000;22.000
08.07.17;10:06:59 AM;2.48;93.700;28.010;31628.000;22.000
08.07.17;10:07:14 AM;2.73;93.810;28.000;31639.000;22.000
08.07.17;10:07:29 AM;2.98;93.850;27.990;31667.000;22.000
08.07.17;10:07:44 AM;3.23;93.460;28.040;31663.000;22.000
08.07.17;10:07:59 AM;3.48;93.530;28.030;31667.000;22.000
08.07.17;10:08:14 AM;3.73;93.580;28.020;31655.000;22.000
08.07.17;10:08:29 AM;3.98;93.790;28.000;31665.000;22.000
08.07.17;10:08:44 AM;4.23;93.450;28.040;31670.000;22.000
08.07.17;10:08:59 AM;4.48;93.880;27.990;31681.000;22.000
08.07.17;10:09:14 AM;4.73;93.480;28.040;31689.000;22.000
08.07.17;10:09:29 AM;4.98;93.770;28.000;31703.000;22.000
08.07.17;10:09:44 AM;5.23;93.680;28.010;31717.000;22.000
08.07.17;10:09:59 AM;5.48;93.070;28.080;31709.000;22.000
08.07.17;10:10:14 AM;5.73;93.040;28.090;31717.000;22.000
08.07.17;10:10:29 AM;5.98;93.070;28.080;31697.000;22.000
08.07.17;10:10:44 AM;6.23;93.450;28.040;31745.000;22.000
08.07.17;10:10:59 AM;6.48;93.010;28.090;31745.000;22.000
08.07.17;10:11:14 AM;6.73;93.540;28.030;31749.000;22.000
08.07.17;10:11:29 AM;6.98;93.300;28.060;31758.000;22.000
08.07.17;10:11:44 AM;7.23;92.950;28.100;31776.000;22.000
08.07.17;10:11:59 AM;7.48;93.170;28.070;31756.000;22.000
08.07.17;10:12:14 AM;7.73;92.740;28.120;31778.000;22.000
08.07.17;10:12:29 AM;7.98;93.140;28.080;31800.000;22.000
08.07.17;10:12:44 AM;8.23;93.050;28.090;31794.000;22.000
08.07.17;10:12:59 AM;8.48;93.070;28.080;31811.000;22.000
08.07.17;10:13:14 AM;8.73;93.010;28.090;31800.000;22.000
08.07.17;10:13:29 AM;8.98;92.950;28.100;31801.000;22.000
08.07.17;10:13:44 AM;9.23;92.560;28.140;31798.000;22.000
08.07.17;10:13:59 AM;9.48;92.890;28.100;31859.000;22.000
08.07.17;10:14:14 AM;9.73;92.960;28.100;31859.000;22.000
08.07.17;10:14:29 AM;9.98;92.480;28.150;31851.000;22.000
08.07.17;10:14:44 AM;10.23;92.750;28.120;31861.000;22.000
08.07.17;10:14:59 AM;10.48;93.020;28.090;31848.000;22.000
08.07.17;10:15:14 AM;10.73;92.480;28.150;31850.000;22.000
08.07.17;10:15:29 AM;10.98;92.450;28.160;31856.000;22.000
