08.07.17/12:16 PM SW ver:OXY10v3_33
Header Ch-2
Description: DRIFT-26
IDENTIFICATION
PHIboard number   : v1231474
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 02

PARAMETERS
Signal LED current: 050
Ref LED current   : 075
Ref LED amplitude : 102959
Frequency         : 006
Sending interval  : 0001
Averaging         : 5
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 029100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 029400
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;12:16:37 PM;0.00;96.690;26.970;12224.000;26.000
08.07.17;12:16:52 PM;0.25;95.310;27.120;12212.000;26.000
08.07.17;12:17:07 PM;0.50;94.450;27.220;12166.000;26.000
08.07.17;12:17:22 PM;0.75;96.650;26.970;12209.000;26.000
08.07.17;12:17:37 PM;1.00;95.520;27.100;12206.000;26.000
08.07.17;12:17:52 PM;1.25;96.030;27.040;12188.000;26.000
08.07.17;12:18:07 PM;1.50;95.040;27.150;12191.000;26.000
08.07.17;12:18:22 PM;1.75;94.720;27.190;12188.000;26.000
08.07.17;12:18:37 PM;2.00;94.660;27.190;12172.000;26.000
08.07.17;12:18:52 PM;2.25;96.010;27.040;12205.000;26.000
08.07.17;12:19:07 PM;2.50;95.080;27.150;12187.000;26.000
08.07.17;12:19:22 PM;2.75;93.480;27.330;12159.000;26.000
08.07.17;12:19:37 PM;3.00;95.580;27.090;12166.000;26.000
08.07.17;12:19:52 PM;3.25;95.920;27.050;12168.000;26.000
08.07.17;12:20:07 PM;3.50;96.400;27.000;12166.000;26.000
08.07.17;12:20:22 PM;3.75;94.920;27.160;12201.000;26.000
08.07.17;12:20:37 PM;4.00;95.350;27.120;12181.000;26.000
08.07.17;12:20:52 PM;4.25;95.290;27.120;12194.000;26.000
08.07.17;12:21:07 PM;4.50;96.340;27.010;12190.000;26.000
08.07.17;12:21:22 PM;4.75;95.620;27.090;12171.000;26.000
08.07.17;12:21:37 PM;5.00;95.570;27.090;12142.000;26.000
08.07.17;12:21:52 PM;5.25;95.720;27.080;12176.000;26.000
08.07.17;12:22:07 PM;5.50;95.290;27.120;12158.000;26.000
08.07.17;12:22:22 PM;5.75;94.920;27.160;12202.000;26.000
08.07.17;12:22:37 PM;6.00;95.040;27.150;12193.000;26.000
08.07.17;12:22:52 PM;6.25;94.960;27.160;12152.000;26.000
08.07.17;12:23:07 PM;6.50;96.050;27.040;12170.000;26.000
08.07.17;12:23:22 PM;6.75;95.590;27.090;12191.000;26.000
08.07.17;12:23:37 PM;7.00;95.190;27.130;12153.000;26.000
08.07.17;12:23:52 PM;7.25;95.290;27.120;12154.000;26.000
08.07.17;12:24:07 PM;7.50;95.470;27.100;12159.000;26.000
08.07.17;12:24:22 PM;7.75;96.880;26.950;12158.000;26.000
08.07.17;12:24:37 PM;8.00;95.540;27.100;12150.000;26.000
08.07.17;12:24:52 PM;8.25;94.950;27.160;12139.000;26.000
08.07.17;12:25:07 PM;8.50;95.360;27.120;12130.000;26.000
08.07.17;12:25:22 PM;8.75;95.810;27.070;12200.000;26.000
08.07.17;12:25:37 PM;9.00;94.960;27.160;12162.000;26.000
08.07.17;12:25:52 PM;9.25;95.760;27.070;12147.000;26.000
08.07.17;12:26:07 PM;9.50;97.110;26.920;12154.000;26.000
08.07.17;12:26:22 PM;9.75;94.420;27.220;12183.000;26.000
08.07.17;12:26:37 PM;10.00;94.170;27.250;12156.000;26.000
08.07.17;12:26:52 PM;10.25;95.240;27.130;12131.000;26.000
08.07.17;12:27:07 PM;10.50;94.970;27.160;12165.000;26.000
08.07.17;12:27:22 PM;10.75;95.290;27.120;12156.000;26.000
08.07.17;12:27:37 PM;11.00;95.710;27.080;12151.000;26.000
