08.07.17/11:45 AM SW ver:OXY10v3_33
Header Ch-9
Description: TBI2-26
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104500
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;11:45:03 AM;0.00;94.700;27.190;32993.000;26.000
08.07.17;11:45:06 AM;0.05;94.120;27.250;32999.000;26.000
08.07.17;11:45:20 AM;0.30;94.540;27.210;32994.000;26.000
08.07.17;11:45:35 AM;0.55;94.170;27.250;33032.000;26.000
08.07.17;11:45:50 AM;0.80;94.460;27.220;33031.000;26.000
08.07.17;11:46:06 AM;1.05;94.190;27.250;33062.000;26.000
08.07.17;11:46:20 AM;1.30;93.830;27.290;33031.000;26.000
08.07.17;11:46:35 AM;1.55;93.690;27.300;33041.000;26.000
08.07.17;11:46:51 AM;1.80;94.300;27.230;33081.000;26.000
08.07.17;11:47:05 AM;2.05;93.750;27.300;33090.000;26.000
08.07.17;11:47:20 AM;2.30;93.720;27.300;33091.000;26.000
08.07.17;11:47:36 AM;2.55;93.670;27.300;33105.000;26.000
08.07.17;11:47:50 AM;2.80;93.430;27.330;33087.000;26.000
08.07.17;11:48:06 AM;3.05;93.450;27.330;33121.000;26.000
