08.07.17/3:36 PM SW ver:OXY10v3_33
Header Ch-4
Description: WBK4-32
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99967
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;3:36:50 PM;0.00;92.530;26.420;31806.000;32.000
08.07.17;3:37:04 PM;0.24;92.840;26.380;31811.000;32.000
08.07.17;3:37:19 PM;0.49;92.430;26.430;31816.000;32.000
08.07.17;3:37:34 PM;0.74;92.560;26.420;31841.000;32.000
08.07.17;3:37:49 PM;0.99;92.050;26.470;31815.000;32.000
08.07.17;3:38:04 PM;1.24;92.750;26.390;31848.000;32.000
08.07.17;3:38:19 PM;1.49;92.080;26.470;31844.000;32.000
08.07.17;3:38:34 PM;1.74;92.910;26.380;31889.000;32.000
08.07.17;3:38:49 PM;1.99;92.700;26.400;31869.000;32.000
08.07.17;3:39:04 PM;2.24;92.190;26.460;31872.000;32.000
08.07.17;3:39:19 PM;2.49;92.130;26.460;31925.000;32.000
08.07.17;3:39:34 PM;2.74;92.380;26.440;31857.000;32.000
08.07.17;3:39:49 PM;2.99;91.150;26.570;31903.000;32.000
08.07.17;3:40:04 PM;3.24;91.660;26.520;31886.000;32.000
08.07.17;3:40:19 PM;3.49;92.220;26.450;31877.000;32.000
08.07.17;3:40:34 PM;3.74;92.270;26.450;31969.000;32.000
08.07.17;3:40:49 PM;3.99;92.180;26.460;31959.000;32.000
08.07.17;3:41:04 PM;4.24;91.550;26.530;31942.000;32.000
08.07.17;3:41:19 PM;4.49;91.460;26.540;31931.000;32.000
08.07.17;3:41:34 PM;4.74;91.430;26.540;31990.000;32.000
08.07.17;3:41:49 PM;4.99;91.940;26.490;31982.000;32.000
08.07.17;3:42:04 PM;5.24;91.290;26.560;31973.000;32.000
08.07.17;3:42:19 PM;5.49;91.290;26.560;32000.000;32.000
08.07.17;3:42:34 PM;5.74;91.510;26.530;31987.000;32.000
08.07.17;3:42:49 PM;5.99;91.170;26.570;31977.000;32.000
08.07.17;3:43:04 PM;6.24;91.220;26.570;32043.000;32.000
08.07.17;3:43:19 PM;6.49;90.760;26.620;32051.000;32.000
08.07.17;3:43:34 PM;6.74;91.400;26.550;32000.000;32.000
08.07.17;3:43:49 PM;6.99;91.290;26.560;32054.000;32.000
08.07.17;3:44:04 PM;7.24;91.180;26.570;32013.000;32.000
08.07.17;3:44:19 PM;7.49;91.370;26.550;32097.000;32.000
08.07.17;3:44:34 PM;7.74;90.790;26.620;32078.000;32.000
08.07.17;3:44:49 PM;7.99;91.050;26.590;32103.000;32.000
08.07.17;3:45:04 PM;8.24;90.600;26.640;32119.000;32.000
08.07.17;3:45:19 PM;8.49;90.290;26.670;32119.000;32.000
08.07.17;3:45:34 PM;8.74;90.610;26.640;32117.000;32.000
08.07.17;3:45:49 PM;8.99;90.610;26.640;32133.000;32.000
08.07.17;3:46:04 PM;9.24;90.810;26.610;32150.000;32.000
08.07.17;3:46:19 PM;9.49;90.090;26.700;32160.000;32.000
08.07.17;3:46:34 PM;9.74;90.600;26.640;32163.000;32.000
08.07.17;3:46:49 PM;9.99;90.590;26.640;32152.000;32.000
08.07.17;3:47:04 PM;10.24;90.220;26.680;32190.000;32.000
08.07.17;3:47:19 PM;10.49;89.840;26.730;32169.000;32.000
08.07.17;3:47:34 PM;10.74;89.550;26.760;32200.000;32.000
08.07.17;3:47:49 PM;10.99;90.050;26.700;32184.000;32.000
08.07.17;3:48:04 PM;11.24;89.850;26.730;32260.000;32.000
08.07.17;3:48:19 PM;11.49;90.110;26.690;32198.000;32.000
08.07.17;3:48:34 PM;11.74;90.410;26.660;32211.000;32.000
08.07.17;3:48:49 PM;11.99;90.480;26.650;32213.000;32.000
08.07.17;3:49:04 PM;12.24;90.530;26.650;32278.000;32.000
08.07.17;3:49:19 PM;12.49;89.830;26.730;32306.000;32.000
08.07.17;3:49:34 PM;12.74;90.400;26.660;32312.000;32.000
08.07.17;3:49:49 PM;12.99;89.900;26.720;32243.000;32.000
08.07.17;3:50:04 PM;13.24;89.760;26.740;32281.000;32.000
08.07.17;3:50:19 PM;13.49;90.060;26.700;32297.000;32.000
08.07.17;3:50:34 PM;13.74;90.040;26.700;32306.000;32.000
08.07.17;3:50:49 PM;13.99;89.490;26.770;32350.000;32.000
08.07.17;3:51:04 PM;14.24;90.140;26.690;32353.000;32.000
08.07.17;3:51:19 PM;14.49;89.430;26.770;32371.000;32.000
08.07.17;3:51:34 PM;14.74;89.350;26.780;32363.000;32.000
08.07.17;3:51:49 PM;14.99;89.840;26.730;32381.000;32.000
08.07.17;3:52:04 PM;15.24;89.090;26.810;32376.000;32.000
08.07.17;3:52:19 PM;15.49;89.350;26.780;32370.000;32.000
08.07.17;3:52:34 PM;15.74;88.970;26.830;32410.000;32.000
08.07.17;3:52:49 PM;15.99;88.970;26.830;32420.000;32.000
08.07.17;3:53:04 PM;16.24;89.350;26.780;32430.000;32.000
08.07.17;3:53:19 PM;16.49;88.630;26.870;32391.000;32.000
08.07.17;3:53:34 PM;16.74;89.030;26.820;32406.000;32.000
08.07.17;3:53:49 PM;16.99;88.650;26.870;32486.000;32.000
08.07.17;3:54:04 PM;17.24;88.370;26.900;32488.000;32.000
08.07.17;3:54:19 PM;17.49;88.520;26.880;32454.000;32.000
08.07.17;3:54:34 PM;17.74;88.160;26.920;32488.000;32.000
08.07.17;3:54:49 PM;17.99;88.650;26.870;32530.000;32.000
08.07.17;3:55:04 PM;18.24;88.630;26.870;32542.000;32.000
08.07.17;3:55:19 PM;18.49;87.500;27.000;32475.000;32.000
08.07.17;3:55:34 PM;18.74;88.620;26.870;32513.000;32.000
08.07.17;3:55:49 PM;18.99;87.550;27.000;32563.000;32.000
08.07.17;3:56:04 PM;19.24;87.470;27.010;32542.000;32.000
08.07.17;3:56:19 PM;19.49;88.170;26.920;32576.000;32.000
