08.07.17/3:36 PM SW ver:OXY10v3_33
Header Ch-9
Description: TBI2-32
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104500
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;3:36:52 PM;0.00;92.920;26.370;30762.000;32.000
08.07.17;3:36:59 PM;0.12;93.220;26.340;30772.000;32.000
08.07.17;3:37:14 PM;0.37;93.200;26.340;30768.000;32.000
08.07.17;3:37:29 PM;0.62;92.640;26.410;30789.000;32.000
08.07.17;3:37:44 PM;0.87;92.980;26.370;30816.000;32.000
08.07.17;3:37:59 PM;1.12;93.320;26.330;30821.000;32.000
08.07.17;3:38:14 PM;1.37;93.190;26.340;30848.000;32.000
08.07.17;3:38:29 PM;1.62;93.050;26.360;30873.000;32.000
08.07.17;3:38:44 PM;1.87;92.500;26.420;30872.000;32.000
08.07.17;3:38:59 PM;2.12;91.930;26.490;30874.000;32.000
08.07.17;3:39:14 PM;2.37;92.030;26.480;30910.000;32.000
08.07.17;3:39:29 PM;2.62;91.770;26.500;30916.000;32.000
08.07.17;3:39:44 PM;2.87;91.940;26.490;30929.000;32.000
08.07.17;3:39:59 PM;3.12;92.180;26.460;30947.000;32.000
08.07.17;3:40:14 PM;3.37;91.940;26.490;30968.000;32.000
08.07.17;3:40:29 PM;3.62;91.490;26.540;31045.000;32.000
08.07.17;3:40:44 PM;3.87;92.120;26.460;31031.000;32.000
08.07.17;3:40:59 PM;4.12;91.500;26.540;31059.000;32.000
08.07.17;3:41:14 PM;4.37;91.390;26.550;31039.000;32.000
08.07.17;3:41:29 PM;4.62;91.650;26.520;31051.000;32.000
08.07.17;3:41:44 PM;4.87;91.280;26.560;31096.000;32.000
08.07.17;3:41:59 PM;5.12;91.150;26.570;31157.000;32.000
08.07.17;3:42:14 PM;5.37;91.280;26.560;31126.000;32.000
08.07.17;3:42:29 PM;5.62;90.730;26.620;31165.000;32.000
08.07.17;3:42:44 PM;5.87;90.770;26.620;31162.000;32.000
08.07.17;3:42:59 PM;6.12;90.850;26.610;31186.000;32.000
08.07.17;3:43:14 PM;6.37;90.260;26.680;31216.000;32.000
08.07.17;3:43:29 PM;6.62;90.630;26.630;31242.000;32.000
08.07.17;3:43:44 PM;6.87;90.300;26.670;31266.000;32.000
08.07.17;3:43:59 PM;7.12;90.360;26.670;31230.000;32.000
08.07.17;3:44:14 PM;7.37;90.510;26.650;31277.000;32.000
08.07.17;3:44:29 PM;7.62;90.590;26.640;31293.000;32.000
08.07.17;3:44:44 PM;7.87;89.630;26.750;31333.000;32.000
08.07.17;3:44:59 PM;8.12;89.680;26.740;31348.000;32.000
08.07.17;3:45:14 PM;8.37;90.220;26.680;31366.000;32.000
08.07.17;3:45:29 PM;8.62;89.570;26.760;31391.000;32.000
08.07.17;3:45:44 PM;8.87;89.840;26.730;31410.000;32.000
08.07.17;3:45:59 PM;9.12;89.930;26.720;31425.000;32.000
08.07.17;3:46:14 PM;9.37;89.670;26.750;31446.000;32.000
08.07.17;3:46:29 PM;9.62;89.750;26.740;31430.000;32.000
08.07.17;3:46:44 PM;9.87;89.590;26.760;31481.000;32.000
08.07.17;3:46:59 PM;10.12;89.540;26.760;31447.000;32.000
08.07.17;3:47:14 PM;10.37;88.860;26.840;31531.000;32.000
08.07.17;3:47:29 PM;10.62;88.880;26.840;31499.000;32.000
08.07.17;3:47:44 PM;10.87;89.150;26.810;31539.000;32.000
08.07.17;3:47:59 PM;11.12;88.410;26.890;31579.000;32.000
08.07.17;3:48:14 PM;11.37;88.680;26.860;31569.000;32.000
08.07.17;3:48:29 PM;11.62;88.420;26.890;31605.000;32.000
08.07.17;3:48:44 PM;11.87;88.490;26.880;31585.000;32.000
08.07.17;3:48:59 PM;12.12;88.790;26.850;31633.000;32.000
08.07.17;3:49:14 PM;12.37;88.620;26.870;31665.000;32.000
08.07.17;3:49:29 PM;12.62;88.340;26.900;31619.000;32.000
08.07.17;3:49:44 PM;12.87;87.580;26.990;31698.000;32.000
08.07.17;3:49:59 PM;13.12;87.980;26.950;31691.000;32.000
08.07.17;3:50:14 PM;13.37;88.320;26.910;31696.000;32.000
08.07.17;3:50:29 PM;13.62;87.920;26.950;31695.000;32.000
08.07.17;3:50:44 PM;13.87;87.680;26.980;31774.000;32.000
08.07.17;3:50:59 PM;14.12;87.330;27.020;31683.000;32.000
08.07.17;3:51:14 PM;14.37;88.380;26.900;31702.000;32.000
08.07.17;3:51:29 PM;14.62;87.910;26.950;31726.000;32.000
08.07.17;3:51:44 PM;14.87;87.400;27.020;31740.000;32.000
08.07.17;3:51:59 PM;15.12;87.640;26.990;31762.000;32.000
08.07.17;3:52:14 PM;15.37;87.640;26.990;31809.000;32.000
08.07.17;3:52:29 PM;15.62;86.610;27.110;31820.000;32.000
08.07.17;3:52:44 PM;15.87;86.810;27.090;31781.000;32.000
08.07.17;3:52:59 PM;16.12;86.730;27.100;31871.000;32.000
08.07.17;3:53:14 PM;16.37;87.100;27.050;31819.000;32.000
08.07.17;3:53:29 PM;16.62;86.950;27.070;31876.000;32.000
08.07.17;3:53:44 PM;16.87;87.330;27.020;31914.000;32.000
08.07.17;3:53:59 PM;17.12;86.570;27.120;31877.000;32.000
08.07.17;3:54:14 PM;17.37;86.150;27.170;31926.000;32.000
08.07.17;3:54:29 PM;17.62;86.850;27.080;31992.000;32.000
08.07.17;3:54:44 PM;17.87;86.910;27.070;31982.000;32.000
08.07.17;3:54:59 PM;18.12;86.100;27.170;31986.000;32.000
08.07.17;3:55:14 PM;18.37;85.840;27.210;32014.000;32.000
08.07.17;3:55:29 PM;18.62;85.960;27.190;32023.000;32.000
08.07.17;3:55:44 PM;18.87;86.290;27.150;32048.000;32.000
08.07.17;3:55:59 PM;19.12;85.540;27.240;32029.000;32.000
08.07.17;3:56:14 PM;19.37;85.730;27.220;32076.000;32.000
08.07.17;3:56:29 PM;19.62;86.330;27.140;32133.000;32.000
