08.07.17/8:52 AM SW ver:OXY10v3_33
Header Ch-3
Description: WBI4-18
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106663
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;8:52:25 AM;0.00;93.500;28.770;32983.000;18.000
08.07.17;8:52:34 AM;0.14;94.070;28.710;33012.000;18.000
08.07.17;8:52:49 AM;0.39;93.990;28.720;33015.000;18.000
08.07.17;8:53:04 AM;0.64;93.310;28.800;33010.000;18.000
08.07.17;8:53:19 AM;0.89;93.440;28.780;33023.000;18.000
08.07.17;8:53:34 AM;1.14;93.250;28.800;32988.000;18.000
08.07.17;8:53:49 AM;1.39;94.090;28.700;32978.000;18.000
08.07.17;8:54:04 AM;1.64;93.720;28.750;33001.000;18.000
08.07.17;8:54:19 AM;1.89;93.070;28.820;32987.000;18.000
08.07.17;8:54:34 AM;2.14;93.350;28.790;32989.000;18.000
08.07.17;8:54:49 AM;2.39;93.790;28.740;32993.000;18.000
08.07.17;8:55:04 AM;2.64;94.320;28.680;33015.000;18.000
08.07.17;8:55:19 AM;2.89;93.300;28.800;32988.000;18.000
08.07.17;8:55:34 AM;3.14;93.290;28.800;32982.000;18.000
08.07.17;8:55:49 AM;3.39;93.600;28.760;32988.000;18.000
08.07.17;8:56:04 AM;3.64;93.560;28.770;32962.000;18.000
08.07.17;8:56:19 AM;3.89;93.110;28.820;32961.000;18.000
08.07.17;8:56:34 AM;4.14;93.350;28.790;32970.000;18.000
08.07.17;8:56:49 AM;4.39;93.700;28.750;32983.000;18.000
08.07.17;8:57:04 AM;4.64;93.830;28.730;32975.000;18.000
08.07.17;8:57:19 AM;4.89;93.140;28.820;33002.000;18.000
08.07.17;8:57:34 AM;5.14;92.910;28.840;32958.000;18.000
08.07.17;8:57:49 AM;5.39;93.210;28.810;32995.000;18.000
08.07.17;8:58:04 AM;5.64;93.640;28.760;32950.000;18.000
08.07.17;8:58:19 AM;5.89;93.630;28.760;32976.000;18.000
08.07.17;8:58:34 AM;6.14;93.790;28.740;33023.000;18.000
08.07.17;8:58:49 AM;6.39;93.960;28.720;32938.000;18.000
08.07.17;8:59:04 AM;6.64;93.140;28.820;32947.000;18.000
08.07.17;8:59:19 AM;6.89;92.590;28.880;32977.000;18.000
08.07.17;8:59:34 AM;7.14;93.860;28.730;32953.000;18.000
08.07.17;8:59:49 AM;7.39;93.320;28.790;32964.000;18.000
08.07.17;9:00:04 AM;7.64;93.470;28.780;32931.000;18.000
08.07.17;9:00:19 AM;7.89;93.200;28.810;32971.000;18.000
08.07.17;9:00:34 AM;8.14;93.540;28.770;32939.000;18.000
08.07.17;9:00:49 AM;8.39;93.780;28.740;32947.000;18.000
08.07.17;9:01:04 AM;8.64;94.100;28.700;32955.000;18.000
08.07.17;9:01:19 AM;8.89;93.600;28.760;32938.000;18.000
08.07.17;9:01:34 AM;9.14;93.460;28.780;32941.000;18.000
08.07.17;9:01:49 AM;9.39;93.650;28.760;32960.000;18.000
08.07.17;9:02:04 AM;9.64;93.020;28.830;32944.000;18.000
08.07.17;9:02:19 AM;9.89;93.410;28.780;32974.000;18.000
08.07.17;9:02:34 AM;10.14;93.260;28.800;32934.000;18.000
08.07.17;9:02:49 AM;10.39;93.210;28.810;32915.000;18.000
08.07.17;9:03:04 AM;10.64;93.190;28.810;32940.000;18.000
08.07.17;9:03:19 AM;10.89;93.180;28.810;32922.000;18.000
08.07.17;9:03:34 AM;11.14;93.360;28.790;32934.000;18.000
08.07.17;9:03:49 AM;11.39;93.550;28.770;32926.000;18.000
08.07.17;9:04:04 AM;11.64;93.580;28.760;32962.000;18.000
08.07.17;9:04:19 AM;11.89;93.900;28.730;32926.000;18.000
08.07.17;9:04:34 AM;12.14;92.870;28.850;32952.000;18.000
08.07.17;9:04:49 AM;12.39;93.080;28.820;32932.000;18.000
08.07.17;9:05:04 AM;12.64;92.480;28.890;32948.000;18.000
08.07.17;9:05:19 AM;12.89;93.280;28.800;32925.000;18.000
08.07.17;9:05:34 AM;13.14;93.280;28.800;32907.000;18.000
08.07.17;9:05:49 AM;13.39;92.900;28.840;32926.000;18.000
08.07.17;9:06:04 AM;13.64;93.600;28.760;32939.000;18.000
08.07.17;9:06:19 AM;13.89;93.190;28.810;32904.000;18.000
08.07.17;9:06:34 AM;14.14;93.730;28.750;32877.000;18.000
08.07.17;9:06:49 AM;14.39;93.210;28.810;32874.000;18.000
08.07.17;9:07:04 AM;14.64;93.060;28.830;32935.000;18.000
08.07.17;9:07:19 AM;14.89;93.420;28.780;32899.000;18.000
08.07.17;9:07:34 AM;15.14;93.280;28.800;32934.000;18.000
08.07.17;9:07:49 AM;15.39;92.890;28.850;32903.000;18.000
08.07.17;9:08:04 AM;15.64;93.490;28.770;32923.000;18.000
08.07.17;9:08:19 AM;15.89;93.520;28.770;32903.000;18.000
08.07.17;9:08:34 AM;16.14;93.410;28.780;32925.000;18.000
08.07.17;9:08:49 AM;16.39;93.010;28.830;32891.000;18.000
08.07.17;9:09:04 AM;16.64;93.470;28.780;32890.000;18.000
08.07.17;9:09:19 AM;16.89;93.130;28.820;32891.000;18.000
08.07.17;9:09:34 AM;17.14;93.260;28.800;32904.000;18.000
08.07.17;9:09:49 AM;17.39;93.410;28.780;32916.000;18.000
08.07.17;9:10:04 AM;17.64;93.290;28.800;32890.000;18.000
08.07.17;9:10:19 AM;17.89;93.140;28.820;32911.000;18.000
08.07.17;9:10:34 AM;18.14;93.470;28.780;32938.000;18.000
08.07.17;9:10:49 AM;18.39;93.750;28.740;32906.000;18.000
08.07.17;9:11:04 AM;18.64;92.800;28.860;32895.000;18.000
08.07.17;9:11:19 AM;18.89;92.460;28.900;32876.000;18.000
08.07.17;9:11:34 AM;19.14;93.140;28.820;32881.000;18.000
08.07.17;9:11:49 AM;19.39;92.640;28.870;32880.000;18.000
08.07.17;9:12:04 AM;19.64;92.630;28.880;32909.000;18.000
08.07.17;9:12:19 AM;19.89;93.250;28.800;32883.000;18.000
08.07.17;9:12:34 AM;20.14;92.420;28.900;32884.000;18.000
08.07.17;9:12:49 AM;20.39;92.510;28.890;32889.000;18.000
