08.07.17/8:52 AM SW ver:OXY10v3_33
Header Ch-4
Description: WBK4-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99967
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;8:52:26 AM;0.00;93.110;28.820;39006.000;18.000
08.07.17;8:52:36 AM;0.16;93.560;28.770;39015.000;18.000
08.07.17;8:52:51 AM;0.41;93.870;28.730;39008.000;18.000
08.07.17;8:53:06 AM;0.66;93.880;28.730;39013.000;18.000
08.07.17;8:53:21 AM;0.91;94.010;28.710;39031.000;18.000
08.07.17;8:53:36 AM;1.16;93.270;28.800;39047.000;18.000
08.07.17;8:53:51 AM;1.41;93.530;28.770;39074.000;18.000
08.07.17;8:54:06 AM;1.66;93.330;28.790;39029.000;18.000
08.07.17;8:54:21 AM;1.91;93.340;28.790;39061.000;18.000
08.07.17;8:54:36 AM;2.16;94.200;28.690;39099.000;18.000
08.07.17;8:54:51 AM;2.41;92.510;28.890;39044.000;18.000
08.07.17;8:55:06 AM;2.66;93.700;28.750;39123.000;18.000
08.07.17;8:55:21 AM;2.91;93.460;28.780;39062.000;18.000
08.07.17;8:55:36 AM;3.16;92.880;28.850;39094.000;18.000
08.07.17;8:55:51 AM;3.41;92.890;28.850;39125.000;18.000
08.07.17;8:56:06 AM;3.66;92.930;28.840;39074.000;18.000
08.07.17;8:56:21 AM;3.91;93.070;28.820;39109.000;18.000
08.07.17;8:56:36 AM;4.16;93.040;28.830;39117.000;18.000
08.07.17;8:56:51 AM;4.41;94.030;28.710;39122.000;18.000
08.07.17;8:57:06 AM;4.66;93.270;28.800;39139.000;18.000
08.07.17;8:57:21 AM;4.91;93.110;28.820;39085.000;18.000
