08.07.17/8:19 AM SW ver:OXY10v3_33
Header Ch-4
Description: WBK4-18
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99967
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;8:19:43 AM;0.00;93.630;28.760;39708.000;18.000
08.07.17;8:19:44 AM;0.02;93.620;28.760;39715.000;18.000
08.07.17;8:19:51 AM;0.13;93.420;28.780;39706.000;18.000
08.07.17;8:20:06 AM;0.37;93.220;28.810;39673.000;18.000
08.07.17;8:20:21 AM;0.62;93.770;28.740;39735.000;18.000
08.07.17;8:20:36 AM;0.88;93.480;28.780;39718.000;18.000
08.07.17;8:20:51 AM;1.13;93.070;28.820;39721.000;18.000
08.07.17;8:21:06 AM;1.38;92.990;28.830;39730.000;18.000
08.07.17;8:21:21 AM;1.63;93.150;28.810;39724.000;18.000
08.07.17;8:21:36 AM;1.87;93.220;28.810;39719.000;18.000
08.07.17;8:21:51 AM;2.12;92.850;28.850;39719.000;18.000
08.07.17;8:22:06 AM;2.38;93.030;28.830;39709.000;18.000
08.07.17;8:22:21 AM;2.62;93.250;28.800;39701.000;18.000
08.07.17;8:22:36 AM;2.88;93.160;28.810;39722.000;18.000
08.07.17;8:22:51 AM;3.13;92.690;28.870;39743.000;18.000
08.07.17;8:23:06 AM;3.37;92.550;28.890;39721.000;18.000
08.07.17;8:23:21 AM;3.63;93.060;28.830;39746.000;18.000
08.07.17;8:23:36 AM;3.87;92.860;28.850;39738.000;18.000
08.07.17;8:23:51 AM;4.12;92.960;28.840;39729.000;18.000
08.07.17;8:24:06 AM;4.37;92.620;28.880;39710.000;18.000
08.07.17;8:24:21 AM;4.62;92.730;28.860;39736.000;18.000
08.07.17;8:24:36 AM;4.88;92.910;28.840;39728.000;18.000
08.07.17;8:24:51 AM;5.12;92.330;28.910;39742.000;18.000
08.07.17;8:25:06 AM;5.37;92.640;28.870;39758.000;18.000
08.07.17;8:25:21 AM;5.63;92.440;28.900;39753.000;18.000
08.07.17;8:25:36 AM;5.88;92.750;28.860;39740.000;18.000
08.07.17;8:25:51 AM;6.12;92.630;28.880;39734.000;18.000
08.07.17;8:26:06 AM;6.38;92.110;28.940;39770.000;18.000
08.07.17;8:26:21 AM;6.62;92.200;28.930;39773.000;18.000
08.07.17;8:26:36 AM;6.88;92.480;28.890;39783.000;18.000
08.07.17;8:26:51 AM;7.12;92.260;28.920;39765.000;18.000
08.07.17;8:27:06 AM;7.37;92.150;28.930;39779.000;18.000
08.07.17;8:27:21 AM;7.62;91.910;28.960;39755.000;18.000
08.07.17;8:27:36 AM;7.88;92.390;28.900;39798.000;18.000
08.07.17;8:27:51 AM;8.13;91.910;28.960;39773.000;18.000
08.07.17;8:28:06 AM;8.37;92.010;28.950;39813.000;18.000
08.07.17;8:28:21 AM;8.62;91.970;28.950;39778.000;18.000
08.07.17;8:28:36 AM;8.88;91.960;28.960;39794.000;18.000
08.07.17;8:28:51 AM;9.12;91.810;28.970;39792.000;18.000
08.07.17;8:29:06 AM;9.37;91.970;28.950;39813.000;18.000
08.07.17;8:29:21 AM;9.63;91.780;28.980;39809.000;18.000
08.07.17;8:29:36 AM;9.87;91.750;28.980;39804.000;18.000
08.07.17;8:29:51 AM;10.13;91.620;29.000;39843.000;18.000
08.07.17;8:30:06 AM;10.38;91.270;29.040;39828.000;18.000
08.07.17;8:30:21 AM;10.62;91.420;29.020;39821.000;18.000
08.07.17;8:30:36 AM;10.87;91.580;29.000;39819.000;18.000
