08.07.17/10:37 AM SW ver:OXY10v3_33
Header Ch-5
Description: WWJ5-22
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105518
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;10:37:39 AM;0.00;92.620;28.140;45581.000;22.000
08.07.17;10:37:48 AM;0.15;91.880;28.220;45522.000;22.000
08.07.17;10:38:03 AM;0.40;92.070;28.200;45523.000;22.000
08.07.17;10:38:18 AM;0.65;91.500;28.270;45629.000;22.000
08.07.17;10:38:33 AM;0.90;91.590;28.260;45742.000;22.000
08.07.17;10:38:48 AM;1.15;91.340;28.290;45817.000;22.000
08.07.17;10:39:03 AM;1.40;91.430;28.280;45818.000;22.000
08.07.17;10:39:18 AM;1.65;91.200;28.300;45831.000;22.000
08.07.17;10:39:33 AM;1.90;91.240;28.300;45895.000;22.000
08.07.17;10:39:48 AM;2.15;91.130;28.310;45848.000;22.000
08.07.17;10:40:03 AM;2.40;90.650;28.370;45915.000;22.000
08.07.17;10:40:18 AM;2.65;90.350;28.410;46019.000;22.000
08.07.17;10:40:33 AM;2.90;90.420;28.400;46027.000;22.000
08.07.17;10:40:48 AM;3.15;90.200;28.420;46015.000;22.000
08.07.17;10:41:03 AM;3.40;90.860;28.340;46026.000;22.000
08.07.17;10:41:18 AM;3.65;90.290;28.410;46062.000;22.000
08.07.17;10:41:33 AM;3.90;90.370;28.400;46047.000;22.000
08.07.17;10:41:48 AM;4.15;90.090;28.440;46060.000;22.000
08.07.17;10:42:03 AM;4.40;90.120;28.430;46116.000;22.000
08.07.17;10:42:18 AM;4.65;90.530;28.380;46106.000;22.000
08.07.17;10:42:33 AM;4.90;90.210;28.420;46192.000;22.000
08.07.17;10:42:48 AM;5.15;89.740;28.480;46218.000;22.000
08.07.17;10:43:03 AM;5.40;89.950;28.450;46243.000;22.000
08.07.17;10:43:18 AM;5.65;89.570;28.500;46266.000;22.000
08.07.17;10:43:33 AM;5.90;89.330;28.530;46302.000;22.000
08.07.17;10:43:48 AM;6.15;89.010;28.570;46335.000;22.000
08.07.17;10:44:03 AM;6.40;89.670;28.490;46357.000;22.000
08.07.17;10:44:18 AM;6.65;89.420;28.520;46435.000;22.000
08.07.17;10:44:33 AM;6.90;89.450;28.510;46440.000;22.000
08.07.17;10:44:48 AM;7.15;89.280;28.540;46501.000;22.000
08.07.17;10:45:03 AM;7.40;88.740;28.600;46488.000;22.000
08.07.17;10:45:18 AM;7.65;89.040;28.560;46551.000;22.000
08.07.17;10:45:33 AM;7.90;88.570;28.620;46594.000;22.000
08.07.17;10:45:48 AM;8.15;88.150;28.670;46664.000;22.000
08.07.17;10:46:03 AM;8.40;88.450;28.640;46654.000;22.000
08.07.17;10:46:18 AM;8.65;88.290;28.660;46718.000;22.000
08.07.17;10:46:33 AM;8.90;88.190;28.670;46769.000;22.000
08.07.17;10:46:48 AM;9.15;88.230;28.660;46748.000;22.000
08.07.17;10:47:03 AM;9.40;87.970;28.700;46805.000;22.000
08.07.17;10:47:18 AM;9.65;88.050;28.690;46887.000;22.000
08.07.17;10:47:33 AM;9.90;87.670;28.730;46881.000;22.000
08.07.17;10:47:48 AM;10.15;87.540;28.750;46930.000;22.000
08.07.17;10:48:03 AM;10.40;87.470;28.760;46947.000;22.000
08.07.17;10:48:18 AM;10.65;87.210;28.790;46959.000;22.000
08.07.17;10:48:33 AM;10.90;87.100;28.800;47010.000;22.000
08.07.17;10:48:48 AM;11.15;87.310;28.780;47045.000;22.000
08.07.17;10:49:03 AM;11.40;86.910;28.830;47067.000;22.000
08.07.17;10:49:18 AM;11.65;86.870;28.830;47147.000;22.000
08.07.17;10:49:33 AM;11.90;86.560;28.870;47109.000;22.000
08.07.17;10:49:48 AM;12.15;86.980;28.820;47117.000;22.000
08.07.17;10:50:03 AM;12.40;86.430;28.890;47232.000;22.000
08.07.17;10:50:18 AM;12.65;86.690;28.860;47231.000;22.000
08.07.17;10:50:33 AM;12.90;86.190;28.920;47300.000;22.000
08.07.17;10:50:48 AM;13.15;86.370;28.900;47320.000;22.000
08.07.17;10:51:03 AM;13.40;86.320;28.900;47314.000;22.000
08.07.17;10:51:18 AM;13.65;86.170;28.920;47414.000;22.000
