08.07.17/10:37 AM SW ver:OXY10v3_33
Header Ch-6
Description: TBN2-22
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102522
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;10:37:40 AM;0.00;94.460;27.920;36645.000;22.000
08.07.17;10:37:50 AM;0.17;95.600;27.800;36697.000;22.000
08.07.17;10:38:05 AM;0.42;95.920;27.760;36690.000;22.000
08.07.17;10:38:20 AM;0.67;95.380;27.820;36769.000;22.000
08.07.17;10:38:35 AM;0.92;93.990;27.980;36704.000;22.000
08.07.17;10:38:50 AM;1.17;94.400;27.930;36673.000;22.000
08.07.17;10:39:05 AM;1.42;95.480;27.810;36695.000;22.000
08.07.17;10:39:20 AM;1.67;94.890;27.880;36749.000;22.000
08.07.17;10:39:35 AM;1.92;94.840;27.880;36741.000;22.000
08.07.17;10:39:50 AM;2.17;93.880;27.990;36697.000;22.000
08.07.17;10:40:05 AM;2.42;94.050;27.970;36724.000;22.000
08.07.17;10:40:20 AM;2.67;94.710;27.900;36784.000;22.000
08.07.17;10:40:35 AM;2.92;93.940;27.980;36777.000;22.000
08.07.17;10:40:50 AM;3.17;94.100;27.970;36762.000;22.000
08.07.17;10:41:05 AM;3.42;94.210;27.950;36757.000;22.000
08.07.17;10:41:20 AM;3.67;95.020;27.860;36741.000;22.000
08.07.17;10:41:35 AM;3.92;94.740;27.890;36761.000;22.000
08.07.17;10:41:50 AM;4.17;94.390;27.930;36816.000;22.000
08.07.17;10:42:05 AM;4.42;94.330;27.940;36796.000;22.000
08.07.17;10:42:20 AM;4.67;94.710;27.900;36776.000;22.000
08.07.17;10:42:35 AM;4.92;94.360;27.940;36811.000;22.000
08.07.17;10:42:50 AM;5.17;94.540;27.920;36794.000;22.000
08.07.17;10:43:05 AM;5.42;94.920;27.870;36766.000;22.000
08.07.17;10:43:20 AM;5.67;94.410;27.930;36800.000;22.000
08.07.17;10:43:35 AM;5.92;93.830;28.000;36852.000;22.000
08.07.17;10:43:50 AM;6.17;93.880;27.990;36837.000;22.000
08.07.17;10:44:05 AM;6.42;93.580;28.030;36833.000;22.000
08.07.17;10:44:20 AM;6.67;94.180;27.960;36810.000;22.000
08.07.17;10:44:35 AM;6.92;93.750;28.010;36803.000;22.000
08.07.17;10:44:50 AM;7.17;94.760;27.890;36833.000;22.000
08.07.17;10:45:05 AM;7.42;93.680;28.010;36869.000;22.000
08.07.17;10:45:20 AM;7.67;94.200;27.950;36813.000;22.000
08.07.17;10:45:35 AM;7.92;94.080;27.970;36861.000;22.000
08.07.17;10:45:50 AM;8.17;94.300;27.940;36879.000;22.000
08.07.17;10:46:05 AM;8.42;94.270;27.950;36804.000;22.000
08.07.17;10:46:20 AM;8.67;94.090;27.970;36815.000;22.000
08.07.17;10:46:35 AM;8.92;93.920;27.990;36902.000;22.000
08.07.17;10:46:50 AM;9.17;94.620;27.910;36832.000;22.000
08.07.17;10:47:05 AM;9.42;93.710;28.010;36911.000;22.000
08.07.17;10:47:20 AM;9.67;94.350;27.940;36837.000;22.000
08.07.17;10:47:35 AM;9.92;94.610;27.910;36877.000;22.000
08.07.17;10:47:50 AM;10.17;94.330;27.940;36884.000;22.000
08.07.17;10:48:05 AM;10.42;94.190;27.950;36873.000;22.000
08.07.17;10:48:20 AM;10.67;93.950;27.980;36873.000;22.000
08.07.17;10:48:35 AM;10.92;94.000;27.980;36863.000;22.000
08.07.17;10:48:50 AM;11.17;93.780;28.000;36897.000;22.000
08.07.17;10:49:05 AM;11.42;93.890;27.990;36910.000;22.000
08.07.17;10:49:20 AM;11.67;94.000;27.980;36875.000;22.000
08.07.17;10:49:35 AM;11.92;93.680;28.010;36928.000;22.000
08.07.17;10:49:50 AM;12.17;93.230;28.070;36894.000;22.000
08.07.17;10:50:05 AM;12.42;93.510;28.030;36862.000;22.000
08.07.17;10:50:20 AM;12.67;94.410;27.930;36910.000;22.000
08.07.17;10:50:35 AM;12.92;93.770;28.000;36914.000;22.000
08.07.17;10:50:50 AM;13.17;94.770;27.890;36920.000;22.000
08.07.17;10:51:05 AM;13.42;94.010;27.980;36916.000;22.000
08.07.17;10:51:20 AM;13.67;94.050;27.970;36924.000;22.000
08.07.17;10:51:35 AM;13.92;93.820;28.000;36922.000;22.000
08.07.17;10:51:50 AM;14.17;93.150;28.070;36911.000;22.000
08.07.17;10:52:05 AM;14.42;93.880;27.990;36930.000;22.000
08.07.17;10:52:20 AM;14.67;93.800;28.000;36969.000;22.000
08.07.17;10:52:35 AM;14.92;94.100;27.970;36986.000;22.000
08.07.17;10:52:50 AM;15.17;93.680;28.010;36950.000;22.000
08.07.17;10:53:05 AM;15.42;93.720;28.010;36874.000;22.000
08.07.17;10:53:20 AM;15.67;93.200;28.070;36915.000;22.000
08.07.17;10:53:35 AM;15.92;93.710;28.010;36970.000;22.000
08.07.17;10:53:50 AM;16.17;94.280;27.940;36920.000;22.000
08.07.17;10:54:05 AM;16.42;93.490;28.040;36935.000;22.000
08.07.17;10:54:20 AM;16.67;93.560;28.030;36894.000;22.000
08.07.17;10:54:35 AM;16.92;93.360;28.050;36899.000;22.000
08.07.17;10:54:50 AM;17.17;93.070;28.080;36937.000;22.000
08.07.17;10:55:05 AM;17.42;94.100;27.970;36985.000;22.000
08.07.17;10:55:20 AM;17.67;93.180;28.070;36939.000;22.000
