08.07.17/11:45 AM SW ver:OXY10v3_33
Header Ch-10
Description: TWK5-26
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 102093
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;11:45:03 AM;0.00;95.070;27.150;35260.000;26.000
08.07.17;11:45:07 AM;0.07;95.310;27.120;35253.000;26.000
08.07.17;11:45:22 AM;0.32;95.290;27.120;35249.000;26.000
08.07.17;11:45:37 AM;0.57;94.860;27.170;35249.000;26.000
08.07.17;11:45:52 AM;0.82;94.780;27.180;35270.000;26.000
08.07.17;11:46:08 AM;1.07;94.650;27.190;35279.000;26.000
08.07.17;11:46:22 AM;1.32;94.550;27.210;35279.000;26.000
08.07.17;11:46:37 AM;1.57;94.750;27.180;35309.000;26.000
08.07.17;11:46:52 AM;1.82;94.330;27.230;35305.000;26.000
08.07.17;11:47:07 AM;2.07;94.880;27.170;35318.000;26.000
08.07.17;11:47:22 AM;2.32;94.800;27.180;35325.000;26.000
08.07.17;11:47:37 AM;2.57;94.420;27.220;35323.000;26.000
08.07.17;11:47:52 AM;2.82;95.030;27.150;35351.000;26.000
08.07.17;11:48:07 AM;3.07;94.890;27.170;35355.000;26.000
08.07.17;11:48:22 AM;3.32;94.730;27.190;35356.000;26.000
08.07.17;11:48:37 AM;3.57;94.220;27.240;35375.000;26.000
08.07.17;11:48:52 AM;3.82;94.230;27.240;35360.000;26.000
08.07.17;11:49:07 AM;4.07;94.380;27.230;35394.000;26.000
08.07.17;11:49:22 AM;4.32;94.180;27.250;35393.000;26.000
08.07.17;11:49:37 AM;4.57;94.310;27.230;35422.000;26.000
08.07.17;11:49:52 AM;4.82;94.180;27.250;35394.000;26.000
08.07.17;11:50:07 AM;5.07;94.050;27.260;35432.000;26.000
08.07.17;11:50:22 AM;5.32;94.210;27.240;35464.000;26.000
08.07.17;11:50:37 AM;5.57;94.120;27.250;35458.000;26.000
