08.07.17/1:20 PM SW ver:OXY10v3_33
Header Ch-10
Description: TWK5-29
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 102093
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;1:20:24 PM;0.00;94.400;26.710;34358.000;29.000
08.07.17;1:20:39 PM;0.25;94.400;26.710;34341.000;29.000
08.07.17;1:20:54 PM;0.50;94.200;26.730;34354.000;29.000
08.07.17;1:21:09 PM;0.75;94.620;26.690;34365.000;29.000
08.07.17;1:21:24 PM;1.00;94.230;26.730;34362.000;29.000
08.07.17;1:21:39 PM;1.25;94.330;26.720;34364.000;29.000
08.07.17;1:21:54 PM;1.50;94.570;26.690;34405.000;29.000
08.07.17;1:22:09 PM;1.75;94.120;26.740;34393.000;29.000
08.07.17;1:22:24 PM;2.00;94.300;26.720;34378.000;29.000
08.07.17;1:22:39 PM;2.25;94.210;26.730;34418.000;29.000
08.07.17;1:22:54 PM;2.50;94.060;26.750;34447.000;29.000
08.07.17;1:23:09 PM;2.75;94.270;26.720;34421.000;29.000
08.07.17;1:23:24 PM;3.00;93.870;26.770;34435.000;29.000
08.07.17;1:23:39 PM;3.25;94.100;26.740;34456.000;29.000
08.07.17;1:23:54 PM;3.50;94.030;26.750;34477.000;29.000
08.07.17;1:24:09 PM;3.75;93.260;26.840;34475.000;29.000
08.07.17;1:24:24 PM;4.00;93.850;26.770;34482.000;29.000
08.07.17;1:24:39 PM;4.25;93.170;26.850;34517.000;29.000
08.07.17;1:24:54 PM;4.50;93.710;26.790;34500.000;29.000
08.07.17;1:25:09 PM;4.75;93.640;26.790;34506.000;29.000
08.07.17;1:25:24 PM;5.00;93.460;26.810;34541.000;29.000
08.07.17;1:25:39 PM;5.25;93.380;26.820;34550.000;29.000
08.07.17;1:25:54 PM;5.50;93.190;26.840;34547.000;29.000
08.07.17;1:26:09 PM;5.75;93.280;26.830;34592.000;29.000
08.07.17;1:26:24 PM;6.00;93.580;26.800;34601.000;29.000
08.07.17;1:26:39 PM;6.25;93.310;26.830;34618.000;29.000
08.07.17;1:26:54 PM;6.50;93.140;26.850;34665.000;29.000
08.07.17;1:27:09 PM;6.75;92.560;26.920;34646.000;29.000
08.07.17;1:27:24 PM;7.00;93.010;26.870;34637.000;29.000
08.07.17;1:27:39 PM;7.25;92.490;26.920;34661.000;29.000
08.07.17;1:27:54 PM;7.50;92.710;26.900;34683.000;29.000
08.07.17;1:28:09 PM;7.75;92.680;26.900;34727.000;29.000
08.07.17;1:28:24 PM;8.00;92.280;26.950;34739.000;29.000
08.07.17;1:28:39 PM;8.25;92.420;26.930;34755.000;29.000
08.07.17;1:28:54 PM;8.50;92.630;26.910;34772.000;29.000
08.07.17;1:29:09 PM;8.75;92.780;26.890;34789.000;29.000
08.07.17;1:29:24 PM;9.00;92.250;26.950;34815.000;29.000
08.07.17;1:29:39 PM;9.25;91.810;27.000;34819.000;29.000
08.07.17;1:29:54 PM;9.50;92.100;26.970;34833.000;29.000
08.07.17;1:30:09 PM;9.75;91.450;27.040;34854.000;29.000
08.07.17;1:30:24 PM;10.00;91.450;27.040;34898.000;29.000
08.07.17;1:30:39 PM;10.25;91.590;27.030;34922.000;29.000
08.07.17;1:30:54 PM;10.50;91.500;27.040;34929.000;29.000
08.07.17;1:31:09 PM;10.75;92.060;26.970;34937.000;29.000
08.07.17;1:31:24 PM;11.00;91.260;27.060;34949.000;29.000
08.07.17;1:31:39 PM;11.25;91.000;27.100;34955.000;29.000
08.07.17;1:31:54 PM;11.50;91.520;27.040;35011.000;29.000
08.07.17;1:32:09 PM;11.75;91.090;27.080;34992.000;29.000
08.07.17;1:32:24 PM;12.00;91.070;27.090;35041.000;29.000
08.07.17;1:32:39 PM;12.25;90.590;27.140;35033.000;29.000
08.07.17;1:32:54 PM;12.50;90.700;27.130;35061.000;29.000
08.07.17;1:33:09 PM;12.75;90.680;27.130;35101.000;29.000
08.07.17;1:33:24 PM;13.00;90.460;27.160;35108.000;29.000
08.07.17;1:33:39 PM;13.25;90.470;27.160;35122.000;29.000
08.07.17;1:33:54 PM;13.50;90.390;27.170;35130.000;29.000
08.07.17;1:34:09 PM;13.75;90.350;27.170;35178.000;29.000
08.07.17;1:34:24 PM;14.00;89.820;27.230;35187.000;29.000
08.07.17;1:34:39 PM;14.25;89.970;27.220;35219.000;29.000
08.07.17;1:34:54 PM;14.50;89.860;27.230;35246.000;29.000
08.07.17;1:35:09 PM;14.75;89.730;27.240;35252.000;29.000
08.07.17;1:35:24 PM;15.00;89.740;27.240;35267.000;29.000
08.07.17;1:35:39 PM;15.25;89.540;27.270;35319.000;29.000
08.07.17;1:35:54 PM;15.50;90.060;27.200;35315.000;29.000
08.07.17;1:36:09 PM;15.75;89.300;27.290;35352.000;29.000
08.07.17;1:36:24 PM;16.00;89.350;27.290;35390.000;29.000
08.07.17;1:36:39 PM;16.25;89.110;27.320;35376.000;29.000
08.07.17;1:36:54 PM;16.50;89.240;27.300;35429.000;29.000
08.07.17;1:37:09 PM;16.75;88.890;27.340;35436.000;29.000
08.07.17;1:37:24 PM;17.00;88.700;27.370;35455.000;29.000
08.07.17;1:37:39 PM;17.25;88.770;27.360;35508.000;29.000
08.07.17;1:37:54 PM;17.50;88.780;27.360;35499.000;29.000
08.07.17;1:38:09 PM;17.75;88.530;27.390;35529.000;29.000
08.07.17;1:38:24 PM;18.00;88.500;27.390;35542.000;29.000
08.07.17;1:38:39 PM;18.25;88.510;27.390;35577.000;29.000
08.07.17;1:38:54 PM;18.50;88.420;27.400;35615.000;29.000
08.07.17;1:39:09 PM;18.75;87.880;27.460;35609.000;29.000
08.07.17;1:39:24 PM;19.00;88.160;27.430;35658.000;29.000
08.07.17;1:39:39 PM;19.25;87.770;27.480;35644.000;29.000
08.07.17;1:39:54 PM;19.50;87.990;27.450;35676.000;29.000
08.07.17;1:40:09 PM;19.75;88.100;27.440;35695.000;29.000
08.07.17;1:40:24 PM;20.00;87.530;27.510;35716.000;29.000
08.07.17;1:40:39 PM;20.25;87.340;27.530;35768.000;29.000
