08.07.17/3:36 PM SW ver:OXY10v3_33
Header Ch-5
Description: WWJ5-32
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105518
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;3:36:51 PM;0.00;90.640;26.630;42474.000;32.000
08.07.17;3:37:06 PM;0.25;90.790;26.620;42524.000;32.000
08.07.17;3:37:21 PM;0.50;91.320;26.560;42583.000;32.000
08.07.17;3:37:36 PM;0.75;91.020;26.590;42551.000;32.000
08.07.17;3:37:51 PM;1.00;90.850;26.610;42573.000;32.000
08.07.17;3:38:06 PM;1.25;91.060;26.590;42635.000;32.000
08.07.17;3:38:21 PM;1.50;90.670;26.630;42632.000;32.000
08.07.17;3:38:36 PM;1.75;90.290;26.670;42673.000;32.000
08.07.17;3:38:51 PM;2.00;90.670;26.630;42705.000;32.000
08.07.17;3:39:06 PM;2.25;90.220;26.680;42761.000;32.000
08.07.17;3:39:21 PM;2.50;90.160;26.690;42789.000;32.000
08.07.17;3:39:36 PM;2.75;89.970;26.710;42803.000;32.000
08.07.17;3:39:51 PM;3.00;90.010;26.710;42837.000;32.000
08.07.17;3:40:06 PM;3.25;90.100;26.700;42847.000;32.000
08.07.17;3:40:21 PM;3.50;89.660;26.750;42891.000;32.000
08.07.17;3:40:36 PM;3.75;89.520;26.760;42908.000;32.000
08.07.17;3:40:51 PM;4.00;89.310;26.790;42972.000;32.000
08.07.17;3:41:06 PM;4.25;89.090;26.810;43009.000;32.000
08.07.17;3:41:21 PM;4.50;89.120;26.810;43036.000;32.000
08.07.17;3:41:36 PM;4.75;88.820;26.850;43074.000;32.000
08.07.17;3:41:51 PM;5.00;88.440;26.890;43068.000;32.000
08.07.17;3:42:06 PM;5.25;88.970;26.830;43130.000;32.000
08.07.17;3:42:21 PM;5.50;88.690;26.860;43142.000;32.000
08.07.17;3:42:36 PM;5.75;88.510;26.880;43187.000;32.000
08.07.17;3:42:51 PM;6.00;87.970;26.950;43223.000;32.000
08.07.17;3:43:06 PM;6.25;88.220;26.920;43226.000;32.000
08.07.17;3:43:21 PM;6.50;88.340;26.900;43333.000;32.000
08.07.17;3:43:36 PM;6.75;87.760;26.970;43321.000;32.000
08.07.17;3:43:51 PM;7.00;87.590;26.990;43354.000;32.000
08.07.17;3:44:06 PM;7.25;87.720;26.980;43396.000;32.000
08.07.17;3:44:21 PM;7.50;87.290;27.030;43447.000;32.000
08.07.17;3:44:36 PM;7.75;87.310;27.030;43458.000;32.000
08.07.17;3:44:51 PM;8.00;87.070;27.050;43508.000;32.000
08.07.17;3:45:06 PM;8.25;86.880;27.080;43535.000;32.000
08.07.17;3:45:21 PM;8.50;86.650;27.110;43612.000;32.000
08.07.17;3:45:36 PM;8.75;86.560;27.120;43628.000;32.000
08.07.17;3:45:51 PM;9.00;86.870;27.080;43618.000;32.000
08.07.17;3:46:06 PM;9.25;86.680;27.100;43686.000;32.000
08.07.17;3:46:21 PM;9.50;86.240;27.160;43745.000;32.000
08.07.17;3:46:36 PM;9.75;86.530;27.120;43709.000;32.000
08.07.17;3:46:51 PM;10.00;86.350;27.140;43764.000;32.000
08.07.17;3:47:06 PM;10.25;85.520;27.240;43794.000;32.000
08.07.17;3:47:21 PM;10.50;86.420;27.130;43877.000;32.000
08.07.17;3:47:36 PM;10.75;86.360;27.140;43896.000;32.000
08.07.17;3:47:51 PM;11.00;85.680;27.220;43974.000;32.000
08.07.17;3:48:06 PM;11.25;85.310;27.270;43962.000;32.000
08.07.17;3:48:21 PM;11.50;85.270;27.280;44037.000;32.000
08.07.17;3:48:36 PM;11.75;85.720;27.220;44064.000;32.000
08.07.17;3:48:51 PM;12.00;85.250;27.280;44073.000;32.000
08.07.17;3:49:06 PM;12.25;85.070;27.300;44102.000;32.000
08.07.17;3:49:21 PM;12.50;84.880;27.320;44162.000;32.000
08.07.17;3:49:36 PM;12.75;84.750;27.340;44161.000;32.000
08.07.17;3:49:51 PM;13.00;84.840;27.330;44242.000;32.000
08.07.17;3:50:06 PM;13.25;84.190;27.410;44234.000;32.000
08.07.17;3:50:21 PM;13.50;84.140;27.420;44294.000;32.000
08.07.17;3:50:36 PM;13.75;84.060;27.430;44368.000;32.000
08.07.17;3:50:51 PM;14.00;84.290;27.400;44341.000;32.000
08.07.17;3:51:06 PM;14.25;84.090;27.420;44354.000;32.000
08.07.17;3:51:21 PM;14.50;84.050;27.430;44426.000;32.000
08.07.17;3:51:36 PM;14.75;83.620;27.480;44456.000;32.000
08.07.17;3:51:51 PM;15.00;83.270;27.530;44477.000;32.000
08.07.17;3:52:06 PM;15.25;83.220;27.530;44544.000;32.000
08.07.17;3:52:21 PM;15.50;82.910;27.570;44583.000;32.000
08.07.17;3:52:36 PM;15.75;82.990;27.560;44551.000;32.000
08.07.17;3:52:51 PM;16.00;83.120;27.550;44622.000;32.000
08.07.17;3:53:06 PM;16.25;82.970;27.570;44661.000;32.000
