08.07.17/3:36 PM SW ver:OXY10v3_33
Header Ch-8
Description: WWD4-32
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103890
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;3:36:51 PM;0.00;92.900;26.380;25154.000;32.000
08.07.17;3:36:57 PM;0.11;92.710;26.400;25194.000;32.000
08.07.17;3:37:12 PM;0.36;92.300;26.440;25183.000;32.000
08.07.17;3:37:27 PM;0.61;93.050;26.360;25174.000;32.000
08.07.17;3:37:42 PM;0.86;93.470;26.310;25184.000;32.000
08.07.17;3:37:57 PM;1.11;93.980;26.260;25201.000;32.000
08.07.17;3:38:12 PM;1.36;92.730;26.400;25242.000;32.000
08.07.17;3:38:27 PM;1.61;92.170;26.460;25220.000;32.000
08.07.17;3:38:42 PM;1.86;92.380;26.440;25245.000;32.000
08.07.17;3:38:57 PM;2.11;92.090;26.470;25241.000;32.000
08.07.17;3:39:12 PM;2.36;92.940;26.370;25243.000;32.000
08.07.17;3:39:27 PM;2.61;91.570;26.530;25232.000;32.000
08.07.17;3:39:42 PM;2.86;91.190;26.570;25238.000;32.000
08.07.17;3:39:57 PM;3.11;91.630;26.520;25272.000;32.000
08.07.17;3:40:12 PM;3.36;91.840;26.500;25279.000;32.000
08.07.17;3:40:27 PM;3.61;91.830;26.500;25265.000;32.000
08.07.17;3:40:42 PM;3.86;92.120;26.460;25310.000;32.000
08.07.17;3:40:57 PM;4.11;91.400;26.550;25314.000;32.000
08.07.17;3:41:12 PM;4.36;91.320;26.560;25305.000;32.000
08.07.17;3:41:27 PM;4.61;91.150;26.570;25308.000;32.000
08.07.17;3:41:42 PM;4.86;91.230;26.570;25354.000;32.000
08.07.17;3:41:57 PM;5.11;91.190;26.570;25354.000;32.000
08.07.17;3:42:12 PM;5.36;91.820;26.500;25368.000;32.000
08.07.17;3:42:27 PM;5.61;91.310;26.560;25396.000;32.000
08.07.17;3:42:42 PM;5.86;90.970;26.600;25390.000;32.000
08.07.17;3:42:57 PM;6.11;91.380;26.550;25408.000;32.000
08.07.17;3:43:12 PM;6.36;91.260;26.560;25402.000;32.000
08.07.17;3:43:27 PM;6.61;91.780;26.500;25376.000;32.000
08.07.17;3:43:42 PM;6.86;91.480;26.540;25439.000;32.000
08.07.17;3:43:57 PM;7.11;90.380;26.660;25434.000;32.000
08.07.17;3:44:12 PM;7.36;90.570;26.640;25448.000;32.000
08.07.17;3:44:27 PM;7.61;90.820;26.610;25439.000;32.000
