08.07.17/3:02 PM SW ver:OXY10v3_33
Header Ch-8
Description: WWD4-32
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103890
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
08.07.17;3:02:08 PM;0.00;93.020;26.360;25180.000;32.000
08.07.17;3:02:09 PM;0.03;93.380;26.320;25210.000;32.000
08.07.17;3:02:11 PM;0.05;93.240;26.340;25162.000;32.000
08.07.17;3:02:12 PM;0.06;93.260;26.340;25194.000;32.000
08.07.17;3:02:13 PM;0.08;93.580;26.300;25182.000;32.000
08.07.17;3:02:27 PM;0.32;93.150;26.350;25210.000;32.000
08.07.17;3:02:42 PM;0.57;95.110;26.130;25147.000;32.000
08.07.17;3:02:57 PM;0.82;93.720;26.290;25261.000;32.000
08.07.17;3:03:12 PM;1.07;92.670;26.400;25233.000;32.000
08.07.17;3:03:27 PM;1.32;92.450;26.430;25260.000;32.000
08.07.17;3:03:42 PM;1.57;92.490;26.420;25247.000;32.000
08.07.17;3:03:57 PM;1.82;92.290;26.450;25266.000;32.000
08.07.17;3:04:12 PM;2.07;91.730;26.510;25294.000;32.000
08.07.17;3:04:27 PM;2.32;92.960;26.370;25284.000;32.000
08.07.17;3:04:42 PM;2.57;91.960;26.480;25314.000;32.000
08.07.17;3:04:57 PM;2.82;92.410;26.430;25324.000;32.000
08.07.17;3:05:12 PM;3.07;92.340;26.440;25322.000;32.000
08.07.17;3:05:27 PM;3.32;91.430;26.540;25348.000;32.000
08.07.17;3:05:42 PM;3.57;91.880;26.490;25372.000;32.000
08.07.17;3:05:57 PM;3.82;91.840;26.500;25384.000;32.000
08.07.17;3:06:12 PM;4.07;92.280;26.450;25398.000;32.000
08.07.17;3:06:27 PM;4.32;91.830;26.500;25417.000;32.000
08.07.17;3:06:42 PM;4.57;91.430;26.540;25440.000;32.000
08.07.17;3:06:57 PM;4.82;91.210;26.570;25424.000;32.000
08.07.17;3:07:12 PM;5.07;91.610;26.520;25453.000;32.000
08.07.17;3:07:27 PM;5.32;91.440;26.540;25454.000;32.000
08.07.17;3:07:42 PM;5.57;91.530;26.530;25479.000;32.000
08.07.17;3:07:57 PM;5.82;90.970;26.600;25512.000;32.000
08.07.17;3:08:12 PM;6.07;90.490;26.650;25498.000;32.000
08.07.17;3:08:27 PM;6.32;90.410;26.660;25533.000;32.000
08.07.17;3:08:42 PM;6.57;90.500;26.650;25523.000;32.000
08.07.17;3:08:57 PM;6.82;90.680;26.630;25544.000;32.000
08.07.17;3:09:12 PM;7.07;90.100;26.700;25571.000;32.000
08.07.17;3:09:27 PM;7.32;90.510;26.650;25580.000;32.000
08.07.17;3:09:42 PM;7.57;90.340;26.670;25603.000;32.000
08.07.17;3:09:57 PM;7.82;91.000;26.590;25605.000;32.000
08.07.17;3:10:12 PM;8.07;90.650;26.630;25625.000;32.000
08.07.17;3:10:27 PM;8.32;90.050;26.700;25647.000;32.000
08.07.17;3:10:42 PM;8.57;89.000;26.820;25687.000;32.000
08.07.17;3:10:57 PM;8.82;90.030;26.700;25684.000;32.000
08.07.17;3:11:12 PM;9.07;89.810;26.730;25698.000;32.000
08.07.17;3:11:27 PM;9.32;90.250;26.680;25714.000;32.000
08.07.17;3:11:42 PM;9.57;89.540;26.760;25714.000;32.000
08.07.17;3:11:57 PM;9.82;90.000;26.710;25740.000;32.000
08.07.17;3:12:12 PM;10.07;89.530;26.760;25746.000;32.000
08.07.17;3:12:27 PM;10.32;88.960;26.830;25762.000;32.000
08.07.17;3:12:42 PM;10.57;88.690;26.860;25786.000;32.000
08.07.17;3:12:57 PM;10.82;89.300;26.790;25794.000;32.000
08.07.17;3:13:12 PM;11.07;89.390;26.780;25802.000;32.000
08.07.17;3:13:27 PM;11.32;88.800;26.850;25830.000;32.000
08.07.17;3:13:42 PM;11.57;88.940;26.830;25837.000;32.000
08.07.17;3:13:57 PM;11.82;88.730;26.860;25834.000;32.000
08.07.17;3:14:12 PM;12.07;88.330;26.900;25865.000;32.000
08.07.17;3:14:27 PM;12.32;88.900;26.840;25882.000;32.000
08.07.17;3:14:42 PM;12.57;88.160;26.920;25920.000;32.000
08.07.17;3:14:57 PM;12.82;88.650;26.870;25936.000;32.000
08.07.17;3:15:12 PM;13.07;88.210;26.920;25942.000;32.000
08.07.17;3:15:27 PM;13.32;87.760;26.970;25965.000;32.000
08.07.17;3:15:42 PM;13.57;87.760;26.970;25976.000;32.000
08.07.17;3:15:57 PM;13.82;88.000;26.940;25990.000;32.000
08.07.17;3:16:12 PM;14.07;87.820;26.960;26006.000;32.000
08.07.17;3:16:27 PM;14.32;87.780;26.970;26006.000;32.000
08.07.17;3:16:42 PM;14.57;87.440;27.010;26025.000;32.000
08.07.17;3:16:57 PM;14.82;87.720;26.980;26066.000;32.000
08.07.17;3:17:12 PM;15.07;87.210;27.040;26088.000;32.000
08.07.17;3:17:27 PM;15.32;87.320;27.020;26073.000;32.000
08.07.17;3:17:42 PM;15.57;86.920;27.070;26091.000;32.000
08.07.17;3:17:57 PM;15.82;86.410;27.140;26129.000;32.000
08.07.17;3:18:12 PM;16.07;86.350;27.140;26184.000;32.000
08.07.17;3:18:27 PM;16.32;86.700;27.100;26141.000;32.000
08.07.17;3:18:42 PM;16.57;86.800;27.090;26172.000;32.000
08.07.17;3:18:57 PM;16.82;86.730;27.100;26199.000;32.000
08.07.17;3:19:12 PM;17.07;86.680;27.100;26180.000;32.000
08.07.17;3:19:27 PM;17.32;86.710;27.100;26200.000;32.000
08.07.17;3:19:42 PM;17.57;86.000;27.190;26227.000;32.000
08.07.17;3:19:57 PM;17.82;86.180;27.160;26228.000;32.000
08.07.17;3:20:12 PM;18.07;86.640;27.110;26241.000;32.000
08.07.17;3:20:27 PM;18.32;86.150;27.170;26263.000;32.000
08.07.17;3:20:42 PM;18.57;85.710;27.220;26303.000;32.000
08.07.17;3:20:57 PM;18.82;86.180;27.160;26292.000;32.000
08.07.17;3:21:12 PM;19.07;86.190;27.160;26303.000;32.000
08.07.17;3:21:27 PM;19.32;85.630;27.230;26338.000;32.000
