10.07.17/8:18 AM SW ver:OXY10v3_33
Header Ch-10
Description: WBC2-18
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101756
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;8:18:18 AM;0.00;95.590;28.530;37751.000;18.000
10.07.17;8:18:20 AM;0.03;95.520;28.540;37752.000;18.000
10.07.17;8:18:22 AM;0.06;95.730;28.520;37715.000;18.000
10.07.17;8:18:32 AM;0.23;95.710;28.520;37779.000;18.000
10.07.17;8:18:47 AM;0.48;95.500;28.540;37782.000;18.000
10.07.17;8:19:02 AM;0.73;95.490;28.540;37771.000;18.000
10.07.17;8:19:17 AM;0.98;95.730;28.520;37814.000;18.000
10.07.17;8:19:32 AM;1.23;95.270;28.570;37794.000;18.000
10.07.17;8:19:47 AM;1.48;95.810;28.510;37829.000;18.000
10.07.17;8:20:02 AM;1.73;95.410;28.550;37814.000;18.000
10.07.17;8:20:17 AM;1.98;95.490;28.540;37807.000;18.000
10.07.17;8:20:32 AM;2.23;95.300;28.570;37837.000;18.000
10.07.17;8:20:47 AM;2.48;95.320;28.560;37811.000;18.000
10.07.17;8:21:02 AM;2.73;95.360;28.560;37826.000;18.000
10.07.17;8:21:17 AM;2.98;95.450;28.550;37853.000;18.000
10.07.17;8:21:32 AM;3.23;95.130;28.580;37838.000;18.000
10.07.17;8:21:47 AM;3.48;95.280;28.570;37860.000;18.000
10.07.17;8:22:02 AM;3.73;95.280;28.570;37844.000;18.000
10.07.17;8:22:17 AM;3.98;95.160;28.580;37843.000;18.000
10.07.17;8:22:32 AM;4.23;95.140;28.580;37828.000;18.000
10.07.17;8:22:47 AM;4.48;94.970;28.600;37845.000;18.000
10.07.17;8:23:02 AM;4.73;94.830;28.620;37841.000;18.000
10.07.17;8:23:17 AM;4.98;95.200;28.580;37847.000;18.000
10.07.17;8:23:32 AM;5.23;94.840;28.620;37843.000;18.000
10.07.17;8:23:47 AM;5.48;94.650;28.640;37856.000;18.000
10.07.17;8:24:02 AM;5.73;94.900;28.610;37852.000;18.000
10.07.17;8:24:17 AM;5.98;94.650;28.640;37841.000;18.000
10.07.17;8:24:32 AM;6.23;94.600;28.650;37858.000;18.000
10.07.17;8:24:47 AM;6.48;94.890;28.610;37821.000;18.000
10.07.17;8:25:02 AM;6.73;94.680;28.640;37871.000;18.000
10.07.17;8:25:17 AM;6.98;94.990;28.600;37829.000;18.000
10.07.17;8:25:32 AM;7.23;94.710;28.630;37845.000;18.000
10.07.17;8:25:47 AM;7.48;94.780;28.620;37852.000;18.000
10.07.17;8:26:02 AM;7.73;94.830;28.620;37846.000;18.000
10.07.17;8:26:17 AM;7.98;94.250;28.690;37823.000;18.000
10.07.17;8:26:32 AM;8.23;94.650;28.640;37829.000;18.000
10.07.17;8:26:47 AM;8.48;94.320;28.680;37851.000;18.000
10.07.17;8:27:02 AM;8.73;94.380;28.670;37816.000;18.000
10.07.17;8:27:17 AM;8.98;94.480;28.660;37844.000;18.000
10.07.17;8:27:32 AM;9.23;94.570;28.650;37829.000;18.000
10.07.17;8:27:47 AM;9.48;94.310;28.680;37848.000;18.000
10.07.17;8:28:02 AM;9.73;94.340;28.680;37830.000;18.000
10.07.17;8:28:17 AM;9.98;94.050;28.710;37828.000;18.000
10.07.17;8:28:32 AM;10.23;94.090;28.700;37824.000;18.000
10.07.17;8:28:47 AM;10.48;94.410;28.670;37840.000;18.000
10.07.17;8:29:02 AM;10.73;94.200;28.690;37840.000;18.000
10.07.17;8:29:17 AM;10.98;94.300;28.680;37816.000;18.000
10.07.17;8:29:32 AM;11.23;93.730;28.750;37831.000;18.000
10.07.17;8:29:47 AM;11.48;94.120;28.700;37831.000;18.000
10.07.17;8:30:02 AM;11.73;94.010;28.710;37842.000;18.000
10.07.17;8:30:17 AM;11.98;93.880;28.730;37835.000;18.000
10.07.17;8:30:32 AM;12.23;93.840;28.730;37843.000;18.000
10.07.17;8:30:47 AM;12.48;94.260;28.690;37821.000;18.000
10.07.17;8:31:02 AM;12.73;94.170;28.700;37850.000;18.000
10.07.17;8:31:17 AM;12.98;93.710;28.750;37849.000;18.000
10.07.17;8:31:32 AM;13.23;93.600;28.760;37860.000;18.000
10.07.17;8:31:47 AM;13.48;93.680;28.750;37870.000;18.000
10.07.17;8:32:02 AM;13.73;94.110;28.700;37848.000;18.000
10.07.17;8:32:17 AM;13.98;93.480;28.780;37858.000;18.000
10.07.17;8:32:32 AM;14.23;93.640;28.760;37856.000;18.000
10.07.17;8:32:47 AM;14.48;93.520;28.770;37858.000;18.000
10.07.17;8:33:02 AM;14.73;93.480;28.780;37865.000;18.000
10.07.17;8:33:17 AM;14.98;93.240;28.800;37880.000;18.000
10.07.17;8:33:32 AM;15.23;93.300;28.800;37894.000;18.000
10.07.17;8:33:47 AM;15.48;93.720;28.750;37880.000;18.000
10.07.17;8:34:02 AM;15.73;93.640;28.760;37891.000;18.000
10.07.17;8:34:17 AM;15.98;93.360;28.790;37896.000;18.000
10.07.17;8:34:32 AM;16.23;93.080;28.820;37931.000;18.000
10.07.17;8:34:47 AM;16.48;92.720;28.870;37929.000;18.000
10.07.17;8:35:02 AM;16.73;93.080;28.820;37914.000;18.000
10.07.17;8:35:17 AM;16.98;93.260;28.800;37936.000;18.000
10.07.17;8:35:32 AM;17.23;93.020;28.830;37961.000;18.000
10.07.17;8:35:47 AM;17.48;93.080;28.820;37951.000;18.000
10.07.17;8:36:02 AM;17.73;93.190;28.810;37950.000;18.000
10.07.17;8:36:17 AM;17.98;93.060;28.830;37962.000;18.000
10.07.17;8:36:32 AM;18.23;92.420;28.900;37980.000;18.000
10.07.17;8:36:47 AM;18.48;92.690;28.870;37981.000;18.000
10.07.17;8:37:02 AM;18.73;92.720;28.870;37992.000;18.000
10.07.17;8:37:17 AM;18.98;92.960;28.840;38006.000;18.000
10.07.17;8:37:32 AM;19.23;92.500;28.890;37994.000;18.000
10.07.17;8:37:47 AM;19.48;92.240;28.920;38002.000;18.000
10.07.17;8:38:02 AM;19.73;92.910;28.840;38036.000;18.000
10.07.17;8:38:17 AM;19.98;92.430;28.900;38010.000;18.000
10.07.17;8:38:32 AM;20.23;92.590;28.880;38041.000;18.000
10.07.17;8:38:47 AM;20.48;92.490;28.890;38047.000;18.000
10.07.17;8:39:02 AM;20.73;92.530;28.890;38071.000;18.000
