10.07.17/10:45 AM SW ver:OXY10v3_33
Header Ch-10
Description: WBC2-22
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101756
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;10:45:27 AM;0.00;95.380;27.820;35997.000;22.000
10.07.17;10:45:41 AM;0.23;95.760;27.780;35976.000;22.000
10.07.17;10:45:56 AM;0.48;95.990;27.750;36002.000;22.000
10.07.17;10:46:11 AM;0.73;95.720;27.780;35996.000;22.000
10.07.17;10:46:26 AM;0.98;95.710;27.780;36040.000;22.000
10.07.17;10:46:41 AM;1.23;95.420;27.820;36042.000;22.000
10.07.17;10:46:56 AM;1.48;95.530;27.800;36075.000;22.000
10.07.17;10:47:11 AM;1.73;95.430;27.810;36049.000;22.000
10.07.17;10:47:26 AM;1.98;95.480;27.810;36070.000;22.000
10.07.17;10:47:41 AM;2.23;95.300;27.830;36082.000;22.000
10.07.17;10:47:56 AM;2.49;95.540;27.800;36049.000;22.000
10.07.17;10:48:11 AM;2.73;95.320;27.830;36094.000;22.000
10.07.17;10:48:26 AM;2.98;95.380;27.820;36096.000;22.000
10.07.17;10:48:41 AM;3.23;94.850;27.880;36090.000;22.000
10.07.17;10:48:56 AM;3.48;94.780;27.890;36103.000;22.000
10.07.17;10:49:11 AM;3.73;94.950;27.870;36109.000;22.000
10.07.17;10:49:26 AM;3.98;95.310;27.830;36104.000;22.000
10.07.17;10:49:41 AM;4.23;95.070;27.850;36061.000;22.000
10.07.17;10:49:56 AM;4.48;95.490;27.810;36123.000;22.000
10.07.17;10:50:11 AM;4.73;95.290;27.830;36076.000;22.000
10.07.17;10:50:26 AM;4.98;95.000;27.860;36078.000;22.000
10.07.17;10:50:41 AM;5.23;94.920;27.870;36080.000;22.000
10.07.17;10:50:56 AM;5.48;95.380;27.820;36104.000;22.000
10.07.17;10:51:11 AM;5.73;95.230;27.840;36156.000;22.000
10.07.17;10:51:26 AM;5.98;95.120;27.850;36102.000;22.000
10.07.17;10:51:41 AM;6.23;95.150;27.850;36092.000;22.000
10.07.17;10:51:56 AM;6.48;95.160;27.840;36114.000;22.000
10.07.17;10:52:10 AM;6.73;94.920;27.870;36094.000;22.000
10.07.17;10:52:26 AM;6.98;94.890;27.880;36116.000;22.000
