10.07.17/10:45 AM SW ver:OXY10v3_33
Header Ch-8
Description: WWK4-22
IDENTIFICATION
PHIboard number   : v1231480
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 08

PARAMETERS
Signal LED current: 050
Ref LED current   : 071
Ref LED amplitude : 103694
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 038800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 025100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;10:45:25 AM;0.00;93.990;27.980;27256.000;22.000
10.07.17;10:45:37 AM;0.20;94.920;27.870;27299.000;22.000
10.07.17;10:45:52 AM;0.45;93.890;27.990;27317.000;22.000
10.07.17;10:46:07 AM;0.70;93.450;28.040;27293.000;22.000
10.07.17;10:46:22 AM;0.95;93.640;28.020;27364.000;22.000
10.07.17;10:46:37 AM;1.20;94.080;27.970;27320.000;22.000
10.07.17;10:46:52 AM;1.45;94.530;27.920;27314.000;22.000
10.07.17;10:47:07 AM;1.70;93.890;27.990;27329.000;22.000
10.07.17;10:47:22 AM;1.95;94.450;27.930;27350.000;22.000
10.07.17;10:47:37 AM;2.20;93.840;28.000;27384.000;22.000
10.07.17;10:47:52 AM;2.45;93.520;28.030;27400.000;22.000
10.07.17;10:48:07 AM;2.70;93.810;28.000;27385.000;22.000
10.07.17;10:48:22 AM;2.95;93.850;27.990;27430.000;22.000
10.07.17;10:48:37 AM;3.20;94.280;27.940;27427.000;22.000
10.07.17;10:48:52 AM;3.45;93.780;28.000;27410.000;22.000
10.07.17;10:49:07 AM;3.70;93.540;28.030;27441.000;22.000
10.07.17;10:49:22 AM;3.95;94.470;27.920;27441.000;22.000
10.07.17;10:49:37 AM;4.20;93.470;28.040;27482.000;22.000
10.07.17;10:49:52 AM;4.45;93.080;28.080;27438.000;22.000
10.07.17;10:50:07 AM;4.70;92.980;28.090;27484.000;22.000
