10.07.17/10:45 AM SW ver:OXY10v3_33
Header Ch-9
Description: WBO1-22
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104025
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;10:45:26 AM;0.00;95.490;27.810;33656.000;22.000
10.07.17;10:45:39 AM;0.21;94.920;27.870;33670.000;22.000
10.07.17;10:45:54 AM;0.46;95.600;27.800;33637.000;22.000
10.07.17;10:46:09 AM;0.71;95.270;27.830;33643.000;22.000
10.07.17;10:46:24 AM;0.96;95.150;27.850;33689.000;22.000
10.07.17;10:46:39 AM;1.21;95.380;27.820;33670.000;22.000
10.07.17;10:46:54 AM;1.46;95.740;27.780;33667.000;22.000
10.07.17;10:47:09 AM;1.71;94.990;27.860;33746.000;22.000
10.07.17;10:47:24 AM;1.96;95.150;27.850;33712.000;22.000
10.07.17;10:47:39 AM;2.21;95.700;27.780;33670.000;22.000
10.07.17;10:47:54 AM;2.46;95.070;27.850;33682.000;22.000
10.07.17;10:48:09 AM;2.71;95.890;27.760;33736.000;22.000
10.07.17;10:48:24 AM;2.96;94.780;27.890;33733.000;22.000
10.07.17;10:48:39 AM;3.21;95.240;27.840;33711.000;22.000
10.07.17;10:48:54 AM;3.46;94.790;27.890;33705.000;22.000
10.07.17;10:49:09 AM;3.71;94.830;27.880;33734.000;22.000
10.07.17;10:49:24 AM;3.96;94.700;27.900;33744.000;22.000
10.07.17;10:49:39 AM;4.21;94.360;27.940;33741.000;22.000
10.07.17;10:49:54 AM;4.46;94.790;27.890;33752.000;22.000
10.07.17;10:50:09 AM;4.71;94.930;27.870;33741.000;22.000
10.07.17;10:50:24 AM;4.96;94.690;27.900;33736.000;22.000
10.07.17;10:50:39 AM;5.21;94.780;27.890;33730.000;22.000
10.07.17;10:50:54 AM;5.46;94.150;27.960;33790.000;22.000
10.07.17;10:51:09 AM;5.71;94.640;27.900;33782.000;22.000
10.07.17;10:51:24 AM;5.96;94.700;27.900;33787.000;22.000
10.07.17;10:51:39 AM;6.21;94.510;27.920;33782.000;22.000
10.07.17;10:51:54 AM;6.46;94.820;27.880;33774.000;22.000
10.07.17;10:52:09 AM;6.71;93.870;27.990;33823.000;22.000
10.07.17;10:52:24 AM;6.96;94.210;27.950;33817.000;22.000
10.07.17;10:52:39 AM;7.21;94.310;27.940;33787.000;22.000
10.07.17;10:52:54 AM;7.46;94.720;27.890;33797.000;22.000
10.07.17;10:53:09 AM;7.71;94.560;27.910;33813.000;22.000
10.07.17;10:53:24 AM;7.96;94.360;27.940;33820.000;22.000
10.07.17;10:53:39 AM;8.21;94.440;27.930;33812.000;22.000
10.07.17;10:53:54 AM;8.46;94.480;27.920;33826.000;22.000
10.07.17;10:54:09 AM;8.71;93.980;27.980;33813.000;22.000
10.07.17;10:54:24 AM;8.96;93.980;27.980;33859.000;22.000
10.07.17;10:54:39 AM;9.21;94.150;27.960;33844.000;22.000
10.07.17;10:54:54 AM;9.46;94.040;27.970;33848.000;22.000
10.07.17;10:55:09 AM;9.71;94.170;27.960;33874.000;22.000
10.07.17;10:55:24 AM;9.96;94.490;27.920;33901.000;22.000
10.07.17;10:55:39 AM;10.21;93.970;27.980;33871.000;22.000
10.07.17;10:55:54 AM;10.46;93.850;27.990;33893.000;22.000
10.07.17;10:56:09 AM;10.71;93.610;28.020;33890.000;22.000
10.07.17;10:56:24 AM;10.96;94.030;27.970;33882.000;22.000
10.07.17;10:56:39 AM;11.21;93.820;28.000;33893.000;22.000
10.07.17;10:56:54 AM;11.46;93.990;27.980;33918.000;22.000
10.07.17;10:57:09 AM;11.71;93.790;28.000;33876.000;22.000
10.07.17;10:57:24 AM;11.96;94.160;27.960;33886.000;22.000
10.07.17;10:57:39 AM;12.21;93.700;28.010;33890.000;22.000
10.07.17;10:57:54 AM;12.46;93.890;27.990;33933.000;22.000
10.07.17;10:58:09 AM;12.71;93.100;28.080;33924.000;22.000
10.07.17;10:58:24 AM;12.96;93.660;28.020;33947.000;22.000
10.07.17;10:58:39 AM;13.21;93.670;28.010;33980.000;22.000
10.07.17;10:58:54 AM;13.46;93.370;28.050;33924.000;22.000
10.07.17;10:59:09 AM;13.71;94.520;27.920;33927.000;22.000
10.07.17;10:59:24 AM;13.96;93.380;28.050;33942.000;22.000
10.07.17;10:59:39 AM;14.21;93.410;28.040;33950.000;22.000
10.07.17;10:59:54 AM;14.46;92.930;28.100;33957.000;22.000
10.07.17;11:00:09 AM;14.71;93.290;28.060;33974.000;22.000
10.07.17;11:00:24 AM;14.96;94.230;27.950;33988.000;22.000
