10.07.17/9:59 AM SW ver:OXY10v3_33
Header Ch-9
Description: WBO1-22
IDENTIFICATION
PHIboard number   : v1231481
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 09

PARAMETERS
Signal LED current: 050
Ref LED current   : 072
Ref LED amplitude : 104025
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 034700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 023000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;9:59:42 AM;0.00;96.020;27.750;33739.000;22.000
10.07.17;9:59:43 AM;0.02;95.510;27.810;33763.000;22.000
10.07.17;9:59:54 AM;0.20;95.460;27.810;33752.000;22.000
10.07.17;10:00:09 AM;0.45;95.540;27.800;33782.000;22.000
10.07.17;10:00:24 AM;0.70;95.880;27.760;33783.000;22.000
10.07.17;10:00:39 AM;0.95;96.150;27.730;33785.000;22.000
10.07.17;10:00:54 AM;1.20;95.510;27.810;33808.000;22.000
10.07.17;10:01:09 AM;1.45;95.680;27.790;33794.000;22.000
10.07.17;10:01:24 AM;1.70;95.280;27.830;33793.000;22.000
10.07.17;10:01:39 AM;1.95;95.550;27.800;33787.000;22.000
10.07.17;10:01:54 AM;2.20;95.410;27.820;33803.000;22.000
10.07.17;10:02:09 AM;2.45;95.630;27.790;33785.000;22.000
10.07.17;10:02:24 AM;2.70;95.330;27.830;33820.000;22.000
10.07.17;10:02:39 AM;2.95;95.410;27.820;33824.000;22.000
10.07.17;10:02:54 AM;3.20;95.610;27.790;33799.000;22.000
10.07.17;10:03:09 AM;3.45;95.390;27.820;33812.000;22.000
10.07.17;10:03:24 AM;3.70;95.460;27.810;33818.000;22.000
10.07.17;10:03:39 AM;3.95;95.240;27.840;33801.000;22.000
10.07.17;10:03:54 AM;4.20;95.570;27.800;33824.000;22.000
10.07.17;10:04:09 AM;4.45;95.330;27.830;33815.000;22.000
10.07.17;10:04:24 AM;4.70;95.240;27.840;33821.000;22.000
10.07.17;10:04:39 AM;4.95;95.320;27.830;33806.000;22.000
10.07.17;10:04:54 AM;5.20;95.110;27.850;33823.000;22.000
10.07.17;10:05:09 AM;5.45;95.460;27.810;33799.000;22.000
10.07.17;10:05:24 AM;5.70;95.650;27.790;33792.000;22.000
10.07.17;10:05:39 AM;5.95;95.640;27.790;33824.000;22.000
10.07.17;10:05:54 AM;6.20;95.360;27.820;33791.000;22.000
10.07.17;10:06:09 AM;6.45;95.480;27.810;33819.000;22.000
10.07.17;10:06:24 AM;6.70;95.530;27.800;33791.000;22.000
10.07.17;10:06:39 AM;6.95;95.630;27.790;33815.000;22.000
10.07.17;10:06:54 AM;7.20;95.350;27.820;33823.000;22.000
10.07.17;10:07:09 AM;7.45;95.710;27.780;33792.000;22.000
10.07.17;10:07:24 AM;7.70;95.210;27.840;33810.000;22.000
10.07.17;10:07:39 AM;7.95;95.620;27.790;33822.000;22.000
10.07.17;10:07:54 AM;8.20;95.320;27.830;33796.000;22.000
10.07.17;10:08:09 AM;8.45;95.330;27.830;33804.000;22.000
10.07.17;10:08:24 AM;8.70;95.300;27.830;33809.000;22.000
10.07.17;10:08:39 AM;8.95;95.320;27.830;33810.000;22.000
10.07.17;10:08:54 AM;9.20;95.330;27.830;33816.000;22.000
10.07.17;10:09:09 AM;9.45;95.380;27.820;33837.000;22.000
10.07.17;10:09:24 AM;9.70;95.760;27.780;33803.000;22.000
10.07.17;10:09:39 AM;9.95;95.710;27.780;33821.000;22.000
10.07.17;10:09:54 AM;10.20;95.460;27.810;33827.000;22.000
10.07.17;10:10:09 AM;10.45;95.380;27.820;33805.000;22.000
10.07.17;10:10:24 AM;10.70;95.530;27.800;33830.000;22.000
10.07.17;10:10:39 AM;10.95;95.110;27.850;33802.000;22.000
10.07.17;10:10:54 AM;11.20;95.470;27.810;33818.000;22.000
10.07.17;10:11:09 AM;11.45;95.390;27.820;33816.000;22.000
10.07.17;10:11:24 AM;11.70;95.720;27.780;33818.000;22.000
10.07.17;10:11:39 AM;11.95;95.730;27.780;33799.000;22.000
10.07.17;10:11:54 AM;12.20;95.720;27.780;33815.000;22.000
10.07.17;10:12:09 AM;12.45;95.450;27.810;33817.000;22.000
10.07.17;10:12:24 AM;12.70;95.530;27.800;33793.000;22.000
10.07.17;10:12:39 AM;12.95;95.720;27.780;33789.000;22.000
10.07.17;10:12:54 AM;13.20;95.350;27.820;33815.000;22.000
