10.07.17/10:13 AM SW ver:OXY10v3_33
Header Ch-4
Description: WWE2-22
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99855
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;10:13:35 AM;0.00;93.620;28.020;37566.000;22.000
10.07.17;10:13:36 AM;0.02;93.960;27.980;37541.000;22.000
10.07.17;10:13:44 AM;0.15;93.340;28.050;37586.000;22.000
10.07.17;10:13:59 AM;0.40;93.650;28.020;37577.000;22.000
10.07.17;10:14:14 AM;0.65;93.770;28.000;37577.000;22.000
10.07.17;10:14:29 AM;0.90;93.530;28.030;37609.000;22.000
10.07.17;10:14:44 AM;1.15;93.550;28.030;37594.000;22.000
10.07.17;10:14:59 AM;1.40;93.260;28.060;37595.000;22.000
10.07.17;10:15:14 AM;1.65;93.370;28.050;37579.000;22.000
10.07.17;10:15:29 AM;1.90;93.590;28.020;37618.000;22.000
10.07.17;10:15:44 AM;2.15;93.200;28.070;37621.000;22.000
10.07.17;10:15:59 AM;2.40;93.380;28.050;37635.000;22.000
10.07.17;10:16:14 AM;2.65;93.690;28.010;37628.000;22.000
10.07.17;10:16:29 AM;2.90;93.370;28.050;37644.000;22.000
10.07.17;10:16:44 AM;3.15;93.250;28.060;37664.000;22.000
10.07.17;10:16:59 AM;3.40;93.150;28.070;37645.000;22.000
10.07.17;10:17:14 AM;3.65;93.510;28.030;37669.000;22.000
10.07.17;10:17:29 AM;3.90;93.070;28.080;37698.000;22.000
10.07.17;10:17:44 AM;4.15;93.450;28.040;37698.000;22.000
10.07.17;10:17:59 AM;4.40;92.990;28.090;37709.000;22.000
10.07.17;10:18:14 AM;4.65;93.170;28.070;37727.000;22.000
10.07.17;10:18:29 AM;4.90;93.010;28.090;37726.000;22.000
10.07.17;10:18:44 AM;5.15;92.680;28.130;37751.000;22.000
10.07.17;10:18:59 AM;5.40;92.490;28.150;37762.000;22.000
10.07.17;10:19:14 AM;5.65;92.760;28.120;37803.000;22.000
10.07.17;10:19:29 AM;5.90;92.230;28.180;37813.000;22.000
10.07.17;10:19:44 AM;6.15;92.640;28.130;37797.000;22.000
10.07.17;10:19:59 AM;6.40;92.300;28.170;37810.000;22.000
10.07.17;10:20:14 AM;6.65;92.580;28.140;37829.000;22.000
10.07.17;10:20:29 AM;6.90;92.170;28.190;37838.000;22.000
10.07.17;10:20:44 AM;7.15;92.600;28.140;37885.000;22.000
10.07.17;10:20:59 AM;7.40;92.410;28.160;37871.000;22.000
10.07.17;10:21:14 AM;7.65;92.150;28.190;37885.000;22.000
10.07.17;10:21:29 AM;7.90;92.000;28.210;37892.000;22.000
10.07.17;10:21:44 AM;8.15;91.330;28.290;37858.000;22.000
10.07.17;10:21:59 AM;8.40;92.060;28.200;37915.000;22.000
10.07.17;10:22:14 AM;8.65;92.190;28.190;37925.000;22.000
10.07.17;10:22:29 AM;8.90;92.080;28.200;37941.000;22.000
10.07.17;10:22:44 AM;9.15;91.980;28.210;37932.000;22.000
10.07.17;10:22:59 AM;9.40;91.830;28.230;37920.000;22.000
10.07.17;10:23:14 AM;9.65;92.250;28.180;37942.000;22.000
10.07.17;10:23:29 AM;9.90;92.030;28.210;37964.000;22.000
10.07.17;10:23:44 AM;10.15;92.170;28.190;37952.000;22.000
10.07.17;10:23:59 AM;10.40;91.720;28.240;37991.000;22.000
10.07.17;10:24:14 AM;10.65;91.520;28.270;38028.000;22.000
10.07.17;10:24:29 AM;10.90;91.550;28.260;38055.000;22.000
10.07.17;10:24:44 AM;11.15;91.270;28.300;38070.000;22.000
10.07.17;10:24:59 AM;11.40;91.200;28.300;38088.000;22.000
