10.07.17/10:13 AM SW ver:OXY10v3_33
Header Ch-6
Description: TBF2-22
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102317
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;10:13:37 AM;0.00;96.660;27.680;36768.000;22.000
10.07.17;10:13:39 AM;0.02;95.880;27.760;36767.000;22.000
10.07.17;10:13:48 AM;0.18;95.400;27.820;36755.000;22.000
10.07.17;10:14:03 AM;0.42;96.190;27.730;36802.000;22.000
10.07.17;10:14:18 AM;0.67;96.610;27.680;36802.000;22.000
10.07.17;10:14:33 AM;0.92;96.040;27.750;36795.000;22.000
10.07.17;10:14:48 AM;1.18;95.640;27.790;36842.000;22.000
10.07.17;10:15:03 AM;1.42;96.280;27.720;36805.000;22.000
10.07.17;10:15:18 AM;1.67;95.990;27.750;36796.000;22.000
10.07.17;10:15:33 AM;1.93;95.960;27.750;36763.000;22.000
10.07.17;10:15:48 AM;2.18;96.050;27.740;36827.000;22.000
10.07.17;10:16:03 AM;2.42;96.690;27.670;36804.000;22.000
10.07.17;10:16:18 AM;2.67;96.250;27.720;36827.000;22.000
10.07.17;10:16:33 AM;2.93;95.810;27.770;36793.000;22.000
10.07.17;10:16:48 AM;3.17;96.350;27.710;36828.000;22.000
10.07.17;10:17:03 AM;3.42;96.120;27.740;36826.000;22.000
10.07.17;10:17:18 AM;3.67;96.430;27.700;36841.000;22.000
10.07.17;10:17:33 AM;3.93;96.110;27.740;36878.000;22.000
10.07.17;10:17:48 AM;4.18;95.960;27.760;36878.000;22.000
10.07.17;10:18:03 AM;4.43;95.810;27.770;36919.000;22.000
10.07.17;10:18:18 AM;4.68;95.380;27.820;36880.000;22.000
10.07.17;10:18:33 AM;4.93;95.880;27.760;36864.000;22.000
10.07.17;10:18:48 AM;5.17;95.670;27.790;36899.000;22.000
10.07.17;10:19:03 AM;5.42;95.380;27.820;36925.000;22.000
10.07.17;10:19:18 AM;5.68;94.650;27.900;36936.000;22.000
10.07.17;10:19:33 AM;5.92;94.730;27.890;36993.000;22.000
10.07.17;10:19:48 AM;6.18;94.760;27.890;36924.000;22.000
10.07.17;10:20:03 AM;6.43;95.460;27.810;36934.000;22.000
10.07.17;10:20:18 AM;6.68;94.190;27.950;36945.000;22.000
10.07.17;10:20:33 AM;6.92;94.820;27.880;37055.000;22.000
10.07.17;10:20:48 AM;7.17;94.960;27.870;36959.000;22.000
10.07.17;10:21:03 AM;7.43;94.680;27.900;37055.000;22.000
10.07.17;10:21:18 AM;7.68;94.750;27.890;36980.000;22.000
10.07.17;10:21:33 AM;7.92;94.130;27.960;37082.000;22.000
10.07.17;10:21:48 AM;8.17;94.840;27.880;37001.000;22.000
10.07.17;10:22:03 AM;8.42;94.870;27.880;37077.000;22.000
10.07.17;10:22:18 AM;8.68;95.100;27.850;37093.000;22.000
10.07.17;10:22:33 AM;8.92;94.290;27.940;37112.000;22.000
10.07.17;10:22:48 AM;9.17;94.120;27.960;37093.000;22.000
10.07.17;10:23:03 AM;9.42;94.570;27.910;37126.000;22.000
10.07.17;10:23:18 AM;9.67;94.460;27.920;37152.000;22.000
10.07.17;10:23:33 AM;9.93;93.910;27.990;37106.000;22.000
10.07.17;10:23:48 AM;10.18;94.160;27.960;37132.000;22.000
10.07.17;10:24:03 AM;10.42;93.920;27.990;37152.000;22.000
10.07.17;10:24:18 AM;10.68;93.760;28.000;37174.000;22.000
10.07.17;10:24:33 AM;10.92;94.120;27.960;37202.000;22.000
10.07.17;10:24:48 AM;11.18;94.030;27.970;37184.000;22.000
10.07.17;10:25:03 AM;11.42;93.830;28.000;37221.000;22.000
10.07.17;10:25:18 AM;11.67;94.460;27.920;37228.000;22.000
10.07.17;10:25:33 AM;11.92;94.090;27.970;37273.000;22.000
10.07.17;10:25:48 AM;12.17;94.240;27.950;37285.000;22.000
10.07.17;10:26:03 AM;12.42;93.600;28.020;37258.000;22.000
10.07.17;10:26:18 AM;12.67;93.640;28.020;37335.000;22.000
10.07.17;10:26:33 AM;12.92;93.740;28.010;37292.000;22.000
10.07.17;10:26:48 AM;13.17;92.980;28.090;37306.000;22.000
10.07.17;10:27:03 AM;13.42;93.130;28.080;37341.000;22.000
10.07.17;10:27:18 AM;13.67;93.190;28.070;37363.000;22.000
10.07.17;10:27:33 AM;13.93;93.330;28.050;37411.000;22.000
10.07.17;10:27:48 AM;14.17;92.830;28.110;37385.000;22.000
10.07.17;10:28:03 AM;14.42;92.760;28.120;37425.000;22.000
10.07.17;10:28:18 AM;14.68;93.100;28.080;37398.000;22.000
10.07.17;10:28:33 AM;14.92;92.780;28.120;37412.000;22.000
10.07.17;10:28:48 AM;15.18;93.030;28.090;37457.000;22.000
10.07.17;10:29:03 AM;15.43;92.450;28.160;37455.000;22.000
10.07.17;10:29:18 AM;15.67;92.680;28.130;37467.000;22.000
10.07.17;10:29:33 AM;15.93;92.790;28.120;37492.000;22.000
10.07.17;10:29:48 AM;16.18;92.970;28.100;37501.000;22.000
10.07.17;10:30:03 AM;16.43;93.000;28.090;37601.000;22.000
10.07.17;10:30:18 AM;16.68;91.960;28.210;37569.000;22.000
10.07.17;10:30:33 AM;16.92;92.120;28.190;37601.000;22.000
10.07.17;10:30:48 AM;17.17;91.790;28.230;37580.000;22.000
10.07.17;10:31:03 AM;17.42;91.780;28.230;37563.000;22.000
10.07.17;10:31:18 AM;17.67;92.070;28.200;37607.000;22.000
10.07.17;10:31:33 AM;17.92;91.730;28.240;37671.000;22.000
10.07.17;10:31:48 AM;18.17;91.750;28.240;37708.000;22.000
10.07.17;10:32:03 AM;18.42;91.420;28.280;37663.000;22.000
10.07.17;10:32:18 AM;18.68;91.270;28.300;37687.000;22.000
10.07.17;10:32:33 AM;18.92;91.730;28.240;37726.000;22.000
10.07.17;10:32:48 AM;19.18;90.820;28.350;37735.000;22.000
10.07.17;10:33:03 AM;19.43;92.000;28.210;37833.000;22.000
10.07.17;10:33:18 AM;19.67;91.490;28.270;37777.000;22.000
