10.07.17/12:25 PM SW ver:OXY10v3_33
Header Ch-3
Description: TWM1-26
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106371
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;12:25:31 PM;0.00;93.150;27.360;30712.000;26.000
10.07.17;12:25:46 PM;0.25;92.590;27.430;30712.000;26.000
10.07.17;12:26:01 PM;0.50;93.170;27.360;30713.000;26.000
10.07.17;12:26:16 PM;0.75;93.120;27.370;30722.000;26.000
10.07.17;12:26:31 PM;1.00;93.090;27.370;30716.000;26.000
10.07.17;12:26:46 PM;1.25;92.470;27.440;30693.000;26.000
10.07.17;12:27:01 PM;1.50;93.330;27.340;30756.000;26.000
10.07.17;12:27:16 PM;1.75;93.050;27.380;30712.000;26.000
10.07.17;12:27:31 PM;2.00;93.600;27.310;30758.000;26.000
10.07.17;12:27:46 PM;2.25;93.150;27.360;30758.000;26.000
10.07.17;12:28:01 PM;2.50;93.120;27.370;30719.000;26.000
10.07.17;12:28:16 PM;2.75;93.820;27.290;30730.000;26.000
10.07.17;12:28:31 PM;3.00;93.050;27.380;30792.000;26.000
10.07.17;12:28:46 PM;3.25;92.530;27.440;30783.000;26.000
10.07.17;12:29:01 PM;3.50;92.540;27.430;30781.000;26.000
10.07.17;12:29:16 PM;3.75;93.270;27.350;30771.000;26.000
10.07.17;12:29:31 PM;4.00;92.710;27.410;30745.000;26.000
10.07.17;12:29:46 PM;4.25;93.230;27.350;30792.000;26.000
10.07.17;12:30:01 PM;4.50;92.540;27.430;30812.000;26.000
10.07.17;12:30:16 PM;4.75;92.380;27.450;30829.000;26.000
10.07.17;12:30:31 PM;5.00;92.280;27.460;30823.000;26.000
10.07.17;12:30:46 PM;5.25;92.760;27.410;30819.000;26.000
10.07.17;12:31:01 PM;5.50;91.930;27.500;30831.000;26.000
10.07.17;12:31:16 PM;5.75;92.670;27.420;30837.000;26.000
10.07.17;12:31:31 PM;6.00;92.300;27.460;30827.000;26.000
10.07.17;12:31:46 PM;6.25;92.080;27.490;30811.000;26.000
10.07.17;12:32:01 PM;6.50;92.810;27.400;30887.000;26.000
10.07.17;12:32:16 PM;6.75;92.190;27.470;30887.000;26.000
10.07.17;12:32:31 PM;7.00;91.900;27.510;30886.000;26.000
10.07.17;12:32:46 PM;7.25;92.770;27.410;30872.000;26.000
10.07.17;12:33:01 PM;7.50;92.360;27.450;30898.000;26.000
10.07.17;12:33:16 PM;7.75;91.690;27.530;30890.000;26.000
10.07.17;12:33:31 PM;8.00;91.550;27.550;30956.000;26.000
