10.07.17/12:25 PM SW ver:OXY10v3_33
Header Ch-6
Description: TBF2-26
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102317
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;12:25:29 PM;0.00;95.810;27.070;35416.000;26.000
10.07.17;12:25:38 PM;0.14;95.450;27.110;35435.000;26.000
10.07.17;12:25:53 PM;0.39;94.460;27.220;35481.000;26.000
10.07.17;12:26:08 PM;0.64;95.860;27.060;35546.000;26.000
10.07.17;12:26:23 PM;0.89;95.150;27.140;35500.000;26.000
10.07.17;12:26:38 PM;1.14;95.530;27.100;35589.000;26.000
10.07.17;12:26:53 PM;1.39;94.560;27.200;35536.000;26.000
10.07.17;12:27:08 PM;1.64;94.440;27.220;35575.000;26.000
10.07.17;12:27:23 PM;1.89;94.040;27.260;35601.000;26.000
10.07.17;12:27:38 PM;2.14;95.050;27.150;35604.000;26.000
10.07.17;12:27:53 PM;2.39;94.130;27.250;35617.000;26.000
10.07.17;12:28:08 PM;2.64;95.190;27.130;35634.000;26.000
10.07.17;12:28:23 PM;2.89;94.660;27.190;35658.000;26.000
10.07.17;12:28:38 PM;3.14;94.810;27.180;35719.000;26.000
10.07.17;12:28:53 PM;3.39;93.910;27.280;35660.000;26.000
10.07.17;12:29:08 PM;3.64;94.980;27.160;35696.000;26.000
10.07.17;12:29:23 PM;3.89;94.210;27.240;35676.000;26.000
10.07.17;12:29:38 PM;4.14;94.190;27.250;35747.000;26.000
10.07.17;12:29:53 PM;4.39;93.780;27.290;35732.000;26.000
10.07.17;12:30:08 PM;4.64;93.880;27.280;35739.000;26.000
10.07.17;12:30:23 PM;4.89;94.500;27.210;35750.000;26.000
10.07.17;12:30:38 PM;5.14;94.260;27.240;35770.000;26.000
10.07.17;12:30:53 PM;5.39;93.870;27.280;35834.000;26.000
10.07.17;12:31:08 PM;5.64;93.750;27.300;35759.000;26.000
10.07.17;12:31:23 PM;5.89;93.400;27.340;35775.000;26.000
10.07.17;12:31:38 PM;6.14;92.530;27.440;35843.000;26.000
10.07.17;12:31:53 PM;6.39;93.080;27.370;35842.000;26.000
10.07.17;12:32:08 PM;6.64;94.380;27.230;35934.000;26.000
10.07.17;12:32:23 PM;6.89;93.330;27.340;35885.000;26.000
10.07.17;12:32:38 PM;7.14;93.620;27.310;35899.000;26.000
10.07.17;12:32:53 PM;7.39;92.880;27.400;35929.000;26.000
10.07.17;12:33:08 PM;7.64;92.280;27.460;35956.000;26.000
10.07.17;12:33:23 PM;7.89;92.840;27.400;35979.000;26.000
10.07.17;12:33:38 PM;8.14;92.490;27.440;36010.000;26.000
10.07.17;12:33:53 PM;8.39;93.440;27.330;35962.000;26.000
10.07.17;12:34:08 PM;8.64;92.690;27.420;35966.000;26.000
10.07.17;12:34:23 PM;8.89;92.530;27.440;36038.000;26.000
10.07.17;12:34:38 PM;9.14;92.380;27.450;36046.000;26.000
10.07.17;12:34:53 PM;9.39;92.370;27.450;36063.000;26.000
10.07.17;12:35:08 PM;9.64;91.900;27.510;36093.000;26.000
10.07.17;12:35:23 PM;9.89;92.480;27.440;36104.000;26.000
10.07.17;12:35:38 PM;10.14;91.350;27.570;36128.000;26.000
10.07.17;12:35:53 PM;10.39;91.770;27.520;36136.000;26.000
10.07.17;12:36:08 PM;10.64;91.410;27.560;36123.000;26.000
10.07.17;12:36:23 PM;10.89;91.750;27.530;36085.000;26.000
10.07.17;12:36:38 PM;11.14;90.900;27.620;36169.000;26.000
10.07.17;12:36:53 PM;11.39;91.670;27.530;36131.000;26.000
10.07.17;12:37:08 PM;11.64;91.700;27.530;36164.000;26.000
10.07.17;12:37:23 PM;11.89;92.340;27.460;36185.000;26.000
10.07.17;12:37:38 PM;12.14;92.220;27.470;36220.000;26.000
10.07.17;12:37:53 PM;12.39;91.160;27.590;36238.000;26.000
10.07.17;12:38:08 PM;12.64;91.640;27.540;36289.000;26.000
10.07.17;12:38:23 PM;12.89;90.930;27.620;36284.000;26.000
10.07.17;12:38:38 PM;13.14;91.790;27.520;36262.000;26.000
10.07.17;12:38:53 PM;13.39;90.970;27.620;36248.000;26.000
10.07.17;12:39:08 PM;13.64;91.180;27.590;36287.000;26.000
10.07.17;12:39:23 PM;13.89;90.540;27.670;36335.000;26.000
10.07.17;12:39:38 PM;14.14;91.580;27.540;36336.000;26.000
10.07.17;12:39:53 PM;14.39;91.440;27.560;36369.000;26.000
10.07.17;12:40:08 PM;14.64;91.560;27.550;36343.000;26.000
10.07.17;12:40:23 PM;14.89;90.670;27.650;36349.000;26.000
10.07.17;12:40:38 PM;15.14;90.650;27.650;36379.000;26.000
10.07.17;12:40:53 PM;15.39;91.110;27.600;36463.000;26.000
10.07.17;12:41:08 PM;15.64;90.210;27.710;36438.000;26.000
10.07.17;12:41:23 PM;15.89;90.670;27.650;36470.000;26.000
10.07.17;12:41:38 PM;16.14;90.350;27.690;36508.000;26.000
10.07.17;12:41:53 PM;16.39;90.090;27.720;36435.000;26.000
10.07.17;12:42:08 PM;16.64;91.580;27.540;36569.000;26.000
10.07.17;12:42:23 PM;16.89;90.850;27.630;36535.000;26.000
10.07.17;12:42:38 PM;17.14;89.000;27.850;36570.000;26.000
10.07.17;12:42:53 PM;17.39;88.990;27.850;36587.000;26.000
10.07.17;12:43:08 PM;17.64;89.750;27.760;36588.000;26.000
10.07.17;12:43:23 PM;17.89;90.480;27.670;36586.000;26.000
10.07.17;12:43:38 PM;18.14;90.120;27.720;36591.000;26.000
10.07.17;12:43:53 PM;18.39;89.380;27.800;36641.000;26.000
10.07.17;12:44:08 PM;18.64;90.370;27.690;36616.000;26.000
10.07.17;12:44:23 PM;18.89;89.960;27.740;36657.000;26.000
10.07.17;12:44:38 PM;19.14;89.290;27.820;36622.000;26.000
10.07.17;12:44:53 PM;19.39;89.190;27.830;36714.000;26.000
10.07.17;12:45:08 PM;19.64;89.190;27.830;36728.000;26.000
10.07.17;12:45:23 PM;19.89;89.130;27.840;36726.000;26.000
10.07.17;12:45:38 PM;20.14;89.040;27.850;36750.000;26.000
10.07.17;12:45:53 PM;20.39;89.530;27.790;36825.000;26.000
10.07.17;12:46:08 PM;20.64;89.790;27.760;36726.000;26.000
10.07.17;12:46:23 PM;20.89;88.850;27.870;36790.000;26.000
