10.07.17/12:25 PM SW ver:OXY10v3_33
Header Ch-7
Description: TBL4-26
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 98165
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;12:25:30 PM;0.00;93.750;27.300;31599.000;26.000
10.07.17;12:25:40 PM;0.16;92.890;27.390;31612.000;26.000
10.07.17;12:25:55 PM;0.41;93.490;27.330;31586.000;26.000
10.07.17;12:26:10 PM;0.66;93.750;27.300;31601.000;26.000
10.07.17;12:26:25 PM;0.91;92.880;27.390;31599.000;26.000
10.07.17;12:26:40 PM;1.16;93.070;27.370;31626.000;26.000
10.07.17;12:26:55 PM;1.41;92.900;27.390;31669.000;26.000
10.07.17;12:27:10 PM;1.66;93.000;27.380;31703.000;26.000
10.07.17;12:27:25 PM;1.91;92.930;27.390;31683.000;26.000
10.07.17;12:27:40 PM;2.16;92.460;27.440;31653.000;26.000
10.07.17;12:27:55 PM;2.41;92.800;27.400;31663.000;26.000
10.07.17;12:28:10 PM;2.66;92.670;27.420;31733.000;26.000
10.07.17;12:28:25 PM;2.91;92.170;27.480;31727.000;26.000
10.07.17;12:28:40 PM;3.16;92.390;27.450;31711.000;26.000
10.07.17;12:28:55 PM;3.41;92.470;27.440;31770.000;26.000
10.07.17;12:29:10 PM;3.66;92.830;27.400;31789.000;26.000
10.07.17;12:29:25 PM;3.91;92.230;27.470;31766.000;26.000
10.07.17;12:29:40 PM;4.16;92.400;27.450;31783.000;26.000
10.07.17;12:29:55 PM;4.41;92.120;27.480;31805.000;26.000
10.07.17;12:30:10 PM;4.66;91.780;27.520;31826.000;26.000
10.07.17;12:30:25 PM;4.91;91.540;27.550;31816.000;26.000
10.07.17;12:30:40 PM;5.16;92.130;27.480;31839.000;26.000
10.07.17;12:30:55 PM;5.41;92.020;27.490;31870.000;26.000
10.07.17;12:31:10 PM;5.66;91.890;27.510;31823.000;26.000
10.07.17;12:31:25 PM;5.91;91.950;27.500;31901.000;26.000
10.07.17;12:31:40 PM;6.16;91.970;27.500;31861.000;26.000
10.07.17;12:31:55 PM;6.41;91.880;27.510;31917.000;26.000
10.07.17;12:32:10 PM;6.66;92.140;27.480;31893.000;26.000
10.07.17;12:32:25 PM;6.91;91.640;27.540;31895.000;26.000
10.07.17;12:32:40 PM;7.16;91.790;27.520;31916.000;26.000
10.07.17;12:32:55 PM;7.41;91.370;27.570;31931.000;26.000
10.07.17;12:33:10 PM;7.66;91.290;27.580;31962.000;26.000
10.07.17;12:33:25 PM;7.91;91.820;27.520;31941.000;26.000
10.07.17;12:33:40 PM;8.16;91.690;27.530;31975.000;26.000
10.07.17;12:33:55 PM;8.41;90.880;27.630;31956.000;26.000
10.07.17;12:34:10 PM;8.66;90.960;27.620;31962.000;26.000
10.07.17;12:34:25 PM;8.91;91.270;27.580;31979.000;26.000
10.07.17;12:34:40 PM;9.16;91.520;27.550;31987.000;26.000
10.07.17;12:34:55 PM;9.41;90.940;27.620;32031.000;26.000
10.07.17;12:35:10 PM;9.66;90.780;27.640;32037.000;26.000
10.07.17;12:35:25 PM;9.91;90.700;27.650;32065.000;26.000
