10.07.17/11:51 AM SW ver:OXY10v3_33
Header Ch-6
Description: TBF2-26
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102317
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;11:51:46 AM;0.00;95.940;27.050;35281.000;26.000
10.07.17;11:51:53 AM;0.12;95.830;27.060;35285.000;26.000
10.07.17;11:52:08 AM;0.37;95.920;27.050;35271.000;26.000
10.07.17;11:52:23 AM;0.62;97.130;26.920;35283.000;26.000
10.07.17;11:52:38 AM;0.87;96.040;27.040;35299.000;26.000
10.07.17;11:52:53 AM;1.12;96.190;27.020;35317.000;26.000
10.07.17;11:53:08 AM;1.37;95.750;27.070;35332.000;26.000
10.07.17;11:53:23 AM;1.62;96.300;27.010;35354.000;26.000
10.07.17;11:53:38 AM;1.87;96.610;26.980;35396.000;26.000
10.07.17;11:53:53 AM;2.12;95.800;27.070;35342.000;26.000
10.07.17;11:54:08 AM;2.37;96.220;27.020;35382.000;26.000
10.07.17;11:54:23 AM;2.62;95.800;27.070;35357.000;26.000
10.07.17;11:54:38 AM;2.87;95.620;27.090;35411.000;26.000
10.07.17;11:54:53 AM;3.12;95.530;27.100;35430.000;26.000
