10.07.17/11:51 AM SW ver:OXY10v3_33
Header Ch-7
Description: TBL4-26
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 98165
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;11:51:47 AM;0.00;94.320;27.230;31284.000;26.000
10.07.17;11:51:55 AM;0.13;93.970;27.270;31280.000;26.000
10.07.17;11:52:10 AM;0.38;93.930;27.280;31311.000;26.000
10.07.17;11:52:25 AM;0.63;93.620;27.310;31339.000;26.000
10.07.17;11:52:40 AM;0.88;93.500;27.320;31318.000;26.000
10.07.17;11:52:55 AM;1.13;94.000;27.270;31360.000;26.000
10.07.17;11:53:10 AM;1.38;94.160;27.250;31350.000;26.000
10.07.17;11:53:25 AM;1.63;93.970;27.270;31372.000;26.000
10.07.17;11:53:40 AM;1.88;94.060;27.260;31374.000;26.000
10.07.17;11:53:55 AM;2.13;93.650;27.310;31408.000;26.000
10.07.17;11:54:10 AM;2.38;93.090;27.370;31413.000;26.000
10.07.17;11:54:25 AM;2.63;93.160;27.360;31444.000;26.000
10.07.17;11:54:40 AM;2.88;94.010;27.270;31429.000;26.000
10.07.17;11:54:55 AM;3.13;93.330;27.340;31445.000;26.000
10.07.17;11:55:10 AM;3.38;92.830;27.400;31436.000;26.000
10.07.17;11:55:25 AM;3.63;93.460;27.330;31440.000;26.000
10.07.17;11:55:40 AM;3.88;93.080;27.370;31443.000;26.000
10.07.17;11:55:55 AM;4.13;92.920;27.390;31449.000;26.000
10.07.17;11:56:10 AM;4.38;92.600;27.430;31481.000;26.000
10.07.17;11:56:25 AM;4.63;93.040;27.380;31492.000;26.000
10.07.17;11:56:40 AM;4.88;92.700;27.420;31517.000;26.000
10.07.17;11:56:55 AM;5.13;92.950;27.390;31526.000;26.000
10.07.17;11:57:10 AM;5.38;92.720;27.410;31551.000;26.000
10.07.17;11:57:25 AM;5.63;92.760;27.410;31552.000;26.000
10.07.17;11:57:40 AM;5.88;92.400;27.450;31563.000;26.000
10.07.17;11:57:55 AM;6.13;93.060;27.370;31584.000;26.000
10.07.17;11:58:10 AM;6.38;92.620;27.420;31607.000;26.000
10.07.17;11:58:25 AM;6.63;92.480;27.440;31616.000;26.000
10.07.17;11:58:40 AM;6.88;92.030;27.490;31633.000;26.000
10.07.17;11:58:55 AM;7.13;91.990;27.500;31666.000;26.000
10.07.17;11:59:10 AM;7.38;92.310;27.460;31668.000;26.000
10.07.17;11:59:25 AM;7.63;92.360;27.450;31698.000;26.000
10.07.17;11:59:40 AM;7.88;91.840;27.510;31706.000;26.000
10.07.17;11:59:55 AM;8.13;91.400;27.570;31729.000;26.000
10.07.17;12:00:10 PM;8.38;91.280;27.580;31740.000;26.000
10.07.17;12:00:25 PM;8.63;91.160;27.590;31786.000;26.000
10.07.17;12:00:40 PM;8.88;91.460;27.560;31801.000;26.000
10.07.17;12:00:55 PM;9.13;91.220;27.590;31811.000;26.000
10.07.17;12:01:10 PM;9.38;90.930;27.620;31818.000;26.000
10.07.17;12:01:25 PM;9.63;90.500;27.670;31870.000;26.000
10.07.17;12:01:40 PM;9.88;90.540;27.670;31885.000;26.000
10.07.17;12:01:55 PM;10.13;90.690;27.650;31898.000;26.000
10.07.17;12:02:10 PM;10.38;90.940;27.620;31897.000;26.000
10.07.17;12:02:25 PM;10.63;90.600;27.660;31913.000;26.000
10.07.17;12:02:40 PM;10.88;90.480;27.670;31967.000;26.000
10.07.17;12:02:55 PM;11.13;90.400;27.680;31973.000;26.000
10.07.17;12:03:10 PM;11.38;90.190;27.710;32007.000;26.000
10.07.17;12:03:25 PM;11.63;90.010;27.730;32024.000;26.000
10.07.17;12:03:40 PM;11.88;89.980;27.730;32008.000;26.000
10.07.17;12:03:55 PM;12.13;89.620;27.780;32069.000;26.000
10.07.17;12:04:10 PM;12.38;89.720;27.760;32072.000;26.000
10.07.17;12:04:25 PM;12.63;89.760;27.760;32125.000;26.000
10.07.17;12:04:40 PM;12.88;89.700;27.770;32122.000;26.000
10.07.17;12:04:55 PM;13.13;89.550;27.780;32132.000;26.000
10.07.17;12:05:10 PM;13.38;89.250;27.820;32171.000;26.000
10.07.17;12:05:25 PM;13.63;89.260;27.820;32160.000;26.000
10.07.17;12:05:40 PM;13.88;88.860;27.870;32210.000;26.000
10.07.17;12:05:55 PM;14.13;89.170;27.830;32204.000;26.000
10.07.17;12:06:10 PM;14.38;88.710;27.890;32245.000;26.000
10.07.17;12:06:25 PM;14.63;88.850;27.870;32284.000;26.000
10.07.17;12:06:40 PM;14.88;88.340;27.930;32280.000;26.000
10.07.17;12:06:55 PM;15.13;88.470;27.920;32277.000;26.000
10.07.17;12:07:10 PM;15.38;88.530;27.910;32305.000;26.000
10.07.17;12:07:25 PM;15.63;88.360;27.930;32323.000;26.000
10.07.17;12:07:40 PM;15.88;88.180;27.950;32363.000;26.000
10.07.17;12:07:55 PM;16.13;88.200;27.950;32436.000;26.000
10.07.17;12:08:10 PM;16.38;87.480;28.040;32421.000;26.000
10.07.17;12:08:25 PM;16.63;87.700;28.010;32454.000;26.000
10.07.17;12:08:40 PM;16.88;87.310;28.060;32499.000;26.000
10.07.17;12:08:55 PM;17.13;87.220;28.070;32516.000;26.000
10.07.17;12:09:10 PM;17.38;87.420;28.040;32555.000;26.000
10.07.17;12:09:25 PM;17.63;87.360;28.050;32574.000;26.000
10.07.17;12:09:40 PM;17.88;86.560;28.150;32616.000;26.000
10.07.17;12:09:55 PM;18.13;86.980;28.100;32656.000;26.000
10.07.17;12:10:10 PM;18.38;87.310;28.060;32695.000;26.000
10.07.17;12:10:25 PM;18.63;86.850;28.110;32733.000;26.000
10.07.17;12:10:40 PM;18.88;86.050;28.210;32730.000;26.000
10.07.17;12:10:55 PM;19.13;86.270;28.190;32746.000;26.000
