10.07.17/2:06 PM SW ver:OXY10v3_33
Header Ch-5
Description: TWI1-29
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105321
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;2:06:38 PM;0.00;92.160;26.960;43250.000;29.000
10.07.17;2:06:45 PM;0.13;92.110;26.970;43281.000;29.000
10.07.17;2:07:00 PM;0.38;92.130;26.970;43292.000;29.000
10.07.17;2:07:15 PM;0.63;92.170;26.960;43356.000;29.000
10.07.17;2:07:30 PM;0.88;92.270;26.950;43394.000;29.000
10.07.17;2:07:45 PM;1.13;92.080;26.970;43438.000;29.000
10.07.17;2:08:00 PM;1.38;91.450;27.040;43472.000;29.000
10.07.17;2:08:15 PM;1.63;91.490;27.040;43492.000;29.000
10.07.17;2:08:30 PM;1.88;91.810;27.000;43457.000;29.000
10.07.17;2:08:45 PM;2.13;91.310;27.060;43500.000;29.000
10.07.17;2:09:00 PM;2.38;91.190;27.070;43574.000;29.000
10.07.17;2:09:15 PM;2.63;91.790;27.000;43588.000;29.000
10.07.17;2:09:30 PM;2.88;91.160;27.080;43611.000;29.000
10.07.17;2:09:45 PM;3.13;90.790;27.120;43646.000;29.000
10.07.17;2:10:00 PM;3.38;91.360;27.050;43647.000;29.000
10.07.17;2:10:15 PM;3.63;90.810;27.120;43700.000;29.000
10.07.17;2:10:30 PM;3.88;90.400;27.160;43717.000;29.000
10.07.17;2:10:45 PM;4.13;90.450;27.160;43754.000;29.000
10.07.17;2:11:00 PM;4.38;90.530;27.150;43766.000;29.000
10.07.17;2:11:15 PM;4.63;90.100;27.200;43772.000;29.000
10.07.17;2:11:30 PM;4.88;90.500;27.150;43860.000;29.000
10.07.17;2:11:45 PM;5.13;90.650;27.140;43866.000;29.000
10.07.17;2:12:00 PM;5.38;90.220;27.190;43879.000;29.000
10.07.17;2:12:15 PM;5.63;89.860;27.230;43920.000;29.000
10.07.17;2:12:30 PM;5.88;90.220;27.190;43965.000;29.000
10.07.17;2:12:45 PM;6.13;90.240;27.180;44013.000;29.000
10.07.17;2:13:00 PM;6.38;89.460;27.280;43994.000;29.000
10.07.17;2:13:15 PM;6.63;90.160;27.190;44033.000;29.000
10.07.17;2:13:30 PM;6.88;89.250;27.300;44055.000;29.000
10.07.17;2:13:45 PM;7.13;89.440;27.280;44101.000;29.000
10.07.17;2:14:00 PM;7.38;89.500;27.270;44144.000;29.000
10.07.17;2:14:15 PM;7.63;88.910;27.340;44177.000;29.000
10.07.17;2:14:30 PM;7.88;88.990;27.330;44233.000;29.000
10.07.17;2:14:45 PM;8.13;89.010;27.330;44218.000;29.000
10.07.17;2:15:00 PM;8.38;89.130;27.310;44251.000;29.000
10.07.17;2:15:15 PM;8.63;89.170;27.310;44212.000;29.000
10.07.17;2:15:30 PM;8.88;88.730;27.360;44309.000;29.000
10.07.17;2:15:45 PM;9.13;88.250;27.420;44317.000;29.000
10.07.17;2:16:00 PM;9.38;88.160;27.430;44382.000;29.000
10.07.17;2:16:15 PM;9.63;88.020;27.450;44381.000;29.000
10.07.17;2:16:30 PM;9.88;87.810;27.470;44414.000;29.000
10.07.17;2:16:45 PM;10.13;88.130;27.430;44488.000;29.000
10.07.17;2:17:00 PM;10.38;88.140;27.430;44509.000;29.000
10.07.17;2:17:15 PM;10.63;87.720;27.480;44531.000;29.000
10.07.17;2:17:30 PM;10.88;88.010;27.450;44515.000;29.000
10.07.17;2:17:45 PM;11.13;88.130;27.430;44599.000;29.000
10.07.17;2:18:00 PM;11.38;87.490;27.510;44594.000;29.000
10.07.17;2:18:15 PM;11.63;87.600;27.500;44646.000;29.000
10.07.17;2:18:30 PM;11.88;87.010;27.570;44636.000;29.000
10.07.17;2:18:45 PM;12.13;87.410;27.520;44645.000;29.000
10.07.17;2:19:00 PM;12.38;87.420;27.520;44685.000;29.000
10.07.17;2:19:15 PM;12.63;87.350;27.530;44753.000;29.000
10.07.17;2:19:30 PM;12.88;86.750;27.600;44748.000;29.000
10.07.17;2:19:45 PM;13.13;86.610;27.620;44765.000;29.000
10.07.17;2:20:00 PM;13.38;86.750;27.600;44817.000;29.000
10.07.17;2:20:15 PM;13.63;86.270;27.660;44848.000;29.000
10.07.17;2:20:30 PM;13.88;86.300;27.660;44831.000;29.000
10.07.17;2:20:45 PM;14.13;86.190;27.670;44916.000;29.000
10.07.17;2:21:00 PM;14.38;86.170;27.670;44956.000;29.000
10.07.17;2:21:15 PM;14.63;86.220;27.670;44922.000;29.000
10.07.17;2:21:30 PM;14.88;86.070;27.690;45007.000;29.000
10.07.17;2:21:45 PM;15.13;85.650;27.740;44980.000;29.000
10.07.17;2:22:00 PM;15.38;85.770;27.720;45091.000;29.000
10.07.17;2:22:15 PM;15.63;85.980;27.700;45087.000;29.000
10.07.17;2:22:30 PM;15.88;85.690;27.730;45159.000;29.000
10.07.17;2:22:45 PM;16.13;85.620;27.740;45165.000;29.000
10.07.17;2:23:00 PM;16.38;85.080;27.810;45219.000;29.000
10.07.17;2:23:15 PM;16.63;85.300;27.780;45244.000;29.000
10.07.17;2:23:30 PM;16.88;85.300;27.780;45230.000;29.000
10.07.17;2:23:45 PM;17.13;85.310;27.780;45313.000;29.000
10.07.17;2:24:00 PM;17.38;84.470;27.890;45336.000;29.000
10.07.17;2:24:15 PM;17.63;84.790;27.850;45381.000;29.000
10.07.17;2:24:30 PM;17.88;84.950;27.830;45373.000;29.000
10.07.17;2:24:45 PM;18.13;84.380;27.900;45424.000;29.000
10.07.17;2:25:00 PM;18.38;84.920;27.830;45456.000;29.000
10.07.17;2:25:15 PM;18.63;84.340;27.900;45497.000;29.000
10.07.17;2:25:30 PM;18.88;84.170;27.930;45459.000;29.000
10.07.17;2:25:45 PM;19.13;84.240;27.920;45495.000;29.000
10.07.17;2:26:00 PM;19.38;84.150;27.930;45570.000;29.000
10.07.17;2:26:15 PM;19.63;83.920;27.960;45579.000;29.000
10.07.17;2:26:30 PM;19.88;83.710;27.980;45620.000;29.000
10.07.17;2:26:45 PM;20.13;83.540;28.010;45638.000;29.000
10.07.17;2:27:00 PM;20.38;83.540;28.010;45671.000;29.000
10.07.17;2:27:15 PM;20.63;83.930;27.960;45646.000;29.000
10.07.17;2:27:30 PM;20.88;82.970;28.080;45710.000;29.000
