10.07.17/1:32 PM SW ver:OXY10v3_33
Header Ch-3
Description: TWM1-29
IDENTIFICATION
PHIboard number   : v1231475
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 03

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 106371
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 030000
100.00%a.s.phase 2: 27.68 at 020.0°C amp 033000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;1:32:23 PM;0.00;93.920;26.760;29791.000;29.000
10.07.17;1:32:27 PM;0.06;93.990;26.760;29787.000;29.000
10.07.17;1:32:42 PM;0.31;93.880;26.770;29820.000;29.000
10.07.17;1:32:57 PM;0.56;94.140;26.740;29803.000;29.000
10.07.17;1:33:12 PM;0.81;93.910;26.760;29822.000;29.000
10.07.17;1:33:27 PM;1.06;93.780;26.780;29839.000;29.000
10.07.17;1:33:42 PM;1.31;93.970;26.760;29827.000;29.000
10.07.17;1:33:57 PM;1.56;94.010;26.750;29829.000;29.000
10.07.17;1:34:12 PM;1.81;94.130;26.740;29866.000;29.000
10.07.17;1:34:27 PM;2.06;93.540;26.810;29864.000;29.000
10.07.17;1:34:42 PM;2.31;93.650;26.790;29890.000;29.000
10.07.17;1:34:57 PM;2.56;93.330;26.830;29851.000;29.000
10.07.17;1:35:12 PM;2.81;93.780;26.780;29917.000;29.000
10.07.17;1:35:27 PM;3.06;93.500;26.810;29869.000;29.000
10.07.17;1:35:42 PM;3.31;93.380;26.820;29936.000;29.000
10.07.17;1:35:57 PM;3.56;93.510;26.810;29922.000;29.000
10.07.17;1:36:12 PM;3.81;93.290;26.830;29958.000;29.000
10.07.17;1:36:27 PM;4.06;93.150;26.850;29958.000;29.000
10.07.17;1:36:42 PM;4.31;93.410;26.820;29967.000;29.000
10.07.17;1:36:57 PM;4.56;93.160;26.850;29989.000;29.000
10.07.17;1:37:12 PM;4.81;92.820;26.890;30006.000;29.000
10.07.17;1:37:27 PM;5.06;93.030;26.860;30025.000;29.000
10.07.17;1:37:42 PM;5.31;92.690;26.900;30060.000;29.000
10.07.17;1:37:57 PM;5.56;92.660;26.900;30055.000;29.000
10.07.17;1:38:12 PM;5.81;92.090;26.970;30093.000;29.000
10.07.17;1:38:27 PM;6.06;92.590;26.910;30069.000;29.000
10.07.17;1:38:42 PM;6.31;92.310;26.940;30124.000;29.000
10.07.17;1:38:57 PM;6.56;92.660;26.900;30139.000;29.000
10.07.17;1:39:12 PM;6.81;91.970;26.980;30186.000;29.000
10.07.17;1:39:27 PM;7.06;92.070;26.970;30205.000;29.000
10.07.17;1:39:42 PM;7.31;92.040;26.980;30224.000;29.000
10.07.17;1:39:57 PM;7.56;91.440;27.040;30261.000;29.000
10.07.17;1:40:12 PM;7.81;91.380;27.050;30253.000;29.000
10.07.17;1:40:27 PM;8.06;91.160;27.080;30287.000;29.000
10.07.17;1:40:42 PM;8.31;90.880;27.110;30318.000;29.000
10.07.17;1:40:57 PM;8.56;90.880;27.110;30382.000;29.000
10.07.17;1:41:12 PM;8.81;90.940;27.100;30388.000;29.000
10.07.17;1:41:27 PM;9.06;90.730;27.130;30445.000;29.000
10.07.17;1:41:42 PM;9.31;90.160;27.190;30455.000;29.000
10.07.17;1:41:57 PM;9.56;90.150;27.190;30486.000;29.000
10.07.17;1:42:12 PM;9.81;90.200;27.190;30517.000;29.000
10.07.17;1:42:27 PM;10.06;90.220;27.190;30552.000;29.000
10.07.17;1:42:42 PM;10.31;89.930;27.220;30585.000;29.000
10.07.17;1:42:57 PM;10.56;89.360;27.290;30614.000;29.000
10.07.17;1:43:12 PM;10.81;89.220;27.300;30636.000;29.000
10.07.17;1:43:27 PM;11.06;89.570;27.260;30654.000;29.000
10.07.17;1:43:42 PM;11.31;89.110;27.320;30682.000;29.000
10.07.17;1:43:57 PM;11.56;89.050;27.320;30708.000;29.000
10.07.17;1:44:12 PM;11.81;88.830;27.350;30751.000;29.000
10.07.17;1:44:27 PM;12.06;88.820;27.350;30777.000;29.000
10.07.17;1:44:42 PM;12.31;88.690;27.370;30778.000;29.000
10.07.17;1:44:57 PM;12.56;88.130;27.430;30804.000;29.000
10.07.17;1:45:12 PM;12.81;88.600;27.380;30844.000;29.000
10.07.17;1:45:27 PM;13.06;88.200;27.430;30881.000;29.000
10.07.17;1:45:42 PM;13.31;87.770;27.480;30909.000;29.000
10.07.17;1:45:57 PM;13.56;87.590;27.500;30956.000;29.000
10.07.17;1:46:12 PM;13.81;87.610;27.500;30966.000;29.000
10.07.17;1:46:27 PM;14.06;87.590;27.500;30993.000;29.000
10.07.17;1:46:42 PM;14.31;87.470;27.510;31018.000;29.000
10.07.17;1:46:57 PM;14.56;87.460;27.520;31058.000;29.000
10.07.17;1:47:12 PM;14.81;87.150;27.550;31060.000;29.000
10.07.17;1:47:27 PM;15.06;87.340;27.530;31090.000;29.000
10.07.17;1:47:42 PM;15.31;86.950;27.580;31109.000;29.000
10.07.17;1:47:57 PM;15.56;86.750;27.600;31151.000;29.000
10.07.17;1:48:12 PM;15.81;86.680;27.610;31168.000;29.000
10.07.17;1:48:27 PM;16.06;85.990;27.700;31188.000;29.000
10.07.17;1:48:42 PM;16.31;86.430;27.640;31231.000;29.000
10.07.17;1:48:57 PM;16.56;86.050;27.690;31278.000;29.000
10.07.17;1:49:12 PM;16.81;85.610;27.740;31285.000;29.000
10.07.17;1:49:27 PM;17.06;86.050;27.690;31331.000;29.000
10.07.17;1:49:42 PM;17.31;85.950;27.700;31323.000;29.000
10.07.17;1:49:57 PM;17.56;85.650;27.740;31348.000;29.000
10.07.17;1:50:12 PM;17.81;85.320;27.780;31358.000;29.000
10.07.17;1:50:27 PM;18.06;85.640;27.740;31382.000;29.000
10.07.17;1:50:42 PM;18.31;85.660;27.740;31401.000;29.000
10.07.17;1:50:57 PM;18.56;85.140;27.800;31465.000;29.000
10.07.17;1:51:12 PM;18.81;85.210;27.790;31470.000;29.000
10.07.17;1:51:27 PM;19.06;84.990;27.820;31509.000;29.000
10.07.17;1:51:42 PM;19.31;85.020;27.820;31514.000;29.000
10.07.17;1:51:57 PM;19.56;84.550;27.880;31561.000;29.000
10.07.17;1:52:12 PM;19.81;84.300;27.910;31590.000;29.000
10.07.17;1:52:27 PM;20.06;84.170;27.930;31611.000;29.000
