10.07.17/1:32 PM SW ver:OXY10v3_33
Header Ch-5
Description: TWI1-29
IDENTIFICATION
PHIboard number   : v1231477
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 05

PARAMETERS
Signal LED current: 050
Ref LED current   : 078
Ref LED amplitude : 105321
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 035900
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037600
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;1:32:24 PM;0.00;92.760;26.890;43280.000;29.000
10.07.17;1:32:30 PM;0.10;92.940;26.870;43310.000;29.000
10.07.17;1:32:45 PM;0.35;92.600;26.910;43313.000;29.000
10.07.17;1:33:00 PM;0.60;92.890;26.880;43341.000;29.000
10.07.17;1:33:15 PM;0.85;92.130;26.970;43348.000;29.000
10.07.17;1:33:30 PM;1.10;92.400;26.930;43393.000;29.000
10.07.17;1:33:45 PM;1.35;92.690;26.900;43413.000;29.000
10.07.17;1:34:00 PM;1.60;92.350;26.940;43438.000;29.000
10.07.17;1:34:15 PM;1.85;92.170;26.960;43460.000;29.000
10.07.17;1:34:30 PM;2.10;91.960;26.980;43495.000;29.000
10.07.17;1:34:45 PM;2.35;91.940;26.990;43514.000;29.000
10.07.17;1:35:00 PM;2.60;91.890;26.990;43537.000;29.000
10.07.17;1:35:15 PM;2.85;91.570;27.030;43540.000;29.000
10.07.17;1:35:30 PM;3.10;91.370;27.050;43563.000;29.000
10.07.17;1:35:45 PM;3.35;91.180;27.070;43607.000;29.000
10.07.17;1:36:00 PM;3.60;91.450;27.040;43655.000;29.000
10.07.17;1:36:15 PM;3.85;91.390;27.050;43668.000;29.000
10.07.17;1:36:30 PM;4.10;91.040;27.090;43701.000;29.000
10.07.17;1:36:45 PM;4.35;90.960;27.100;43742.000;29.000
10.07.17;1:37:00 PM;4.60;90.900;27.110;43800.000;29.000
10.07.17;1:37:15 PM;4.85;91.030;27.090;43817.000;29.000
10.07.17;1:37:30 PM;5.10;90.570;27.140;43831.000;29.000
10.07.17;1:37:45 PM;5.35;90.400;27.160;43890.000;29.000
10.07.17;1:38:00 PM;5.60;90.320;27.170;43918.000;29.000
10.07.17;1:38:15 PM;5.85;90.110;27.200;43928.000;29.000
10.07.17;1:38:30 PM;6.10;90.110;27.200;43967.000;29.000
10.07.17;1:38:45 PM;6.35;90.050;27.210;43996.000;29.000
10.07.17;1:39:00 PM;6.60;89.920;27.220;44016.000;29.000
10.07.17;1:39:15 PM;6.85;89.740;27.240;44064.000;29.000
10.07.17;1:39:30 PM;7.10;89.720;27.240;44132.000;29.000
10.07.17;1:39:45 PM;7.35;89.290;27.300;44137.000;29.000
10.07.17;1:40:00 PM;7.60;89.240;27.300;44176.000;29.000
10.07.17;1:40:15 PM;7.85;88.960;27.340;44200.000;29.000
10.07.17;1:40:30 PM;8.10;89.380;27.280;44236.000;29.000
10.07.17;1:40:45 PM;8.35;88.920;27.340;44287.000;29.000
10.07.17;1:41:00 PM;8.60;88.740;27.360;44318.000;29.000
10.07.17;1:41:15 PM;8.85;88.600;27.380;44369.000;29.000
10.07.17;1:41:30 PM;9.10;88.510;27.390;44412.000;29.000
