10.07.17/1:32 PM SW ver:OXY10v3_33
Header Ch-6
Description: TBF2-29
IDENTIFICATION
PHIboard number   : v1231478
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 06

PARAMETERS
Signal LED current: 050
Ref LED current   : 073
Ref LED amplitude : 102317
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 041100
100.00%a.s.phase 2: 27.68 at 020.0°C amp 030100
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;1:32:26 PM;0.00;96.480;26.480;34459.000;29.000
10.07.17;1:32:32 PM;0.11;95.850;26.550;34449.000;29.000
10.07.17;1:32:47 PM;0.36;95.990;26.540;34436.000;29.000
10.07.17;1:33:02 PM;0.61;96.140;26.520;34465.000;29.000
10.07.17;1:33:17 PM;0.86;94.970;26.650;34455.000;29.000
10.07.17;1:33:32 PM;1.11;96.050;26.530;34507.000;29.000
10.07.17;1:33:47 PM;1.36;95.360;26.600;34511.000;29.000
10.07.17;1:34:02 PM;1.61;95.660;26.570;34564.000;29.000
10.07.17;1:34:17 PM;1.86;95.090;26.630;34563.000;29.000
10.07.17;1:34:32 PM;2.11;94.940;26.650;34523.000;29.000
10.07.17;1:34:47 PM;2.36;95.070;26.640;34587.000;29.000
10.07.17;1:35:02 PM;2.61;95.290;26.610;34574.000;29.000
10.07.17;1:35:17 PM;2.86;95.360;26.600;34649.000;29.000
10.07.17;1:35:32 PM;3.11;94.810;26.660;34640.000;29.000
10.07.17;1:35:47 PM;3.36;95.070;26.640;34670.000;29.000
10.07.17;1:36:02 PM;3.61;94.040;26.750;34695.000;29.000
10.07.17;1:36:17 PM;3.86;94.750;26.670;34648.000;29.000
10.07.17;1:36:32 PM;4.11;94.160;26.740;34735.000;29.000
10.07.17;1:36:47 PM;4.36;94.150;26.740;34795.000;29.000
10.07.17;1:37:02 PM;4.61;94.050;26.750;34757.000;29.000
10.07.17;1:37:17 PM;4.86;93.500;26.810;34811.000;29.000
10.07.17;1:37:32 PM;5.11;94.770;26.670;34831.000;29.000
10.07.17;1:37:47 PM;5.36;93.640;26.790;34877.000;29.000
10.07.17;1:38:02 PM;5.61;93.320;26.830;34873.000;29.000
10.07.17;1:38:17 PM;5.86;93.690;26.790;34946.000;29.000
10.07.17;1:38:32 PM;6.11;93.790;26.780;34963.000;29.000
10.07.17;1:38:47 PM;6.36;93.310;26.830;34972.000;29.000
10.07.17;1:39:02 PM;6.61;92.640;26.910;34990.000;29.000
10.07.17;1:39:17 PM;6.86;92.880;26.880;35016.000;29.000
10.07.17;1:39:32 PM;7.11;92.590;26.910;35039.000;29.000
10.07.17;1:39:47 PM;7.36;93.030;26.860;35077.000;29.000
10.07.17;1:40:02 PM;7.61;92.920;26.880;35061.000;29.000
10.07.17;1:40:17 PM;7.86;92.400;26.930;35147.000;29.000
10.07.17;1:40:32 PM;8.11;91.820;27.000;35169.000;29.000
10.07.17;1:40:47 PM;8.36;91.150;27.080;35181.000;29.000
10.07.17;1:41:02 PM;8.61;91.460;27.040;35200.000;29.000
