10.07.17/1:32 PM SW ver:OXY10v3_33
Header Ch-7
Description: TBL4-29
IDENTIFICATION
PHIboard number   : v1231479
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 07

PARAMETERS
Signal LED current: 050
Ref LED current   : 080
Ref LED amplitude : 98165
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 040800
100.00%a.s.phase 2: 27.68 at 020.0°C amp 027000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;1:32:26 PM;0.00;93.420;26.820;30611.000;29.000
10.07.17;1:32:34 PM;0.13;93.310;26.830;30625.000;29.000
10.07.17;1:32:49 PM;0.38;93.290;26.830;30641.000;29.000
10.07.17;1:33:04 PM;0.63;93.960;26.760;30633.000;29.000
10.07.17;1:33:19 PM;0.88;93.180;26.850;30659.000;29.000
10.07.17;1:33:34 PM;1.13;93.190;26.840;30668.000;29.000
10.07.17;1:33:49 PM;1.38;93.230;26.840;30696.000;29.000
10.07.17;1:34:04 PM;1.63;93.010;26.870;30703.000;29.000
10.07.17;1:34:19 PM;1.88;92.680;26.900;30752.000;29.000
10.07.17;1:34:34 PM;2.13;92.270;26.950;30753.000;29.000
10.07.17;1:34:49 PM;2.38;92.400;26.930;30787.000;29.000
10.07.17;1:35:04 PM;2.63;92.560;26.920;30813.000;29.000
10.07.17;1:35:19 PM;2.88;92.090;26.970;30832.000;29.000
10.07.17;1:35:34 PM;3.13;91.830;27.000;30866.000;29.000
10.07.17;1:35:49 PM;3.38;92.180;26.960;30883.000;29.000
10.07.17;1:36:04 PM;3.63;91.940;26.990;30900.000;29.000
10.07.17;1:36:19 PM;3.88;91.760;27.010;30942.000;29.000
10.07.17;1:36:34 PM;4.13;91.450;27.040;30948.000;29.000
10.07.17;1:36:49 PM;4.38;91.650;27.020;30993.000;29.000
10.07.17;1:37:04 PM;4.63;91.160;27.080;31015.000;29.000
10.07.17;1:37:19 PM;4.88;90.830;27.110;31103.000;29.000
10.07.17;1:37:34 PM;5.13;90.650;27.140;31114.000;29.000
10.07.17;1:37:49 PM;5.38;90.550;27.150;31139.000;29.000
10.07.17;1:38:04 PM;5.63;90.650;27.140;31177.000;29.000
10.07.17;1:38:19 PM;5.88;90.050;27.210;31199.000;29.000
10.07.17;1:38:34 PM;6.13;89.840;27.230;31231.000;29.000
10.07.17;1:38:49 PM;6.38;90.040;27.210;31241.000;29.000
10.07.17;1:39:04 PM;6.63;90.070;27.200;31275.000;29.000
10.07.17;1:39:19 PM;6.88;89.650;27.250;31310.000;29.000
10.07.17;1:39:34 PM;7.13;89.220;27.300;31375.000;29.000
10.07.17;1:39:49 PM;7.38;88.980;27.330;31428.000;29.000
10.07.17;1:40:04 PM;7.63;88.910;27.340;31454.000;29.000
10.07.17;1:40:19 PM;7.88;89.000;27.330;31515.000;29.000
10.07.17;1:40:34 PM;8.13;88.380;27.400;31556.000;29.000
10.07.17;1:40:49 PM;8.38;88.200;27.430;31553.000;29.000
10.07.17;1:41:04 PM;8.63;87.860;27.470;31596.000;29.000
10.07.17;1:41:19 PM;8.88;87.720;27.480;31634.000;29.000
10.07.17;1:41:34 PM;9.13;87.610;27.500;31637.000;29.000
10.07.17;1:41:49 PM;9.38;87.700;27.490;31654.000;29.000
10.07.17;1:42:04 PM;9.63;87.720;27.480;31674.000;29.000
10.07.17;1:42:19 PM;9.88;87.670;27.490;31720.000;29.000
10.07.17;1:42:34 PM;10.13;86.970;27.580;31728.000;29.000
10.07.17;1:42:49 PM;10.38;86.960;27.580;31752.000;29.000
10.07.17;1:43:04 PM;10.63;87.590;27.500;31793.000;29.000
10.07.17;1:43:19 PM;10.88;87.000;27.570;31822.000;29.000
10.07.17;1:43:34 PM;11.13;86.720;27.610;31839.000;29.000
10.07.17;1:43:49 PM;11.38;86.830;27.590;31870.000;29.000
10.07.17;1:44:04 PM;11.63;86.100;27.680;31911.000;29.000
10.07.17;1:44:19 PM;11.88;86.270;27.660;31924.000;29.000
10.07.17;1:44:34 PM;12.13;86.480;27.640;31957.000;29.000
10.07.17;1:44:49 PM;12.38;86.210;27.670;32005.000;29.000
10.07.17;1:45:04 PM;12.63;86.140;27.680;32005.000;29.000
10.07.17;1:45:19 PM;12.88;85.870;27.710;32036.000;29.000
10.07.17;1:45:34 PM;13.13;85.380;27.770;32078.000;29.000
10.07.17;1:45:49 PM;13.38;85.330;27.780;32089.000;29.000
10.07.17;1:46:04 PM;13.63;85.270;27.790;32139.000;29.000
10.07.17;1:46:19 PM;13.88;85.320;27.780;32188.000;29.000
10.07.17;1:46:34 PM;14.13;85.000;27.820;32229.000;29.000
10.07.17;1:46:49 PM;14.38;84.560;27.880;32249.000;29.000
10.07.17;1:47:04 PM;14.63;84.680;27.860;32291.000;29.000
10.07.17;1:47:19 PM;14.88;84.290;27.910;32296.000;29.000
10.07.17;1:47:34 PM;15.13;84.220;27.920;32336.000;29.000
10.07.17;1:47:49 PM;15.38;83.810;27.970;32368.000;29.000
10.07.17;1:48:04 PM;15.63;84.140;27.930;32392.000;29.000
10.07.17;1:48:19 PM;15.88;83.510;28.010;32419.000;29.000
10.07.17;1:48:34 PM;16.13;83.570;28.000;32488.000;29.000
10.07.17;1:48:49 PM;16.38;83.220;28.050;32502.000;29.000
10.07.17;1:49:04 PM;16.63;83.060;28.070;32537.000;29.000
10.07.17;1:49:19 PM;16.88;83.330;28.030;32567.000;29.000
10.07.17;1:49:34 PM;17.13;82.200;28.180;32637.000;29.000
10.07.17;1:49:49 PM;17.38;82.450;28.150;32681.000;29.000
