10.07.17/3:48 PM SW ver:OXY10v3_33
Header Ch-10
Description: WBC2-32
IDENTIFICATION
PHIboard number   : v1231482
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 10

PARAMETERS
Signal LED current: 050
Ref LED current   : 068
Ref LED amplitude : 101756
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 045200
100.00%a.s.phase 2: 27.68 at 020.0°C amp 037000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;3:48:27 PM;0.00;94.490;26.200;33306.000;32.000
10.07.17;3:48:42 PM;0.25;94.240;26.230;33318.000;32.000
10.07.17;3:48:57 PM;0.50;94.720;26.180;33332.000;32.000
10.07.17;3:49:12 PM;0.75;94.540;26.200;33379.000;32.000
10.07.17;3:49:27 PM;1.00;94.450;26.210;33361.000;32.000
10.07.17;3:49:42 PM;1.25;94.110;26.240;33334.000;32.000
10.07.17;3:49:57 PM;1.50;94.470;26.200;33398.000;32.000
10.07.17;3:50:12 PM;1.75;93.570;26.300;33345.000;32.000
10.07.17;3:50:27 PM;2.00;94.300;26.220;33440.000;32.000
10.07.17;3:50:42 PM;2.25;94.240;26.230;33407.000;32.000
10.07.17;3:50:57 PM;2.50;93.460;26.320;33441.000;32.000
10.07.17;3:51:12 PM;2.75;94.250;26.230;33425.000;32.000
10.07.17;3:51:27 PM;3.00;93.830;26.270;33424.000;32.000
10.07.17;3:51:42 PM;3.25;93.830;26.270;33444.000;32.000
10.07.17;3:51:57 PM;3.50;94.280;26.220;33410.000;32.000
10.07.17;3:52:12 PM;3.75;93.970;26.260;33472.000;32.000
10.07.17;3:52:27 PM;4.00;94.040;26.250;33501.000;32.000
10.07.17;3:52:42 PM;4.25;93.870;26.270;33490.000;32.000
10.07.17;3:52:57 PM;4.50;93.680;26.290;33490.000;32.000
10.07.17;3:53:12 PM;4.75;94.010;26.250;33499.000;32.000
10.07.17;3:53:27 PM;5.00;93.870;26.270;33521.000;32.000
10.07.17;3:53:42 PM;5.25;93.730;26.290;33532.000;32.000
10.07.17;3:53:57 PM;5.50;93.530;26.310;33530.000;32.000
10.07.17;3:54:12 PM;5.75;94.260;26.230;33557.000;32.000
10.07.17;3:54:27 PM;6.00;93.370;26.320;33581.000;32.000
