10.07.17/3:48 PM SW ver:OXY10v3_33
Header Ch-4
Description: WWE2-32
IDENTIFICATION
PHIboard number   : v1231476
PM number         : 00000000
Serial number     : S DLK 0001 000022   
MUX channel       : ON - 04

PARAMETERS
Signal LED current: 050
Ref LED current   : 076
Ref LED amplitude : 99855
Frequency         : 006
Sending interval  : 0001
Averaging         : 2
Internal temp     : 20.0 C

SYSTEM SETTINGS
APL function      : ON
Temp compensation : OFF
Analog out        : OFF
RS232 echo        : OFF
Oxygen unit       : %a.s.

CALIBRATION
Sensor type       : 2
0%a.s.phase 1     : 60.62 at 020.0°C amp 049700
100.00%a.s.phase 2: 27.68 at 020.0°C amp 031000
Date   (ddmmyy)   : 270313
Pressure (mBar)   : 1013

FIRMWARE
Code 3.016 (IAP)  : 08/20/04, 09:50:56
Xilinx built      : 01/05/04 (MM/DD/YY)

Pressure [hPa]: 1013
Date/dd:mm:yy;Time/hh:mm:ss;Logtime/min;Oxy/% air sat.;Phase/°;Amp;Temp/°C
10.07.17;3:48:22 PM;0.00;93.430;26.320;31426.000;32.000
10.07.17;3:48:30 PM;0.13;93.280;26.330;31443.000;32.000
10.07.17;3:48:45 PM;0.38;93.160;26.350;31445.000;32.000
10.07.17;3:49:00 PM;0.63;93.610;26.300;31456.000;32.000
10.07.17;3:49:15 PM;0.88;92.890;26.380;31467.000;32.000
10.07.17;3:49:30 PM;1.13;93.260;26.340;31500.000;32.000
10.07.17;3:49:45 PM;1.38;93.630;26.300;31503.000;32.000
10.07.17;3:50:00 PM;1.63;92.420;26.430;31515.000;32.000
10.07.17;3:50:15 PM;1.88;93.290;26.330;31544.000;32.000
10.07.17;3:50:30 PM;2.13;92.640;26.410;31564.000;32.000
10.07.17;3:50:45 PM;2.38;93.080;26.360;31592.000;32.000
10.07.17;3:51:00 PM;2.63;92.110;26.470;31548.000;32.000
10.07.17;3:51:15 PM;2.88;92.920;26.380;31563.000;32.000
10.07.17;3:51:30 PM;3.13;93.050;26.360;31594.000;32.000
10.07.17;3:51:45 PM;3.38;93.000;26.370;31637.000;32.000
10.07.17;3:52:00 PM;3.63;92.460;26.430;31618.000;32.000
10.07.17;3:52:15 PM;3.88;92.210;26.450;31643.000;32.000
10.07.17;3:52:30 PM;4.13;92.930;26.370;31657.000;32.000
10.07.17;3:52:45 PM;4.38;92.050;26.470;31625.000;32.000
10.07.17;3:53:00 PM;4.63;91.700;26.510;31650.000;32.000
10.07.17;3:53:15 PM;4.88;91.920;26.490;31688.000;32.000
10.07.17;3:53:30 PM;5.13;92.000;26.480;31682.000;32.000
10.07.17;3:53:45 PM;5.38;92.330;26.440;31679.000;32.000
10.07.17;3:54:00 PM;5.63;91.670;26.520;31672.000;32.000
10.07.17;3:54:15 PM;5.88;90.850;26.610;31743.000;32.000
10.07.17;3:54:30 PM;6.13;91.110;26.580;31711.000;32.000
10.07.17;3:54:45 PM;6.38;91.480;26.540;31782.000;32.000
10.07.17;3:55:00 PM;6.63;91.360;26.550;31781.000;32.000
10.07.17;3:55:15 PM;6.88;91.620;26.520;31772.000;32.000
10.07.17;3:55:30 PM;7.13;90.920;26.600;31796.000;32.000
10.07.17;3:55:45 PM;7.38;91.470;26.540;31773.000;32.000
10.07.17;3:56:00 PM;7.63;91.810;26.500;31836.000;32.000
10.07.17;3:56:15 PM;7.88;90.940;26.600;31816.000;32.000
10.07.17;3:56:30 PM;8.13;90.820;26.610;31864.000;32.000
10.07.17;3:56:45 PM;8.38;90.970;26.600;31899.000;32.000
10.07.17;3:57:00 PM;8.64;90.610;26.640;31877.000;32.000
10.07.17;3:57:15 PM;8.88;91.270;26.560;31904.000;32.000
10.07.17;3:57:30 PM;9.13;90.990;26.590;31923.000;32.000
10.07.17;3:57:45 PM;9.38;91.040;26.590;31918.000;32.000
10.07.17;3:58:00 PM;9.63;90.610;26.640;31961.000;32.000
10.07.17;3:58:15 PM;9.88;90.250;26.680;31978.000;32.000
10.07.17;3:58:30 PM;10.13;90.670;26.630;31956.000;32.000
10.07.17;3:58:45 PM;10.38;89.870;26.720;32031.000;32.000
10.07.17;3:59:00 PM;10.64;90.260;26.680;32027.000;32.000
10.07.17;3:59:15 PM;10.88;89.710;26.740;32013.000;32.000
10.07.17;3:59:30 PM;11.13;90.720;26.620;32033.000;32.000
10.07.17;3:59:45 PM;11.38;89.700;26.740;32073.000;32.000
10.07.17;4:00:00 PM;11.63;90.020;26.710;32066.000;32.000
10.07.17;4:00:15 PM;11.88;90.610;26.640;32063.000;32.000
10.07.17;4:00:30 PM;12.13;90.120;26.690;32089.000;32.000
10.07.17;4:00:45 PM;12.38;89.420;26.780;32101.000;32.000
10.07.17;4:01:00 PM;12.63;89.790;26.730;32142.000;32.000
10.07.17;4:01:15 PM;12.88;89.980;26.710;32092.000;32.000
10.07.17;4:01:30 PM;13.13;89.250;26.800;32170.000;32.000
10.07.17;4:01:45 PM;13.38;89.480;26.770;32208.000;32.000
10.07.17;4:02:00 PM;13.63;90.210;26.680;32178.000;32.000
10.07.17;4:02:15 PM;13.88;89.390;26.780;32248.000;32.000
10.07.17;4:02:30 PM;14.13;89.190;26.800;32214.000;32.000
10.07.17;4:02:45 PM;14.38;89.510;26.760;32186.000;32.000
10.07.17;4:03:00 PM;14.63;89.030;26.820;32219.000;32.000
10.07.17;4:03:15 PM;14.88;89.380;26.780;32219.000;32.000
10.07.17;4:03:30 PM;15.14;88.640;26.870;32253.000;32.000
10.07.17;4:03:45 PM;15.38;89.850;26.730;32272.000;32.000
10.07.17;4:04:00 PM;15.63;88.940;26.830;32313.000;32.000
10.07.17;4:04:15 PM;15.88;88.000;26.940;32307.000;32.000
